Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
AmericanForkPoliceDept,UT,12,37544,26,1,3,,6,16,817,106,674,37,69.3,2.7,8.0,,16.0,42.6,2176.1,282.3,1795.2,98.6
BountifulPoliceDept,UT,12,42976,65,0,,26,14,25,1167,358,723,86,151.2,.0,,60.5,32.6,58.2,2715.5,833.0,1682.3,200.1
BrighamCityPoliceDept,UT,12,18217,58,1,,27,1,29,639,158,458,23,318.4,5.5,,148.2,5.5,159.2,3507.7,867.3,2514.1,126.3
CacheCountySheriffOffice,UT,12,,20,1,9,,0,10,285,53,222,10,,,,,,,,,,
CedarCityPoliceDept,UT,12,29180,78,3,21,,3,51,677,120,529,28,267.3,10.3,72.0,,10.3,174.8,2320.1,411.2,1812.9,96.0
CentervillePoliceDept,UT,12,16488,21,0,,17,1,3,495,29,441,25,127.4,.0,,103.1,6.1,18.2,3002.2,175.9,2674.7,151.6
ClearfieldPoliceDept,UT,12,30433,40,0,,13,4,23,631,99,496,36,131.4,.0,,42.7,13.1,75.6,2073.4,325.3,1629.8,118.3
ClintonPoliceDept,UT,12,20903,13,0,,4,0,9,308,36,253,19,62.2,.0,,19.1,.0,43.1,1473.5,172.2,1210.4,90.9
DavisCountySheriffOffice,UT,12,,14,2,,6,0,6,205,49,143,13,,,,,,,,,,
Draper,UT,12,44680,40,0,,10,7,23,1099,195,845,59,89.5,.0,,22.4,15.7,51.5,2459.7,436.4,1891.2,132.1
FarmingtonPoliceDept,UT,12,21582,15,0,,6,0,9,429,42,360,27,69.5,.0,,27.8,.0,41.7,1987.8,194.6,1668.1,125.1
HeberCityPoliceDept,UT,12,12544,18,0,,0,2,16,109,17,90,2,143.5,.0,,.0,15.9,127.6,868.9,135.5,717.5,15.9
HurricanePoliceDept,UT,12,14558,15,0,,4,2,9,285,113,164,8,103.0,.0,,27.5,13.7,61.8,1957.7,776.2,1126.5,55.0
KaysvillePoliceDept,UT,12,28575,12,0,,4,4,4,260,55,190,15,42.0,.0,,14.0,14.0,14.0,909.9,192.5,664.9,52.5
LaytonPoliceDept,UT,12,69044,106,2,,52,13,39,1755,207,1478,70,153.5,2.9,,75.3,18.8,56.5,2541.9,299.8,2140.7,101.4
LehiPoliceDept,UT,12,52432,32,0,9,,4,19,763,147,561,55,61.0,.0,17.2,,7.6,36.2,1455.2,280.4,1070.0,104.9
LoganPoliceDept,UT,12,49049,36,0,,20,1,15,863,138,703,22,73.4,.0,,40.8,2.0,30.6,1759.5,281.4,1433.3,44.9
AlpinePoliceDept,UT,12,26669,2,0,0,,1,1,277,55,208,14,7.5,.0,.0,,3.7,3.7,1038.7,206.2,779.9,52.5
MurrayPoliceDept,UT,12,48767,207,1,,59,34,113,2468,319,1875,274,424.5,2.1,,121.0,69.7,231.7,5060.8,654.1,3844.8,561.9
NorthOgdenPoliceDept,UT,12,17915,9,0,,8,0,1,213,26,180,7,50.2,.0,,44.7,.0,5.6,1188.9,145.1,1004.7,39.1
NorthLoganPoliceDept,UT,12,13042,1,0,1,,0,0,189,28,151,10,7.7,.0,7.7,,.0,.0,1449.2,214.7,1157.8,76.7
NorthSaltLakePoliceDept,UT,12,16815,35,0,,10,8,17,454,64,336,54,208.1,.0,,59.5,47.6,101.1,2700.0,380.6,1998.2,321.1
OgdenPoliceDept,UT,12,84045,432,2,,90,112,228,4081,591,3209,281,514.0,2.4,,107.1,133.3,271.3,4855.7,703.2,3818.2,334.3
OremPoliceDept,UT,12,91438,33,2,13,,7,11,2079,192,1789,98,36.1,2.2,14.2,,7.7,12.0,2273.7,210.0,1956.5,107.2
