Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
PaysonPoliceDept,UT,12,19120,9,0,1,,0,8,477,71,384,22,47.1,.0,5.2,,.0,41.8,2494.8,371.3,2008.4,115.1
PleasantGrovePoliceDept,UT,12,34796,16,0,,2,3,11,421,58,339,24,46.0,.0,,5.7,8.6,31.6,1209.9,166.7,974.2,69.0
ProvoPoliceDept,UT,12,116937,166,1,,87,21,57,2828,329,2391,108,142.0,.9,,74.4,18.0,48.7,2418.4,281.3,2044.7,92.4
RoyPoliceDept,UT,12,37810,41,1,,19,9,12,782,113,638,31,108.4,2.6,,50.3,23.8,31.7,2068.2,298.9,1687.4,82.0
SaltLakeCityPoliceDept,UT,12,190246,1487,7,,213,421,846,15451,2084,11474,1893,781.6,3.7,,112.0,221.3,444.7,8121.6,1095.4,6031.1,995.0
SaltLakeCountySheriffOffice,UT,12,,898,6,,137,219,536,11845,1994,8586,1265,,,,,,,,,,
SandyCityPoliceDept,UT,12,89943,135,1,,27,30,77,2964,577,2195,192,150.1,1.1,,30.0,33.4,85.6,3295.4,641.5,2440.4,213.5
SantaquinPoliceDept,UT,12,11224,3,0,0,,0,3,133,14,113,6,26.7,.0,.0,,.0,26.7,1185.0,124.7,1006.8,53.5
SouthJordanPoliceDept,UT,12,57593,28,0,,8,5,15,1251,185,1003,63,48.6,.0,,13.9,8.7,26.0,2172.1,321.2,1741.5,109.4
SouthOgdenPoliceDept,UT,12,16792,24,0,,9,3,12,344,78,249,17,142.9,.0,,53.6,17.9,71.5,2048.6,464.5,1482.8,101.2
SouthSaltLakePoliceDept,UT,12,24595,206,2,,42,45,117,1681,216,1145,320,837.6,8.1,,170.8,183.0,475.7,6834.7,878.2,4655.4,1301.1
SpanishForkPoliceDept,UT,12,36690,10,1,,2,2,5,485,87,385,13,27.3,2.7,,5.5,5.5,13.6,1321.9,237.1,1049.3,35.4
SpringvillePoliceDept,UT,12,30940,33,0,6,,4,23,682,68,595,19,106.7,.0,19.4,,12.9,74.3,2204.3,219.8,1923.1,61.4
St.GeorgePoliceDept,UT,12,76427,138,1,,42,11,84,1751,480,1201,70,180.6,1.3,,55.0,14.4,109.9,2291.1,628.1,1571.4,91.6
SummitCountySheriffOffice,UT,12,,34,1,8,,5,20,410,30,353,27,,,,,,,,,,
SyracusePoliceDept,UT,12,25337,7,0,,4,0,3,255,34,211,10,27.6,.0,,15.8,.0,11.8,1006.4,134.2,832.8,39.5
TooelePoliceDept,UT,12,32241,72,0,,25,12,35,1349,262,1009,78,223.3,.0,,77.5,37.2,108.6,4184.1,812.6,3129.6,241.9
UtahCountySheriffOffice,UT,12,,39,0,,23,0,16,322,42,259,21,,,,,,,,,,
VernalPoliceDept,UT,12,10099,34,1,,8,2,23,440,49,383,8,336.7,9.9,,79.2,19.8,227.7,4356.9,485.2,3792.5,79.2
WeberCountySheriffDepartment,UT,12,,42,0,,16,9,17,901,187,656,58,,,,,,,,,,
WestJordanPoliceDept,UT,12,109831,198,0,,19,19,160,2734,364,2146,224,180.3,.0,,17.3,17.3,145.7,2489.3,331.4,1953.9,203.9
WestValleyPoliceDept,UT,12,133373,708,4,,106,156,442,6582,1135,4464,983,530.8,3.0,,79.5,117.0,331.4,4935.0,851.0,3347.0,737.0
WoodsCrossPoliceDept,UT,12,10343,35,0,,23,1,11,285,47,200,38,338.4,.0,,222.4,9.7,106.4,2755.5,454.4,1933.7,367.4
