Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
PaysonPoliceDept,UT,12,14997,14,0,0,,4,10,640,208,406,26,93.4,.0,.0,,26.7,66.7,4267.5,1386.9,2707.2,173.4
PleasantGrovePoliceDept,UT,12,33102,17,1,9,,3,4,736,72,599,65,51.4,3.0,27.2,,9.1,12.1,2223.4,217.5,1809.6,196.4
ProvoPoliceDept,UT,12,107094,155,0,44,,17,94,3433,552,2693,188,144.7,.0,41.1,,15.9,87.8,3205.6,515.4,2514.6,175.5
RoyPoliceDept,UT,12,35812,64,2,11,,11,40,697,108,542,47,178.7,5.6,30.7,,30.7,111.7,1946.3,301.6,1513.5,131.2
SaltLakeCountySheriffOffice,UT,12,,841,5,158,,140,538,13154,1891,10117,1146,,,,,,,,,,
SaltLakeCityPoliceDept,UT,12,182768,1329,14,93,,464,758,16380,2359,12138,1883,727.2,7.7,50.9,,253.9,414.7,8962.2,1290.7,6641.2,1030.3
SandyCityPoliceDept,UT,12,90746,178,2,27,,49,100,3150,455,2493,202,196.2,2.2,29.8,,54.0,110.2,3471.2,501.4,2747.2,222.6
SantaquinPoliceDept,UT,12,6795,2,0,0,,1,1,155,29,116,10,29.4,.0,.0,,14.7,14.7,2281.1,426.8,1707.1,147.2
SouthJordanPoliceDept,UT,12,34126,28,0,3,,0,25,764,106,607,51,82.0,.0,8.8,,.0,73.3,2238.8,310.6,1778.7,149.4
SouthOgdenPoliceDept,UT,12,15243,15,0,3,,3,9,362,63,278,21,98.4,.0,19.7,,19.7,59.0,2374.9,413.3,1823.8,137.8
SouthSaltLakePoliceDept,UT,12,22066,199,1,48,,42,108,2553,335,1879,339,901.8,4.5,217.5,,190.3,489.4,11569.8,1518.2,8515.4,1536.3
SpanishForkPoliceDept,UT,12,23367,12,0,8,,2,2,1303,229,1039,35,51.4,.0,34.2,,8.6,8.6,5576.2,980.0,4446.4,149.8
SpringvillePoliceDept,UT,12,22279,33,0,13,,1,19,1010,158,801,51,148.1,.0,58.4,,4.5,85.3,4533.4,709.2,3595.3,228.9
St.GeorgePoliceDept,UT,12,57283,122,0,18,,1,103,1219,236,872,111,213.0,.0,31.4,,1.7,179.8,2128.0,412.0,1522.3,193.8
SummitCountySheriffOffice,UT,12,,10,0,8,,1,1,618,98,485,35,,,,,,,,,,
SyracusePoliceDept,UT,12,14385,13,0,2,,0,11,155,23,129,3,90.4,.0,13.9,,.0,76.5,1077.5,159.9,896.8,20.9
TooelePoliceDept,UT,12,27484,79,0,19,,10,50,846,148,624,74,287.4,.0,69.1,,36.4,181.9,3078.2,538.5,2270.4,269.2
UtahCountySheriffOffice,UT,12,,64,2,21,,2,39,458,141,290,27,,,,,,,,,,
VernalPoliceDept,UT,12,8018,27,0,3,,1,23,589,251,310,28,336.7,.0,37.4,,12.5,286.9,7346.0,3130.5,3866.3,349.2
WeberCountySheriffDepartment,UT,12,,32,0,3,,3,26,1210,229,906,75,,,,,,,,,,
WestJordanPoliceDept,UT,12,86054,165,1,36,,34,94,3257,359,2687,211,191.7,1.2,41.8,,39.5,109.2,3784.8,417.2,3122.5,245.2
WestValleyPoliceDept,UT,12,113472,481,3,78,,140,260,7073,973,5385,715,423.9,2.6,68.7,,123.4,229.1,6233.3,857.5,4745.7,630.1
WoodsCrossPoliceDept,UT,12,7585,10,0,2,,2,6,260,34,203,23,131.8,.0,26.4,,26.4,79.1,3427.8,448.3,2676.3,303.2
