Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
FarmingtonPoliceDept,UT,12,9275,10,0,1,,3,6,271,54,209,8,107.8,.0,10.8,,32.3,64.7,2921.8,582.2,2253.4,86.3
HeberCityPoliceDept,UT,12,4912,4,0,0,,0,4,154,15,135,4,81.4,.0,.0,,.0,81.4,3135.2,305.4,2748.4,81.4
HurricanePoliceDept,UT,12,5841,2,0,1,,0,1,196,32,160,4,34.2,.0,17.1,,.0,17.1,3355.6,547.9,2739.3,68.5
KaysvillePoliceDept,UT,12,14343,23,0,1,,2,20,323,52,259,12,160.4,.0,7.0,,13.9,139.4,2252.0,362.5,1805.8,83.7
LaytonPoliceDept,UT,10,46848,47,0,9,,10,28,1860,231,1560,69,,,,,,,,,,
LehiPoliceDept,UT,12,8706,17,0,0,,0,17,188,29,153,6,195.3,.0,.0,,.0,195.3,2159.4,333.1,1757.4,68.9
LoganPoliceDept,UT,12,33658,31,0,5,,2,24,1266,148,1101,17,92.1,.0,14.9,,5.9,71.3,3761.4,439.7,3271.1,50.5
MidvalePoliceDept,UT,12,12211,40,0,3,,9,28,1081,159,867,55,327.6,.0,24.6,,73.7,229.3,8852.7,1302.1,7100.2,450.4
MurrayPoliceDept,UT,12,32138,112,1,12,,25,74,3452,426,2925,101,348.5,3.1,37.3,,77.8,230.3,10741.2,1325.5,9101.4,314.3
NorthOgdenPoliceDept,UT,12,11987,2,0,0,,0,2,225,20,203,2,16.7,.0,.0,,.0,16.7,1877.0,166.8,1693.5,16.7
NorthSaltLakePoliceDept,UT,12,6651,10,0,0,,5,5,255,48,201,6,150.4,.0,.0,,75.2,75.2,3834.0,721.7,3022.1,90.2
OgdenPoliceDept,UT,12,65658,366,2,56,,96,212,5252,783,4229,240,557.4,3.0,85.3,,146.2,322.9,7999.0,1192.5,6441.0,365.5
OremPoliceDept,UT,12,69410,71,0,30,,6,35,3018,247,2681,90,102.3,.0,43.2,,8.6,50.4,4348.1,355.9,3862.6,129.7
PaysonPoliceDept,UT,12,9770,56,0,2,,2,52,192,72,106,14,573.2,.0,20.5,,20.5,532.2,1965.2,736.9,1085.0,143.3
PleasantGrovePoliceDept,UT,10,17767,26,0,5,,3,18,438,84,337,17,,,,,,,,,,
ProvoPoliceDept,UT,12,89211,102,0,41,,17,44,3208,424,2642,142,114.3,.0,46.0,,19.1,49.3,3596.0,475.3,2961.5,159.2
RoyPoliceDept,UT,12,25276,91,0,9,,3,79,989,135,825,29,360.0,.0,35.6,,11.9,312.5,3912.8,534.1,3264.0,114.7
St.GeorgePoliceDept,UT,12,29282,55,2,17,,8,28,1503,193,1242,68,187.8,6.8,58.1,,27.3,95.6,5132.8,659.1,4241.5,232.2
SaltLakeCityPoliceDept,UT,12,164313,1319,14,182,,474,649,19516,3460,14602,1454,802.7,8.5,110.8,,288.5,395.0,11877.3,2105.7,8886.7,884.9
SaltLakeCountySheriffOffice,UT,12,,1033,9,116,,136,772,15583,2465,12501,617,,,,,,,,,,
SandyCityPoliceDept,UT,12,77112,120,1,14,,43,62,3281,641,2557,83,155.6,1.3,18.2,,55.8,80.4,4254.9,831.3,3316.0,107.6
SantaquinPoliceDept,UT,12,2451,6,0,0,,0,6,68,12,52,4,244.8,.0,.0,,.0,244.8,2774.4,489.6,2121.6,163.2
SouthJordanPoliceDept,UT,12,12554,35,0,4,,2,29,399,93,274,32,278.8,.0,31.9,,15.9,231.0,3178.3,740.8,2182.6,254.9
SouthOgdenPoliceDept,UT,12,12436,18,0,3,,3,12,476,97,358,21,144.7,.0,24.1,,24.1,96.5,3827.6,780.0,2878.7,168.9
SouthSaltLakePoliceDept,UT,12,10406,85,0,13,,24,48,1955,309,1523,123,816.8,.0,124.9,,230.6,461.3,18787.2,2969.4,14635.8,1182.0
SpanishForkPoliceDept,UT,12,11580,10,0,5,,1,4,610,77,523,10,86.4,.0,43.2,,8.6,34.5,5267.7,664.9,4516.4,86.4
SpringvillePoliceDept,UT,12,14331,13,0,3,,0,10,552,73,453,26,90.7,.0,20.9,,.0,69.8,3851.8,509.4,3161.0,181.4
SummitCountySheriffOffice,UT,12,,22,0,11,,1,10,267,57,199,11,,,,,,,,,,
SyracusePoliceDept,UT,12,4785,6,0,0,,0,6,110,43,63,4,125.4,.0,.0,,.0,125.4,2298.9,898.6,1316.6,83.6
TooelePoliceDept,UT,12,14267,28,0,7,,2,19,608,123,450,35,196.3,.0,49.1,,14.0,133.2,4261.6,862.1,3154.1,245.3
UtahCountySheriffOffice,UT,12,,43,1,10,,2,30,375,88,270,17,,,,,,,,,,
VernalPoliceDept,UT,12,6825,29,0,10,,3,16,610,105,480,25,424.9,.0,146.5,,44.0,234.4,8937.7,1538.5,7033.0,366.3
WeberCountySheriffDepartment,UT,12,,46,2,11,,2,31,717,168,503,46,,,,,,,,,,
WestJordanPoliceDept,UT,12,44065,155,6,11,,8,130,2250,316,1848,86,351.8,13.6,25.0,,18.2,295.0,5106.1,717.1,4193.8,195.2
WestValleyPoliceDept,UT,12,89356,383,4,89,,56,234,6606,1049,5396,161,428.6,4.5,99.6,,62.7,261.9,7392.9,1174.0,6038.8,180.2
WoodsCrossPoliceDept,UT,12,5531,4,0,0,,0,4,347,44,284,19,72.3,.0,.0,,.0,72.3,6273.7,795.5,5134.7,343.5
