Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
AlpinePoliceDept,UT,12,3587,7,0,3,,0,4,128,35,82,11,195.1,.0,83.6,,.0,111.5,3568.4,975.7,2286.0,306.7
AmericanForkPoliceDept,UT,12,16125,11,0,3,,1,7,689,64,582,43,68.2,.0,18.6,,6.2,43.4,4272.9,396.9,3609.3,266.7
BountifulPoliceDept,UT,12,37662,29,0,2,,4,23,1213,134,1024,55,77.0,.0,5.3,,10.6,61.1,3220.8,355.8,2718.9,146.0
BrighamCityPoliceDept,UT,12,16072,17,0,4,,2,11,493,44,443,6,105.8,.0,24.9,,12.4,68.4,3067.4,273.8,2756.3,37.3
CacheCountySheriffOffice,UT,12,,4,0,0,,2,2,663,135,495,33,,,,,,,,,,
CedarCityPoliceDept,UT,12,13810,12,0,2,,2,8,444,65,365,14,86.9,.0,14.5,,14.5,57.9,3215.1,470.7,2643.0,101.4
CentervillePoliceDept,UT,12,11814,22,0,1,,2,19,278,67,209,2,186.2,.0,8.5,,16.9,160.8,2353.1,567.1,1769.1,16.9
ClearfieldPoliceDept,UT,12,22021,36,0,4,,5,27,745,94,618,33,163.5,.0,18.2,,22.7,122.6,3383.1,426.9,2806.4,149.9
ClintonPoliceDept,UT,12,8162,13,0,0,,1,12,189,34,151,4,159.3,.0,.0,,12.3,147.0,2315.6,416.6,1850.0,49.0
DavisCountySheriffOffice,UT,12,,47,0,34,,1,12,199,50,135,14,,,,,,,,,,
Draper,UT,12,7455,8,0,0,,1,7,234,30,196,8,107.3,.0,.0,,13.4,93.9,3138.8,402.4,2629.1,107.3
