Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
AlpinePoliceDept,UT,12,17728,10,0,4,,0,6,269,81,171,17,56.4,.0,22.6,,.0,33.8,1517.4,456.9,964.6,95.9
AmericanForkPoliceDept,UT,12,22843,16,0,2,,1,13,989,170,772,47,70.0,.0,8.8,,4.4,56.9,4329.6,744.2,3379.6,205.8
BountifulPoliceDept,UT,12,41897,39,0,6,,14,19,1100,210,837,53,93.1,.0,14.3,,33.4,45.3,2625.5,501.2,1997.8,126.5
BrighamCityPoliceDept,UT,12,17653,45,0,10,,5,30,477,75,372,30,254.9,.0,56.6,,28.3,169.9,2702.1,424.9,2107.3,169.9
CedarCityPoliceDept,UT,12,21753,25,0,2,,4,19,675,100,536,39,114.9,.0,9.2,,18.4,87.3,3103.0,459.7,2464.0,179.3
CentervillePoliceDept,UT,12,14913,9,0,3,,0,6,410,82,313,15,60.4,.0,20.1,,.0,40.2,2749.3,549.9,2098.8,100.6
ClearfieldPoliceDept,UT,12,26709,39,0,10,,5,24,720,127,545,48,146.0,.0,37.4,,18.7,89.9,2695.7,475.5,2040.5,179.7
ClintonPoliceDept,UT,12,14571,11,2,5,,0,4,231,50,171,10,75.5,13.7,34.3,,.0,27.5,1585.3,343.1,1173.6,68.6
DavisCountySheriffOffice,UT,12,,20,0,7,,0,13,170,45,109,16,,,,,,,,,,
Draper,UT,6,29713,15,0,6,,2,7,438,88,320,30,,,,,,,,,,
FarmingtonPoliceDept,UT,12,13151,6,0,1,,0,5,255,38,204,13,45.6,.0,7.6,,.0,38.0,1939.0,289.0,1551.2,98.9
HeberCityPoliceDept,UT,12,8599,2,0,1,,0,1,72,25,42,5,23.3,.0,11.6,,.0,11.6,837.3,290.7,488.4,58.1
HurricanePoliceDept,UT,12,9277,5,0,0,,0,5,285,44,228,13,53.9,.0,.0,,.0,53.9,3072.1,474.3,2457.7,140.1
KaysvillePoliceDept,UT,12,21278,14,0,5,,0,9,470,33,398,39,65.8,.0,23.5,,.0,42.3,2208.9,155.1,1870.5,183.3
LaytonPoliceDept,UT,12,60977,172,2,35,,26,109,2212,336,1726,150,282.1,3.3,57.4,,42.6,178.8,3627.6,551.0,2830.6,246.0
LehiPoliceDept,UT,12,22173,13,0,3,,1,9,576,202,330,44,58.6,.0,13.5,,4.5,40.6,2597.8,911.0,1488.3,198.4
LoganPoliceDept,UT,12,43574,41,0,13,,1,27,1234,240,937,57,94.1,.0,29.8,,2.3,62.0,2832.0,550.8,2150.4,130.8
MidvalePoliceDept,UT,12,27733,89,0,13,,28,48,1864,206,1464,194,320.9,.0,46.9,,101.0,173.1,6721.2,742.8,5278.9,699.5
MurrayPoliceDept,UT,12,35588,141,0,30,,49,62,3848,565,2996,287,396.2,.0,84.3,,137.7,174.2,10812.6,1587.6,8418.6,806.5
NorthOgdenPoliceDept,UT,12,16055,10,0,4,,1,5,252,38,207,7,62.3,.0,24.9,,6.2,31.1,1569.6,236.7,1289.3,43.6
NorthLoganPoliceDept,UT,12,9831,9,1,3,,0,5,246,54,185,7,91.5,10.2,30.5,,.0,50.9,2502.3,549.3,1881.8,71.2
NorthSaltLakePoliceDept,UT,12,9315,13,0,3,,2,8,417,64,328,25,139.6,.0,32.2,,21.5,85.9,4476.7,687.1,3521.2,268.4
OgdenPoliceDept,UT,12,79836,392,2,49,,93,248,4788,915,3473,400,491.0,2.5,61.4,,116.5,310.6,5997.3,1146.1,4350.2,501.0
OremPoliceDept,UT,12,84934,68,2,18,,18,30,3503,372,2932,199,80.1,2.4,21.2,,21.2,35.3,4124.4,438.0,3452.1,234.3
PaysonPoliceDept,UT,11,14553,19,0,7,,4,8,471,119,319,33,,,,,,,,,,
PleasantGrovePoliceDept,UT,12,32734,9,0,3,,1,5,641,59,547,35,27.5,.0,9.2,,3.1,15.3,1958.2,180.2,1671.0,106.9
ProvoPoliceDept,UT,12,106769,118,0,36,,17,65,3588,850,2553,185,110.5,.0,33.7,,15.9,60.9,3360.5,796.1,2391.1,173.3
RoyPoliceDept,UT,12,35529,70,1,13,,9,47,918,130,745,43,197.0,2.8,36.6,,25.3,132.3,2583.8,365.9,2096.9,121.0
SaltLakeCountySheriffOffice,UT,12,,826,6,169,,123,528,13825,2257,10449,1119,,,,,,,,,,
SaltLakeCityPoliceDept,UT,12,184022,1296,15,80,,504,697,16776,2362,12486,1928,704.3,8.2,43.5,,273.9,378.8,9116.3,1283.5,6785.1,1047.7
