Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
AlpinePoliceDept,UT,12,25593,11,0,3,,1,7,325,95,219,11,43.0,.0,11.7,,3.9,27.4,1269.9,371.2,855.7,43.0
AmericanForkPoliceDept,UT,12,37173,35,0,10,,8,17,1302,222,1041,39,94.2,.0,26.9,,21.5,45.7,3502.5,597.2,2800.4,104.9
BountifulPoliceDept,UT,12,44098,42,1,10,,16,15,907,134,745,28,95.2,2.3,22.7,,36.3,34.0,2056.8,303.9,1689.4,63.5
BrighamCityPoliceDept,UT,12,18682,43,0,3,,5,35,516,78,421,17,230.2,.0,16.1,,26.8,187.3,2762.0,417.5,2253.5,91.0
CacheCountySheriffOffice,UT,12,,25,1,14,,0,10,495,75,408,12,,,,,,,,,,
CedarCityPoliceDept,UT,12,28883,32,0,8,,3,21,855,133,682,40,110.8,.0,27.7,,10.4,72.7,2960.2,460.5,2361.3,138.5
CentervillePoliceDept,UT,12,15488,7,0,2,,0,5,371,38,314,19,45.2,.0,12.9,,.0,32.3,2395.4,245.4,2027.4,122.7
ClearfieldPoliceDept,UT,12,27649,46,0,6,,10,30,856,122,709,25,166.4,.0,21.7,,36.2,108.5,3096.0,441.2,2564.3,90.4
ClintonPoliceDept,UT,12,20646,16,0,7,,3,6,270,46,214,10,77.5,.0,33.9,,14.5,29.1,1307.8,222.8,1036.5,48.4
DavisCountySheriffOffice,UT,12,,35,0,10,,0,25,216,70,137,9,,,,,,,,,,
Draper,UT,12,40607,27,0,6,,3,18,979,229,684,66,66.5,.0,14.8,,7.4,44.3,2410.9,563.9,1684.4,162.5
FarmingtonPoliceDept,UT,12,17185,10,0,2,,1,7,177,38,132,7,58.2,.0,11.6,,5.8,40.7,1030.0,221.1,768.1,40.7
HeberCityPoliceDept,UT,12,10024,9,0,5,,0,4,76,18,55,3,89.8,.0,49.9,,.0,39.9,758.2,179.6,548.7,29.9
HurricanePoliceDept,UT,12,13622,30,0,3,,3,24,356,72,259,25,220.2,.0,22.0,,22.0,176.2,2613.4,528.6,1901.3,183.5
KaysvillePoliceDept,UT,12,25672,7,0,2,,1,4,450,61,358,31,27.3,.0,7.8,,3.9,15.6,1752.9,237.6,1394.5,120.8
LaytonPoliceDept,UT,12,65029,103,1,28,,26,48,2154,380,1695,79,158.4,1.5,43.1,,40.0,73.8,3312.4,584.4,2606.5,121.5
LehiPoliceDept,UT,12,48465,22,1,12,,5,4,833,111,692,30,45.4,2.1,24.8,,10.3,8.3,1718.8,229.0,1427.8,61.9
LoganPoliceDept,UT,12,48670,47,1,16,,2,28,965,221,713,31,96.6,2.1,32.9,,4.1,57.5,1982.7,454.1,1465.0,63.7
MidvalePoliceDept,UT,12,27875,83,0,21,,12,50,1561,372,978,211,297.8,.0,75.3,,43.0,179.4,5600.0,1334.5,3508.5,757.0
MurrayPoliceDept,UT,12,45760,155,1,19,,38,97,3271,538,2486,247,338.7,2.2,41.5,,83.0,212.0,7148.2,1175.7,5432.7,539.8
NorthOgdenPoliceDept,UT,12,17441,7,0,2,,2,3,196,35,156,5,40.1,.0,11.5,,11.5,17.2,1123.8,200.7,894.4,28.7
NorthLoganPoliceDept,UT,12,12272,11,0,4,,0,7,255,41,210,4,89.6,.0,32.6,,.0,57.0,2077.9,334.1,1711.2,32.6
NorthSaltLakePoliceDept,UT,12,13217,15,0,5,,2,8,390,135,232,23,113.5,.0,37.8,,15.1,60.5,2950.7,1021.4,1755.3,174.0
OgdenPoliceDept,UT,12,83353,388,4,43,,128,213,4229,703,3176,350,465.5,4.8,51.6,,153.6,255.5,5073.6,843.4,3810.3,419.9
OremPoliceDept,UT,12,94228,66,2,22,,9,33,2584,246,2222,116,70.0,2.1,23.3,,9.6,35.0,2742.3,261.1,2358.1,123.1
PaysonPoliceDept,UT,12,17703,4,0,0,,1,3,544,100,407,37,22.6,.0,.0,,5.6,16.9,3072.9,564.9,2299.0,209.0
PleasantGrovePoliceDept,UT,12,32755,22,0,5,,4,13,591,65,495,31,67.2,.0,15.3,,12.2,39.7,1804.3,198.4,1511.2,94.6
ProvoPoliceDept,UT,12,119189,186,0,42,,21,123,3037,454,2438,145,156.1,.0,35.2,,17.6,103.2,2548.1,380.9,2045.5,121.7
RoyPoliceDept,UT,12,35279,52,1,21,,7,23,805,127,647,31,147.4,2.8,59.5,,19.8,65.2,2281.8,360.0,1834.0,87.9
SaltLakeCountySheriffOffice,UT,12,,652,2,69,,114,467,8313,1507,6010,796,,,,,,,,,,
SaltLakeCityPoliceDept,UT,12,180514,1424,12,76,,486,850,16197,2045,12305,1847,788.9,6.6,42.1,,269.2,470.9,8972.7,1132.9,6816.6,1023.2
SandyCityPoliceDept,UT,12,96998,159,0,22,,36,101,3787,593,2938,256,163.9,.0,22.7,,37.1,104.1,3904.2,611.4,3028.9,263.9
