Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
AlpinePoliceDept,UT,12,5394,2,1,1,,0,0,198,29,160,9,37.1,18.5,18.5,,.0,.0,3670.7,537.6,2966.3,166.9
AmericanForkPoliceDept,UT,12,20328,84,0,6,,2,76,910,114,740,56,413.2,.0,29.5,,9.8,373.9,4476.6,560.8,3640.3,275.5
BountifulPoliceDept,UT,6,41417,64,0,2,,4,58,398,82,290,26,,,,,,,,,,
BrighamCityPoliceDept,UT,12,17148,39,0,4,,6,29,1498,216,1233,49,227.4,.0,23.3,,35.0,169.1,8735.7,1259.6,7190.3,285.7
CacheCountySheriffOffice,UT,12,,34,0,15,,0,19,776,154,584,38,,,,,,,,,,
CedarCityPoliceDept,UT,12,18683,40,1,1,,3,35,834,122,668,44,214.1,5.4,5.4,,16.1,187.3,4464.0,653.0,3575.4,235.5
CentervillePoliceDept,UT,12,15044,8,0,3,,1,4,401,60,313,28,53.2,.0,19.9,,6.6,26.6,2665.5,398.8,2080.6,186.1
ClearfieldPoliceDept,UT,12,23172,40,0,7,,5,28,794,108,647,39,172.6,.0,30.2,,21.6,120.8,3426.5,466.1,2792.2,168.3
ClintonPoliceDept,UT,12,9818,10,0,2,,0,8,212,58,144,10,101.9,.0,20.4,,.0,81.5,2159.3,590.8,1466.7,101.9
DavisCountySheriffOffice,UT,11,,18,0,5,,1,12,302,161,110,31,,,,,,,,,,
FarmingtonPoliceDept,UT,12,10943,9,0,1,,0,8,250,47,189,14,82.2,.0,9.1,,.0,73.1,2284.6,429.5,1727.1,127.9
HeberCityPoliceDept,UT,12,5629,24,1,4,,0,19,132,16,112,4,426.4,17.8,71.1,,.0,337.5,2345.0,284.2,1989.7,71.1
HurricanePoliceDept,UT,12,6211,2,0,0,,0,2,266,60,189,17,32.2,.0,.0,,.0,32.2,4282.7,966.0,3043.0,273.7
KaysvillePoliceDept,UT,12,18599,14,0,1,,0,13,562,76,461,25,75.3,.0,5.4,,.0,69.9,3021.7,408.6,2478.6,134.4
LaytonPoliceDept,UT,8,58020,62,1,10,,4,47,1077,163,848,66,,,,,,,,,,
LehiPoliceDept,UT,12,14432,24,0,6,,3,15,345,59,257,29,166.3,.0,41.6,,20.8,103.9,2390.5,408.8,1780.8,200.9
LoganPoliceDept,UT,12,40597,46,0,10,,3,33,1235,111,1091,33,113.3,.0,24.6,,7.4,81.3,3042.1,273.4,2687.4,81.3
MidvalePoliceDept,UT,12,12290,180,3,14,,47,116,1970,252,1564,154,1464.6,24.4,113.9,,382.4,943.9,16029.3,2050.4,12725.8,1253.1
MurrayPoliceDept,UT,12,34269,182,0,16,,36,130,3468,432,2799,237,531.1,.0,46.7,,105.1,379.4,10119.9,1260.6,8167.7,691.6
NorthOgdenPoliceDept,UT,12,14229,5,0,2,,0,3,272,28,231,13,35.1,.0,14.1,,.0,21.1,1911.6,196.8,1623.4,91.4
NorthLoganPoliceDept,UT,12,4430,5,0,2,,0,3,244,34,198,12,112.9,.0,45.1,,.0,67.7,5507.9,767.5,4469.5,270.9
NorthSaltLakePoliceDept,UT,12,7736,12,0,3,,3,6,404,76,300,28,155.1,.0,38.8,,38.8,77.6,5222.3,982.4,3878.0,361.9
OgdenPoliceDept,UT,12,68102,432,7,69,,125,231,5635,945,4339,351,634.3,10.3,101.3,,183.5,339.2,8274.4,1387.6,6371.3,515.4
OremPoliceDept,UT,12,83330,57,1,7,,22,27,3948,313,3472,163,68.4,1.2,8.4,,26.4,32.4,4737.8,375.6,4166.6,195.6
PaysonPoliceDept,UT,11,11641,11,1,6,,4,0,136,19,110,7,,,,,,,,,,
PleasantGrovePoliceDept,UT,12,26439,19,0,3,,5,11,827,158,624,45,71.9,.0,11.3,,18.9,41.6,3128.0,597.6,2360.1,170.2
ProvoPoliceDept,UT,12,104096,152,3,47,,28,74,3750,771,2767,212,146.0,2.9,45.2,,26.9,71.1,3602.4,740.7,2658.1,203.7
RoyPoliceDept,UT,12,29550,83,1,8,,9,65,1102,193,861,48,280.9,3.4,27.1,,30.5,220.0,3729.3,653.1,2913.7,162.4
SaltLakeCityPoliceDept,UT,12,178579,1465,16,146,,598,705,17872,2831,12997,2044,820.4,9.0,81.8,,334.9,394.8,10007.9,1585.3,7278.0,1144.6
SaltLakeCountySheriffOffice,UT,12,,1278,4,172,,210,892,20851,3084,16184,1583,,,,,,,,,,
SandyCityPoliceDept,UT,12,97967,257,0,26,,43,188,3621,618,2845,158,262.3,.0,26.5,,43.9,191.9,3696.1,630.8,2904.0,161.3
SantaquinPoliceDept,UT,2,2806,0,0,0,,0,0,10,4,4,2,,,,,,,,,,
SouthJordanPoliceDept,UT,12,24357,26,0,10,,3,13,717,126,549,42,106.7,.0,41.1,,12.3,53.4,2943.7,517.3,2254.0,172.4
SouthOgdenPoliceDept,UT,12,14789,49,0,4,,9,36,835,100,709,26,331.3,.0,27.0,,60.9,243.4,5646.1,676.2,4794.1,175.8
SouthSaltLakePoliceDept,UT,12,10529,111,2,19,,32,58,2138,372,1518,248,1054.2,19.0,180.5,,303.9,550.9,20305.8,3533.1,14417.3,2355.4
SpanishForkPoliceDept,UT,12,15524,16,1,3,,1,11,708,66,621,21,103.1,6.4,19.3,,6.4,70.9,4560.7,425.1,4000.3,135.3
SpringvillePoliceDept,UT,12,16570,15,0,0,,2,13,816,126,660,30,90.5,.0,.0,,12.1,78.5,4924.6,760.4,3983.1,181.1
SummitCountySheriffOffice,UT,12,,14,0,11,,0,3,619,76,514,29,,,,,,,,,,
SyracusePoliceDept,UT,11,5969,17,0,2,,0,15,84,21,57,6,,,,,,,,,,
TooelePoliceDept,UT,12,15652,32,1,4,,1,26,788,118,621,49,204.4,6.4,25.6,,6.4,166.1,5034.5,753.9,3967.5,313.1
UtahCountySheriffOffice,UT,12,,53,0,18,,2,33,575,124,394,57,,,,,,,,,,
VernalPoliceDept,UT,12,7404,25,0,6,,1,18,521,89,414,18,337.7,.0,81.0,,13.5,243.1,7036.7,1202.1,5591.6,243.1
WeberCountySheriffDepartment,UT,12,,35,0,10,,3,22,906,166,683,57,,,,,,,,,,
WestJordanPoliceDept,UT,12,59654,109,1,20,,17,71,2483,400,1901,182,182.7,1.7,33.5,,28.5,119.0,4162.3,670.5,3186.7,305.1
WestValleyPoliceDept,UT,12,102672,572,4,61,,123,384,7545,1144,5730,671,557.1,3.9,59.4,,119.8,374.0,7348.6,1114.2,5580.9,653.5
WoodsCrossPoliceDept,UT,12,5834,19,1,3,,2,13,340,34,279,27,325.7,17.1,51.4,,34.3,222.8,5827.9,582.8,4782.3,462.8
