Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
AlpinePoliceDept,UT,12,23143,6,0,1,,0,5,263,101,155,7,25.9,.0,4.3,,.0,21.6,1136.4,436.4,669.7,30.2
AmericanForkPoliceDept,UT,12,22068,29,0,7,,6,16,1050,246,744,60,131.4,.0,31.7,,27.2,72.5,4758.0,1114.7,3371.4,271.9
BountifulPoliceDept,UT,12,42424,27,2,9,,3,13,975,156,764,55,63.6,4.7,21.2,,7.1,30.6,2298.2,367.7,1800.9,129.6
BrighamCityPoliceDept,UT,12,18953,29,1,3,,3,22,514,79,413,22,153.0,5.3,15.8,,15.8,116.1,2712.0,416.8,2179.1,116.1
CacheCountySheriffOffice,UT,12,,26,0,6,,1,19,509,91,398,20,,,,,,,,,,
CedarCityPoliceDept,UT,12,24765,36,1,11,,5,19,750,107,603,40,145.4,4.0,44.4,,20.2,76.7,3028.5,432.1,2434.9,161.5
CentervillePoliceDept,UT,12,15383,8,0,5,,1,2,320,30,271,19,52.0,.0,32.5,,6.5,13.0,2080.2,195.0,1761.7,123.5
ClearfieldPoliceDept,UT,12,28306,56,2,9,,6,39,918,135,736,47,197.8,7.1,31.8,,21.2,137.8,3243.1,476.9,2600.2,166.0
ClintonPoliceDept,UT,12,18313,12,0,1,,1,10,232,42,175,15,65.5,.0,5.5,,5.5,54.6,1266.9,229.3,955.6,81.9
DavisCountySheriffOffice,UT,12,,11,0,2,,0,9,160,69,83,8,,,,,,,,,,
Draper,UT,12,36263,26,0,6,,7,13,1083,211,797,75,71.7,.0,16.5,,19.3,35.8,2986.5,581.9,2197.8,206.8
FarmingtonPoliceDept,UT,12,14825,5,0,2,,0,3,220,52,161,7,33.7,.0,13.5,,.0,20.2,1484.0,350.8,1086.0,47.2
HeberCityPoliceDept,UT,12,9445,6,0,3,,0,3,36,23,8,5,63.5,.0,31.8,,.0,31.8,381.2,243.5,84.7,52.9
HurricanePoliceDept,UT,12,11347,10,0,4,,0,6,281,68,200,13,88.1,.0,35.3,,.0,52.9,2476.4,599.3,1762.6,114.6
KaysvillePoliceDept,UT,12,23244,12,0,7,,1,4,441,66,357,18,51.6,.0,30.1,,4.3,17.2,1897.3,283.9,1535.9,77.4
LaytonPoliceDept,UT,12,63795,101,1,31,,12,57,1988,273,1643,72,158.3,1.6,48.6,,18.8,89.3,3116.2,427.9,2575.4,112.9
LehiPoliceDept,UT,12,32764,26,0,6,,2,18,665,214,411,40,79.4,.0,18.3,,6.1,54.9,2029.7,653.2,1254.4,122.1
LoganPoliceDept,UT,12,48900,48,1,12,,6,29,929,169,732,28,98.2,2.0,24.5,,12.3,59.3,1899.8,345.6,1496.9,57.3
MidvalePoliceDept,UT,12,28055,90,1,20,,25,44,1625,208,1181,236,320.8,3.6,71.3,,89.1,156.8,5792.2,741.4,4209.6,841.2
MurrayPoliceDept,UT,12,46007,160,6,29,,36,89,3279,413,2525,341,347.8,13.0,63.0,,78.2,193.4,7127.2,897.7,5488.3,741.2
NorthOgdenPoliceDept,UT,12,17081,5,0,2,,0,3,305,43,258,4,29.3,.0,11.7,,.0,17.6,1785.6,251.7,1510.5,23.4
NorthLoganPoliceDept,UT,12,9900,3,0,0,,0,3,171,28,138,5,30.3,.0,.0,,.0,30.3,1727.3,282.8,1393.9,50.5
NorthSaltLakePoliceDept,UT,12,10881,25,0,4,,2,19,360,85,244,31,229.8,.0,36.8,,18.4,174.6,3308.5,781.2,2242.4,284.9
OgdenPoliceDept,UT,12,80861,415,2,37,,123,253,5029,820,3773,436,513.2,2.5,45.8,,152.1,312.9,6219.3,1014.1,4666.0,539.2
OremPoliceDept,UT,12,92637,60,1,16,,18,25,2564,269,2152,143,64.8,1.1,17.3,,19.4,27.0,2767.8,290.4,2323.0,154.4
PaysonPoliceDept,UT,12,16978,16,0,5,,3,8,491,113,353,25,94.2,.0,29.4,,17.7,47.1,2892.0,665.6,2079.2,147.2
PleasantGrovePoliceDept,UT,12,40327,21,0,4,,5,12,992,143,804,45,52.1,.0,9.9,,12.4,29.8,2459.9,354.6,1993.7,111.6
ProvoPoliceDept,UT,12,117156,181,2,49,,24,106,2918,552,2162,204,154.5,1.7,41.8,,20.5,90.5,2490.7,471.2,1845.4,174.1
RoyPoliceDept,UT,12,36377,47,0,15,,8,24,692,91,569,32,129.2,.0,41.2,,22.0,66.0,1902.3,250.2,1564.2,88.0
SaltLakeCountySheriffOffice,UT,12,,579,3,88,,88,400,9059,1699,6388,972,,,,,,,,,,
SaltLakeCityPoliceDept,UT,12,183901,1504,8,95,,508,893,15460,2253,11163,2044,817.8,4.4,51.7,,276.2,485.6,8406.7,1225.1,6070.1,1111.5
SandyCityPoliceDept,UT,12,92586,152,0,23,,29,100,3168,526,2408,234,164.2,.0,24.8,,31.3,108.0,3421.7,568.1,2600.8,252.7
SantaquinPoliceDept,UT,12,8330,4,0,2,,0,2,150,22,123,5,48.0,.0,24.0,,.0,24.0,1800.7,264.1,1476.6,60.0
SouthJordanPoliceDept,UT,12,41519,35,0,7,,6,22,882,133,676,73,84.3,.0,16.9,,14.5,53.0,2124.3,320.3,1628.2,175.8
SouthOgdenPoliceDept,UT,12,15690,18,1,5,,4,8,401,83,303,15,114.7,6.4,31.9,,25.5,51.0,2555.8,529.0,1931.2,95.6
SouthSaltLakePoliceDept,UT,12,22109,187,2,40,,48,97,2278,367,1503,408,845.8,9.0,180.9,,217.1,438.7,10303.5,1660.0,6798.1,1845.4
