Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
AlpinePoliceDept,UT,11,3674,3,0,0,,0,3,144,35,100,9,,,,,,,,,,
AmericanForkPoliceDept,UT,12,16516,18,0,3,,4,11,720,88,609,23,109.0,.0,18.2,,24.2,66.6,4359.4,532.8,3687.3,139.3
BountifulPoliceDept,UT,12,38576,40,0,3,,4,33,1175,144,982,49,103.7,.0,7.8,,10.4,85.5,3045.9,373.3,2545.6,127.0
BrighamCityPoliceDept,UT,12,16462,12,0,1,,3,8,763,143,597,23,72.9,.0,6.1,,18.2,48.6,4634.9,868.7,3626.5,139.7
CacheCountySheriffOffice,UT,12,,10,0,2,,1,7,735,128,576,31,,,,,,,,,,
CedarCityPoliceDept,UT,12,14145,8,0,2,,2,4,485,48,419,18,56.6,.0,14.1,,14.1,28.3,3428.8,339.3,2962.2,127.3
CentervillePoliceDept,UT,11,12100,9,0,1,,1,7,414,106,295,13,,,,,,,,,,
ClearfieldPoliceDept,UT,12,22555,40,0,7,,5,28,713,79,587,47,177.3,.0,31.0,,22.2,124.1,3161.2,350.3,2602.5,208.4
ClintonPoliceDept,UT,12,8360,10,0,0,,0,10,180,40,132,8,119.6,.0,.0,,.0,119.6,2153.1,478.5,1578.9,95.7
DavisCountySheriffOffice,UT,12,,55,1,31,,2,21,240,71,165,4,,,,,,,,,,
Draper,UT,6,7636,6,0,1,,0,5,118,19,95,4,,,,,,,,,,
FarmingtonPoliceDept,UT,12,9500,6,0,3,,0,3,354,71,279,4,63.2,.0,31.6,,.0,31.6,3726.3,747.4,2936.8,42.1
HeberCityPoliceDept,UT,12,5031,6,0,0,,1,5,169,27,141,1,119.3,.0,.0,,19.9,99.4,3359.2,536.7,2802.6,19.9
HurricanePoliceDept,UT,12,5982,9,0,1,,0,8,204,30,170,4,150.5,.0,16.7,,.0,133.7,3410.2,501.5,2841.9,66.9
KaysvillePoliceDept,UT,12,14691,15,0,6,,2,7,361,55,295,11,102.1,.0,40.8,,13.6,47.6,2457.3,374.4,2008.0,74.9
LaytonPoliceDept,UT,12,47985,81,2,26,,13,40,1912,279,1564,69,168.8,4.2,54.2,,27.1,83.4,3984.6,581.4,3259.4,143.8
LehiPoliceDept,UT,12,8917,20,0,2,,0,18,255,62,189,4,224.3,.0,22.4,,.0,201.9,2859.7,695.3,2119.5,44.9
LoganPoliceDept,UT,12,34475,29,1,11,,3,14,1466,165,1274,27,84.1,2.9,31.9,,8.7,40.6,4252.4,478.6,3695.4,78.3
MidvalePoliceDept,UT,12,12507,75,0,10,,13,52,1159,235,861,63,599.7,.0,80.0,,103.9,415.8,9266.8,1878.9,6884.1,503.7
MurrayPoliceDept,UT,12,32918,133,0,16,,34,83,3902,568,3190,144,404.0,.0,48.6,,103.3,252.1,11853.7,1725.5,9690.7,437.5
NorthOgdenPoliceDept,UT,12,12278,6,0,2,,1,3,259,25,229,5,48.9,.0,16.3,,8.1,24.4,2109.5,203.6,1865.1,40.7
NorthSaltLakePoliceDept,UT,12,6812,9,0,1,,2,6,255,48,194,13,132.1,.0,14.7,,29.4,88.1,3743.4,704.6,2847.9,190.8
OgdenPoliceDept,UT,12,67252,364,6,45,,98,215,5460,862,4354,244,541.2,8.9,66.9,,145.7,319.7,8118.7,1281.7,6474.2,362.8
OremPoliceDept,UT,12,71095,47,0,11,,6,30,3074,367,2622,85,66.1,.0,15.5,,8.4,42.2,4323.8,516.2,3688.0,119.6
PaysonPoliceDept,UT,3,10007,5,0,0,,0,5,44,24,20,0,,,,,,,,,,
PleasantGrovePoliceDept,UT,11,18198,16,0,8,,1,7,563,99,442,22,,,,,,,,,,
ProvoPoliceDept,UT,12,91377,129,1,42,,27,59,3687,542,3000,145,141.2,1.1,46.0,,29.5,64.6,4034.9,593.1,3283.1,158.7
RoyPoliceDept,UT,12,25889,119,1,10,,7,101,1028,138,847,43,459.7,3.9,38.6,,27.0,390.1,3970.8,533.0,3271.7,166.1
St.GeorgePoliceDept,UT,12,29993,43,0,4,,6,33,1560,216,1244,100,143.4,.0,13.3,,20.0,110.0,5201.2,720.2,4147.6,333.4
SaltLakeCityPoliceDept,UT,12,168304,1317,14,187,,470,646,19028,3394,14266,1368,782.5,8.3,111.1,,279.3,383.8,11305.7,2016.6,8476.3,812.8
SaltLakeCountySheriffOffice,UT,12,,1151,9,120,,106,916,16125,2751,12734,640,,,,,,,,,,
SandyCityPoliceDept,UT,12,78985,164,1,24,,32,107,3602,744,2751,107,207.6,1.3,30.4,,40.5,135.5,4560.4,942.0,3482.9,135.5
SantaquinPoliceDept,UT,12,2510,6,0,3,,0,3,104,21,76,7,239.0,.0,119.5,,.0,119.5,4143.4,836.7,3027.9,278.9
SouthJordanPoliceDept,UT,12,12858,23,0,7,,0,16,402,106,249,47,178.9,.0,54.4,,.0,124.4,3126.5,824.4,1936.5,365.5
SouthOgdenPoliceDept,UT,12,12738,33,0,11,,3,19,617,81,504,32,259.1,.0,86.4,,23.6,149.2,4843.8,635.9,3956.7,251.2
SouthSaltLakePoliceDept,UT,12,10658,87,0,7,,34,46,1860,292,1460,108,816.3,.0,65.7,,319.0,431.6,17451.7,2739.7,13698.6,1013.3
SpanishForkPoliceDept,UT,11,11861,11,1,4,,1,5,547,67,474,6,,,,,,,,,,
SpringvillePoliceDept,UT,12,14679,28,1,4,,3,20,678,84,580,14,190.7,6.8,27.2,,20.4,136.2,4618.8,572.2,3951.2,95.4
SummitCountySheriffOffice,UT,12,,29,0,4,,1,24,275,44,225,6,,,,,,,,,,
