Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
AlpinePoliceDept,UT,12,20910,33,0,18,,11,4,701,200,485,16,157.8,.0,86.1,,52.6,19.1,3352.5,956.5,2319.5,76.5
AmericanForkPoliceDept,UT,12,23142,29,1,10,,1,17,970,144,755,71,125.3,4.3,43.2,,4.3,73.5,4191.5,622.2,3262.5,306.8
BountifulPoliceDept,UT,12,42561,69,1,19,,11,38,1045,175,798,72,162.1,2.3,44.6,,25.8,89.3,2455.3,411.2,1875.0,169.2
BrighamCityPoliceDept,UT,12,17727,37,0,8,,5,24,525,106,390,29,208.7,.0,45.1,,28.2,135.4,2961.6,598.0,2200.0,163.6
CacheCountySheriffOffice,UT,12,,23,0,12,,0,11,475,95,362,18,,,,,,,,,,
CedarCityPoliceDept,UT,12,22973,28,0,5,,4,19,691,120,525,46,121.9,.0,21.8,,17.4,82.7,3007.9,522.4,2285.3,200.2
CentervillePoliceDept,UT,12,15165,11,0,3,,3,5,369,66,277,26,72.5,.0,19.8,,19.8,33.0,2433.2,435.2,1826.6,171.4
ClearfieldPoliceDept,UT,12,28145,37,0,14,,6,17,891,120,714,57,131.5,.0,49.7,,21.3,60.4,3165.7,426.4,2536.9,202.5
ClintonPoliceDept,UT,12,17002,16,0,2,,2,12,224,36,178,10,94.1,.0,11.8,,11.8,70.6,1317.5,211.7,1046.9,58.8
DavisCountySheriffOffice,UT,12,,27,0,5,,1,21,198,49,129,20,,,,,,,,,,
Draper,UT,12,34156,33,1,8,,4,20,1144,182,897,65,96.6,2.9,23.4,,11.7,58.6,3349.3,532.8,2626.2,190.3
FarmingtonPoliceDept,UT,12,14350,9,0,2,,0,7,213,26,171,16,62.7,.0,13.9,,.0,48.8,1484.3,181.2,1191.6,111.5
HeberCityPoliceDept,UT,12,9097,0,0,0,,0,0,15,11,2,2,.0,.0,.0,,.0,.0,164.9,120.9,22.0,22.0
HurricanePoliceDept,UT,12,10077,13,0,6,,0,7,249,52,179,18,129.0,.0,59.5,,.0,69.5,2471.0,516.0,1776.3,178.6
KaysvillePoliceDept,UT,12,22482,16,0,6,,3,7,484,101,365,18,71.2,.0,26.7,,13.3,31.1,2152.8,449.2,1623.5,80.1
LaytonPoliceDept,UT,12,63269,95,2,32,,17,44,1918,290,1517,111,150.2,3.2,50.6,,26.9,69.5,3031.5,458.4,2397.7,175.4
LehiPoliceDept,UT,12,26530,28,0,10,,1,17,706,243,408,55,105.5,.0,37.7,,3.8,64.1,2661.1,915.9,1537.9,207.3
LoganPoliceDept,UT,12,47052,38,1,16,,5,16,1048,164,844,40,80.8,2.1,34.0,,10.6,34.0,2227.3,348.6,1793.8,85.0
MidvalePoliceDept,UT,12,27930,111,0,28,,17,66,1605,178,1232,195,397.4,.0,100.3,,60.9,236.3,5746.5,637.3,4411.0,698.2
MurrayPoliceDept,UT,12,44789,165,0,22,,40,103,3907,472,3073,362,368.4,.0,49.1,,89.3,230.0,8723.1,1053.8,6861.1,808.2
NorthOgdenPoliceDept,UT,12,16878,3,0,1,,0,2,248,45,191,12,17.8,.0,5.9,,.0,11.8,1469.4,266.6,1131.7,71.1
NorthLoganPoliceDept,UT,12,9973,5,0,2,,1,2,196,38,151,7,50.1,.0,20.1,,10.0,20.1,1965.3,381.0,1514.1,70.2
NorthSaltLakePoliceDept,UT,12,9877,8,0,0,,2,6,463,68,351,44,81.0,.0,.0,,20.2,60.7,4687.7,688.5,3553.7,445.5
OgdenPoliceDept,UT,12,81166,383,5,40,,121,217,4931,797,3723,411,471.9,6.2,49.3,,149.1,267.4,6075.2,981.9,4586.9,506.4
OremPoliceDept,UT,12,91607,65,0,16,,13,36,3483,392,2909,182,71.0,.0,17.5,,14.2,39.3,3802.1,427.9,3175.5,198.7
PaysonPoliceDept,UT,12,15032,16,0,1,,3,12,601,166,398,37,106.4,.0,6.7,,20.0,79.8,3998.1,1104.3,2647.7,246.1
PleasantGrovePoliceDept,UT,12,36805,18,0,3,,2,13,597,82,485,30,48.9,.0,8.2,,5.4,35.3,1622.1,222.8,1317.8,81.5
ProvoPoliceDept,UT,12,102983,193,3,62,,20,108,3373,692,2472,209,187.4,2.9,60.2,,19.4,104.9,3275.3,672.0,2400.4,202.9
RoyPoliceDept,UT,12,36498,53,0,17,,7,29,766,114,604,48,145.2,.0,46.6,,19.2,79.5,2098.7,312.3,1654.9,131.5
SaltLakeCountySheriffOffice,UT,12,,559,4,112,,90,353,10705,1899,7719,1087,,,,,,,,,,
SaltLakeCityPoliceDept,UT,12,184627,1298,9,76,,417,796,15958,2183,11684,2091,703.0,4.9,41.2,,225.9,431.1,8643.4,1182.4,6328.4,1132.6
SandyCityPoliceDept,UT,12,93013,161,1,14,,27,119,3249,475,2538,236,173.1,1.1,15.1,,29.0,127.9,3493.1,510.7,2728.7,253.7
SantaquinPoliceDept,UT,12,7209,4,0,0,,0,4,134,30,97,7,55.5,.0,.0,,.0,55.5,1858.8,416.1,1345.5,97.1
SouthJordanPoliceDept,UT,12,38031,30,0,6,,3,21,889,116,724,49,78.9,.0,15.8,,7.9,55.2,2337.6,305.0,1903.7,128.8
SouthOgdenPoliceDept,UT,12,15640,20,2,5,,9,4,503,70,410,23,127.9,12.8,32.0,,57.5,25.6,3216.1,447.6,2621.5,147.1
SouthSaltLakePoliceDept,UT,12,22235,195,1,44,,38,112,2197,284,1559,354,877.0,4.5,197.9,,170.9,503.7,9880.8,1277.3,7011.5,1592.1
SpanishForkPoliceDept,UT,12,23609,16,0,4,,2,10,817,142,644,31,67.8,.0,16.9,,8.5,42.4,3460.5,601.5,2727.8,131.3
SpringvillePoliceDept,UT,12,22232,30,0,9,,6,15,855,138,689,28,134.9,.0,40.5,,27.0,67.5,3845.8,620.7,3099.1,125.9
St.GeorgePoliceDept,UT,12,61795,226,1,14,,13,198,1883,387,1263,233,365.7,1.6,22.7,,21.0,320.4,3047.2,626.3,2043.9,377.1
SummitCountySheriffOffice,UT,12,,26,1,8,,3,14,687,96,553,38,,,,,,,,,,
SyracusePoliceDept,UT,12,16703,17,0,4,,0,13,224,50,164,10,101.8,.0,23.9,,.0,77.8,1341.1,299.3,981.9,59.9
TaylorsvilleCity,UT,9,60140,111,2,23,,17,69,2431,326,1812,293,,,,,,,,,,
TooelePoliceDept,UT,12,28844,47,2,9,,4,32,908,144,699,65,162.9,6.9,31.2,,13.9,110.9,3148.0,499.2,2423.4,225.4
UtahCountySheriffOffice,UT,12,,34,1,12,,1,20,393,110,247,36,,,,,,,,,,
