Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
AmericanForkPoliceDept,UT,12,36755,23,0,11,,4,8,940,175,731,34,62.6,.0,29.9,,10.9,21.8,2557.5,476.1,1988.8,92.5
BountifulPoliceDept,UT,12,43373,41,0,15,,4,22,803,107,663,33,94.5,.0,34.6,,9.2,50.7,1851.4,246.7,1528.6,76.1
BrighamCityPoliceDept,UT,12,18244,35,3,5,,5,22,577,144,418,15,191.8,16.4,27.4,,27.4,120.6,3162.7,789.3,2291.2,82.2
CacheCountySheriffOffice,UT,12,,21,0,6,,2,13,460,71,371,18,,,,,,,,,,
CedarCityPoliceDept,UT,12,29414,52,0,12,,4,36,899,175,693,31,176.8,.0,40.8,,13.6,122.4,3056.4,595.0,2356.0,105.4
CentervillePoliceDept,UT,12,15631,10,0,1,,1,8,455,41,394,20,64.0,.0,6.4,,6.4,51.2,2910.9,262.3,2520.6,128.0
ClearfieldPoliceDept,UT,12,30693,54,0,10,,9,35,746,108,613,25,175.9,.0,32.6,,29.3,114.0,2430.5,351.9,1997.2,81.5
ClintonPoliceDept,UT,12,20820,24,0,9,,1,14,349,42,297,10,115.3,.0,43.2,,4.8,67.2,1676.3,201.7,1426.5,48.0
DavisCountySheriffOffice,UT,12,,17,0,5,,1,11,203,42,148,13,,,,,,,,,,
Draper,UT,12,43090,45,0,10,,7,28,905,216,636,53,104.4,.0,23.2,,16.2,65.0,2100.3,501.3,1476.0,123.0
FarmingtonPoliceDept,UT,12,18628,6,0,1,,0,5,239,22,206,11,32.2,.0,5.4,,.0,26.8,1283.0,118.1,1105.9,59.1
HeberCityPoliceDept,UT,12,11581,6,0,4,,0,2,69,11,57,1,51.8,.0,34.5,,.0,17.3,595.8,95.0,492.2,8.6
HurricanePoliceDept,UT,12,14013,17,0,2,,2,13,301,83,204,14,121.3,.0,14.3,,14.3,92.8,2148.0,592.3,1455.8,99.9
KaysvillePoliceDept,UT,12,27827,15,1,5,,0,9,356,64,278,14,53.9,3.6,18.0,,.0,32.3,1279.3,230.0,999.0,50.3
LaytonPoliceDept,UT,12,68610,83,0,28,,11,44,1962,306,1597,59,121.0,.0,40.8,,16.0,64.1,2859.6,446.0,2327.6,86.0
LehiPoliceDept,UT,12,48322,26,1,9,,5,11,821,120,652,49,53.8,2.1,18.6,,10.3,22.8,1699.0,248.3,1349.3,101.4
LoganPoliceDept,UT,12,49104,26,0,2,,2,22,376,49,314,13,52.9,.0,4.1,,4.1,44.8,765.7,99.8,639.5,26.5
AlpinePoliceDept,UT,12,25562,2,0,0,,0,2,269,88,175,6,7.8,.0,.0,,.0,7.8,1052.3,344.3,684.6,23.5
MurrayPoliceDept,UT,12,47648,198,1,25,,47,125,3065,377,2391,297,415.5,2.1,52.5,,98.6,262.3,6432.6,791.2,5018.0,623.3
NorthOgdenPoliceDept,UT,12,17692,7,1,4,,0,2,220,35,180,5,39.6,5.7,22.6,,.0,11.3,1243.5,197.8,1017.4,28.3
NorthLoganPoliceDept,UT,12,12336,8,0,3,,1,4,161,26,126,9,64.9,.0,24.3,,8.1,32.4,1305.1,210.8,1021.4,73.0
NorthSaltLakePoliceDept,UT,12,16637,18,0,4,,3,11,375,57,282,36,108.2,.0,24.0,,18.0,66.1,2254.0,342.6,1695.0,216.4
