Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
AlpinePoliceDept,UT,12,3492,9,0,0,,0,9,171,31,131,9,257.7,.0,.0,,.0,257.7,4896.9,887.7,3751.4,257.7
AmericanForkPoliceDept,UT,12,15696,17,0,5,,0,12,789,97,655,37,108.3,.0,31.9,,.0,76.5,5026.8,618.0,4173.0,235.7
BountifulPoliceDept,UT,12,36659,51,0,4,,9,38,1224,166,1016,42,139.1,.0,10.9,,24.6,103.7,3338.9,452.8,2771.5,114.6
BrighamCityPoliceDept,UT,12,15644,24,0,2,,0,22,527,62,452,13,153.4,.0,12.8,,.0,140.6,3368.7,396.3,2889.3,83.1
CacheCountySheriffOffice,UT,12,,5,0,1,,0,4,666,105,536,25,,,,,,,,,,
CedarCityPoliceDept,UT,12,13443,12,0,2,,1,9,563,59,478,26,89.3,.0,14.9,,7.4,66.9,4188.1,438.9,3555.8,193.4
CentervillePoliceDept,UT,12,11500,23,0,3,,1,19,451,144,299,8,200.0,.0,26.1,,8.7,165.2,3921.7,1252.2,2600.0,69.6
ClearfieldPoliceDept,UT,12,21435,38,0,4,,7,27,789,97,647,45,177.3,.0,18.7,,32.7,126.0,3680.9,452.5,3018.4,209.9
ClintonPoliceDept,UT,12,7945,6,0,1,,0,5,173,27,140,6,75.5,.0,12.6,,.0,62.9,2177.5,339.8,1762.1,75.5
DavisCountySheriffOffice,UT,12,,23,0,10,,3,10,207,59,144,4,,,,,,,,,,
Draper,UT,12,7257,23,0,3,,1,19,528,84,419,25,316.9,.0,41.3,,13.8,261.8,7275.7,1157.5,5773.7,344.5
FarmingtonPoliceDept,UT,12,9028,2,0,1,,0,1,223,51,164,8,22.2,.0,11.1,,.0,11.1,2470.1,564.9,1816.6,88.6
HeberCityPoliceDept,UT,12,4782,25,0,0,,0,25,150,25,123,2,522.8,.0,.0,,.0,522.8,3136.8,522.8,2572.1,41.8
HurricanePoliceDept,UT,12,5686,6,0,2,,0,4,146,13,129,4,105.5,.0,35.2,,.0,70.3,2567.7,228.6,2268.7,70.3
KaysvillePoliceDept,UT,12,13961,26,0,3,,1,22,391,67,304,20,186.2,.0,21.5,,7.2,157.6,2800.7,479.9,2177.5,143.3
LaytonPoliceDept,UT,12,45600,79,0,18,,14,47,2217,295,1831,91,173.2,.0,39.5,,30.7,103.1,4861.8,646.9,4015.4,199.6
LehiPoliceDept,UT,12,8475,9,0,2,,1,6,185,26,157,2,106.2,.0,23.6,,11.8,70.8,2182.9,306.8,1852.5,23.6
LoganPoliceDept,UT,12,32762,29,0,11,,1,17,1204,113,1067,24,88.5,.0,33.6,,3.1,51.9,3675.0,344.9,3256.8,73.3
MidvalePoliceDept,UT,12,11886,44,0,6,,12,26,1148,213,874,61,370.2,.0,50.5,,101.0,218.7,9658.4,1792.0,7353.2,513.2
MurrayPoliceDept,UT,12,31282,110,2,17,,29,62,3489,447,2913,129,351.6,6.4,54.3,,92.7,198.2,11153.4,1428.9,9312.1,412.4
NorthOgdenPoliceDept,UT,12,11668,7,1,3,,2,1,216,24,186,6,60.0,8.6,25.7,,17.1,8.6,1851.2,205.7,1594.1,51.4
NorthSaltLakePoliceDept,UT,12,6474,13,0,3,,2,8,246,28,209,9,200.8,.0,46.3,,30.9,123.6,3799.8,432.5,3228.3,139.0
OgdenPoliceDept,UT,12,63909,326,1,46,,66,213,5477,794,4437,246,510.1,1.6,72.0,,103.3,333.3,8570.0,1242.4,6942.7,384.9
