Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
AlpinePoliceDept,UT,12,3356,5,0,0,,0,5,82,15,60,7,149.0,.0,.0,,.0,149.0,2443.4,447.0,1787.8,208.6
AmericanForkPoliceDept,UT,12,15178,17,0,1,,1,15,563,65,480,18,112.0,.0,6.6,,6.6,98.8,3709.3,428.3,3162.5,118.6
BountifulPoliceDept,UT,12,34584,51,0,5,,4,42,1086,194,858,34,147.5,.0,14.5,,11.6,121.4,3140.2,561.0,2480.9,98.3
BrighamCityPoliceDept,UT,12,16464,26,1,0,,0,25,601,78,494,29,157.9,6.1,.0,,.0,151.8,3650.4,473.8,3000.5,176.1
CacheCountySheriffOffice,UT,12,,10,0,3,,0,7,489,105,364,20,,,,,,,,,,
CedarCityPoliceDept,UT,12,12433,15,0,2,,1,12,373,60,285,28,120.6,.0,16.1,,8.0,96.5,3000.1,482.6,2292.3,225.2
CentervillePoliceDept,UT,12,9959,6,0,1,,0,5,316,69,242,5,60.2,.0,10.0,,.0,50.2,3173.0,692.8,2430.0,50.2
ClearfieldPoliceDept,UT,12,22036,32,0,2,,6,24,600,108,466,26,145.2,.0,9.1,,27.2,108.9,2722.8,490.1,2114.7,118.0
ClintonPoliceDept,UT,12,7415,3,0,0,,0,3,147,24,116,7,40.5,.0,.0,,.0,40.5,1982.5,323.7,1564.4,94.4
DavisCountySheriffOffice,UT,12,,14,0,2,,1,11,239,66,155,18,,,,,,,,,,
Draper,UT,12,6280,9,1,0,,0,8,189,19,161,9,143.3,15.9,.0,,.0,127.4,3009.6,302.5,2563.7,143.3
FarmingtonPoliceDept,UT,12,6604,1,0,0,,0,1,306,42,254,10,15.1,.0,.0,,.0,15.1,4633.6,636.0,3846.2,151.4
HeberCityPoliceDept,UT,12,4846,0,0,0,,0,0,127,18,105,4,.0,.0,.0,,.0,.0,2620.7,371.4,2166.7,82.5
HurricanePoliceDept,UT,12,2927,12,0,0,,0,12,235,58,171,6,410.0,.0,.0,,.0,410.0,8028.7,1981.6,5842.2,205.0
KaysvillePoliceDept,UT,12,11859,11,0,0,,1,10,336,53,273,10,92.8,.0,.0,,8.4,84.3,2833.3,446.9,2302.0,84.3
LaytonPoliceDept,UT,12,31509,53,2,2,,7,42,1466,230,1173,63,168.2,6.3,6.3,,22.2,133.3,4652.6,730.0,3722.7,199.9
LehiPoliceDept,UT,12,8177,3,0,1,,0,2,192,26,160,6,36.7,.0,12.2,,.0,24.5,2348.0,318.0,1956.7,73.4
LoganPoliceDept,UT,12,29000,94,1,7,,2,84,1130,147,926,57,324.1,3.4,24.1,,6.9,289.7,3896.6,506.9,3193.1,196.6
MidvalePoliceDept,UT,12,11743,62,1,7,,10,44,959,163,746,50,528.0,8.5,59.6,,85.2,374.7,8166.6,1388.1,6352.7,425.8
MurrayPoliceDept,UT,12,27148,107,1,6,,27,73,3088,480,2486,122,394.1,3.7,22.1,,99.5,268.9,11374.7,1768.1,9157.2,449.4
NorthOgdenPoliceDept,UT,12,10557,9,0,0,,0,9,169,28,135,6,85.3,.0,.0,,.0,85.3,1600.8,265.2,1278.8,56.8
NorthSaltLakePoliceDept,UT,12,6343,13,0,1,,1,11,252,31,210,11,205.0,.0,15.8,,15.8,173.4,3972.9,488.7,3310.7,173.4
OgdenPoliceDept,UT,12,68737,322,3,49,,116,154,6319,1183,4855,281,468.5,4.4,71.3,,168.8,224.0,9193.0,1721.1,7063.2,408.8
OremPoliceDept,UT,12,61378,85,1,10,,8,66,2736,347,2320,69,138.5,1.6,16.3,,13.0,107.5,4457.6,565.3,3779.9,112.4
PaysonPoliceDept,UT,12,9667,24,0,4,,0,20,215,38,169,8,248.3,.0,41.4,,.0,206.9,2224.1,393.1,1748.2,82.8
PleasantGrovePoliceDept,UT,11,13068,15,0,3,,1,11,443,62,365,16,,,,,,,,,,
ProvoPoliceDept,UT,12,74740,122,1,21,,18,82,3290,465,2705,120,163.2,1.3,28.1,,24.1,109.7,4401.9,622.2,3619.2,160.6
RoyPoliceDept,UT,12,22668,79,0,1,,6,72,980,109,834,37,348.5,.0,4.4,,26.5,317.6,4323.3,480.9,3679.2,163.2
St.GeorgePoliceDept,UT,12,16680,31,0,1,,8,22,1234,162,985,87,185.9,.0,6.0,,48.0,131.9,7398.1,971.2,5905.3,521.6
SaltLakeCityPoliceDept,UT,12,166182,1246,20,107,,506,613,19036,3714,14320,1002,749.8,12.0,64.4,,304.5,368.9,11454.9,2234.9,8617.1,603.0
SaltLakeCountySheriffOffice,UT,12,,799,11,66,,102,620,13853,2463,10925,465,,,,,,,,,,
SandyCityPoliceDept,UT,12,64014,107,0,17,,27,63,2281,437,1755,89,167.2,.0,26.6,,42.2,98.4,3563.3,682.7,2741.6,139.0
SantaquinPoliceDept,UT,12,2679,6,0,1,,0,5,43,11,27,5,224.0,.0,37.3,,.0,186.6,1605.1,410.6,1007.8,186.6
SouthJordanPoliceDept,UT,12,9957,8,0,0,,0,8,313,55,245,13,80.3,.0,.0,,.0,80.3,3143.5,552.4,2460.6,130.6
SouthOgdenPoliceDept,UT,12,12397,10,0,0,,6,4,483,76,388,19,80.7,.0,.0,,48.4,32.3,3896.1,613.1,3129.8,153.3
SouthSaltLakePoliceDept,UT,12,12237,62,0,5,,20,37,1634,304,1250,80,506.7,.0,40.9,,163.4,302.4,13352.9,2484.3,10214.9,653.8
SpanishForkPoliceDept,UT,12,11148,4,0,0,,2,2,502,56,432,14,35.9,.0,.0,,17.9,17.9,4503.0,502.3,3875.1,125.6
SpringvillePoliceDept,UT,12,13775,20,0,1,,2,17,523,83,418,22,145.2,.0,7.3,,14.5,123.4,3796.7,602.5,3034.5,159.7
SummitCountySheriffOffice,UT,12,,17,1,3,,1,12,214,61,142,11,,,,,,,,,,
SyracusePoliceDept,UT,12,4560,2,0,0,,0,2,86,14,70,2,43.9,.0,.0,,.0,43.9,1886.0,307.0,1535.1,43.9
TooelePoliceDept,UT,12,15814,15,0,2,,3,10,594,143,424,27,94.9,.0,12.6,,19.0,63.2,3756.2,904.3,2681.2,170.7
UtahCountySheriffOffice,UT,12,,12,0,1,,0,11,341,75,243,23,,,,,,,,,,
VernalPoliceDept,UT,12,9791,29,1,4,,1,23,594,116,463,15,296.2,10.2,40.9,,10.2,234.9,6066.8,1184.8,4728.8,153.2
WeberCountySheriffDepartment,UT,12,,68,0,7,,3,58,666,173,453,40,,,,,,,,,,
WestJordanPoliceDept,UT,12,39201,140,0,5,,5,130,1589,207,1346,36,357.1,.0,12.8,,12.8,331.6,4053.5,528.0,3433.6,91.8
WestValleyPoliceDept,UT,12,89871,224,1,32,,47,144,5462,998,4162,302,249.2,1.1,35.6,,52.3,160.2,6077.6,1110.5,4631.1,336.0
WoodsCrossPoliceDept,UT,12,5122,20,0,2,,0,18,238,36,196,6,390.5,.0,39.0,,.0,351.4,4646.6,702.9,3826.6,117.1
