Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
AlpinePoliceDept,UT,12,15569,8,0,2,,2,4,243,39,194,10,51.4,.0,12.8,,12.8,25.7,1560.8,250.5,1246.1,64.2
AmericanForkPoliceDept,UT,12,22301,31,0,5,,7,19,879,128,706,45,139.0,.0,22.4,,31.4,85.2,3941.5,574.0,3165.8,201.8
BountifulPoliceDept,UT,12,41978,49,0,11,,6,32,805,89,681,35,116.7,.0,26.2,,14.3,76.2,1917.7,212.0,1622.3,83.4
BrighamCityPoliceDept,UT,12,17697,48,0,8,,2,38,610,95,494,21,271.2,.0,45.2,,11.3,214.7,3446.9,536.8,2791.4,118.7
CacheCountySheriffOffice,UT,12,,33,1,14,,2,16,495,58,416,21,,,,,,,,,,
CedarCityPoliceDept,UT,12,20864,17,0,0,,5,12,791,128,632,31,81.5,.0,.0,,24.0,57.5,3791.2,613.5,3029.1,148.6
CentervillePoliceDept,UT,12,14824,11,0,5,,2,4,437,67,355,15,74.2,.0,33.7,,13.5,27.0,2947.9,452.0,2394.8,101.2
ClearfieldPoliceDept,UT,12,26400,55,1,19,,0,35,901,114,731,56,208.3,3.8,72.0,,.0,132.6,3412.9,431.8,2768.9,212.1
ClintonPoliceDept,UT,12,12791,11,0,6,,0,5,178,24,141,13,86.0,.0,46.9,,.0,39.1,1391.6,187.6,1102.3,101.6
DavisCountySheriffOffice,UT,12,,17,0,4,,0,13,135,42,80,13,,,,,,,,,,
FarmingtonPoliceDept,UT,12,12279,4,0,1,,0,3,273,40,218,15,32.6,.0,8.1,,.0,24.4,2223.3,325.8,1775.4,122.2
HeberCityPoliceDept,UT,12,7411,4,0,0,,0,4,89,30,55,4,54.0,.0,.0,,.0,54.0,1200.9,404.8,742.1,54.0
HurricanePoliceDept,UT,12,8385,7,0,1,,1,5,177,26,143,8,83.5,.0,11.9,,11.9,59.6,2110.9,310.1,1705.4,95.4
KaysvillePoliceDept,UT,12,20685,9,1,3,,0,5,342,74,254,14,43.5,4.8,14.5,,.0,24.2,1653.4,357.7,1227.9,67.7
LaytonPoliceDept,UT,12,59433,95,2,24,,21,48,2212,281,1810,121,159.8,3.4,40.4,,35.3,80.8,3721.8,472.8,3045.4,203.6
LehiPoliceDept,UT,12,19340,23,1,12,,2,8,327,114,189,24,118.9,5.2,62.0,,10.3,41.4,1690.8,589.5,977.2,124.1
LoganPoliceDept,UT,12,43370,32,1,8,,0,23,910,66,817,27,73.8,2.3,18.4,,.0,53.0,2098.2,152.2,1883.8,62.3
MidvalePoliceDept,UT,12,27472,130,0,23,,37,70,1736,266,1312,158,473.2,.0,83.7,,134.7,254.8,6319.2,968.3,4775.8,575.1
MurrayPoliceDept,UT,12,34582,160,2,30,,39,89,3377,461,2661,255,462.7,5.8,86.8,,112.8,257.4,9765.2,1333.1,7694.8,737.4
NorthOgdenPoliceDept,UT,12,15272,5,0,1,,0,4,293,32,254,7,32.7,.0,6.5,,.0,26.2,1918.5,209.5,1663.2,45.8
