Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
NorthLoganPoliceDept,UT,12,9267,5,0,3,,0,2,194,32,148,14,54.0,.0,32.4,,.0,21.6,2093.4,345.3,1597.1,151.1
NorthSaltLakePoliceDept,UT,12,8892,17,0,3,,2,12,392,40,329,23,191.2,.0,33.7,,22.5,135.0,4408.5,449.8,3700.0,258.7
OgdenPoliceDept,UT,12,78492,358,9,53,,105,191,4884,771,3760,353,456.1,11.5,67.5,,133.8,243.3,6222.3,982.3,4790.3,449.7
OremPoliceDept,UT,12,85707,63,0,18,,11,34,3253,284,2796,173,73.5,.0,21.0,,12.8,39.7,3795.5,331.4,3262.3,201.9
PaysonPoliceDept,UT,12,12925,11,1,5,,1,4,388,104,261,23,85.1,7.7,38.7,,7.7,30.9,3001.9,804.6,2019.3,177.9
PleasantGrovePoliceDept,UT,12,32353,28,2,7,,2,17,897,103,738,56,86.5,6.2,21.6,,6.2,52.5,2772.5,318.4,2281.1,173.1
ProvoPoliceDept,UT,12,106891,159,0,43,,18,98,3750,567,2982,201,148.7,.0,40.2,,16.8,91.7,3508.2,530.4,2789.8,188.0
RoyPoliceDept,UT,12,33424,89,0,7,,5,77,1060,281,724,55,266.3,.0,20.9,,15.0,230.4,3171.4,840.7,2166.1,164.6
SaltLakeCountySheriffOffice,UT,12,,788,11,124,,171,482,14168,2037,11141,990,,,,,,,,,,
SaltLakeCityPoliceDept,UT,12,184723,1166,18,121,,481,546,15272,2209,11401,1662,631.2,9.7,65.5,,260.4,295.6,8267.5,1195.8,6171.9,899.7
SandyCityPoliceDept,UT,12,89868,143,1,24,,37,81,3308,552,2576,180,159.1,1.1,26.7,,41.2,90.1,3681.0,614.2,2866.4,200.3
SantaquinPoliceDept,UT,12,5894,2,0,0,,1,1,82,18,58,6,33.9,.0,.0,,17.0,17.0,1391.2,305.4,984.1,101.8
SouthJordanPoliceDept,UT,12,29920,18,0,3,,3,12,487,123,332,32,60.2,.0,10.0,,10.0,40.1,1627.7,411.1,1109.6,107.0
SouthOgdenPoliceDept,UT,12,14613,33,1,4,,8,20,594,74,490,30,225.8,6.8,27.4,,54.7,136.9,4064.9,506.4,3353.2,205.3
SouthSaltLakePoliceDept,UT,12,22399,137,1,41,,31,64,1956,288,1375,293,611.6,4.5,183.0,,138.4,285.7,8732.5,1285.8,6138.7,1308.1
SpanishForkPoliceDept,UT,12,20578,9,0,3,,1,5,1033,181,821,31,43.7,.0,14.6,,4.9,24.3,5019.9,879.6,3989.7,150.6
SpringvillePoliceDept,UT,12,20759,35,0,8,,2,25,783,131,616,36,168.6,.0,38.5,,9.6,120.4,3771.9,631.1,2967.4,173.4
St.GeorgePoliceDept,UT,12,50477,64,0,22,,0,42,702,112,567,23,126.8,.0,43.6,,.0,83.2,1390.7,221.9,1123.3,45.6
SummitCountySheriffOffice,UT,6,,1,0,0,,1,0,342,53,271,18,,,,,,,,,,
SyracusePoliceDept,UT,12,9552,5,0,1,,0,4,69,16,43,10,52.3,.0,10.5,,.0,41.9,722.4,167.5,450.2,104.7
TooelePoliceDept,UT,12,22871,61,3,9,,9,40,629,170,376,83,266.7,13.1,39.4,,39.4,174.9,2750.2,743.3,1644.0,362.9
UtahCountySheriffOffice,UT,12,,21,0,7,,0,14,238,85,135,18,,,,,,,,,,
VernalPoliceDept,UT,12,7840,9,0,2,,1,6,425,54,348,23,114.8,.0,25.5,,12.8,76.5,5420.9,688.8,4438.8,293.4
WeberCountySheriffDepartment,UT,12,,30,0,4,,4,22,747,144,573,30,,,,,,,,,,
WestJordanPoliceDept,UT,12,69457,160,1,26,,27,106,2837,362,2308,167,230.4,1.4,37.4,,38.9,152.6,4084.5,521.2,3322.9,240.4
WestValleyPoliceDept,UT,12,110682,405,8,56,,97,244,5605,790,4275,540,365.9,7.2,50.6,,87.6,220.5,5064.1,713.8,3862.4,487.9
WoodsCrossPoliceDept,UT,12,6524,17,0,1,,0,16,224,26,178,20,260.6,.0,15.3,,.0,245.2,3433.5,398.5,2728.4,306.6
