Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
AlpinePoliceDept,UT,12,3860,1,0,0,,0,1,149,66,81,2,25.9,.0,.0,,.0,25.9,3860.1,1709.8,2098.4,51.8
AmericanForkPoliceDept,UT,12,16827,35,0,7,,0,28,706,90,585,31,208.0,.0,41.6,,.0,166.4,4195.6,534.9,3476.6,184.2
BountifulPoliceDept,UT,12,38823,52,0,10,,6,36,990,162,791,37,133.9,.0,25.8,,15.5,92.7,2550.0,417.3,2037.5,95.3
BrighamCityPoliceDept,UT,12,16634,16,0,6,,1,9,653,98,547,8,96.2,.0,36.1,,6.0,54.1,3925.7,589.2,3288.4,48.1
CacheCountySheriffOffice,UT,12,,18,0,7,,2,9,670,109,531,30,,,,,,,,,,
CedarCityPoliceDept,UT,12,14477,15,0,5,,1,9,551,71,460,20,103.6,.0,34.5,,6.9,62.2,3806.0,490.4,3177.5,138.2
CentervillePoliceDept,UT,12,13148,18,0,7,,5,6,434,175,252,7,136.9,.0,53.2,,38.0,45.6,3300.9,1331.0,1916.6,53.2
ClearfieldPoliceDept,UT,12,23200,42,1,5,,8,28,670,91,544,35,181.0,4.3,21.6,,34.5,120.7,2887.9,392.2,2344.8,150.9
ClintonPoliceDept,UT,12,8487,17,0,3,,0,14,200,42,149,9,200.3,.0,35.3,,.0,165.0,2356.5,494.9,1755.6,106.0
DavisCountySheriffOffice,UT,12,,38,0,24,,0,14,183,63,112,8,,,,,,,,,,
FarmingtonPoliceDept,UT,12,9845,9,0,0,,1,8,270,42,221,7,91.4,.0,.0,,10.2,81.3,2742.5,426.6,2244.8,71.1
HeberCityPoliceDept,UT,12,5444,3,0,1,,0,2,237,44,180,13,55.1,.0,18.4,,.0,36.7,4353.4,808.2,3306.4,238.8
HurricanePoliceDept,UT,12,6825,8,0,1,,0,7,251,39,205,7,117.2,.0,14.7,,.0,102.6,3677.7,571.4,3003.7,102.6
KaysvillePoliceDept,UT,12,15600,10,0,3,,0,7,388,85,293,10,64.1,.0,19.2,,.0,44.9,2487.2,544.9,1878.2,64.1
LaytonPoliceDept,UT,9,50980,91,0,25,,7,59,1650,225,1356,69,,,,,,,,,,
LehiPoliceDept,UT,12,9146,20,0,1,,0,19,245,58,172,15,218.7,.0,10.9,,.0,207.7,2678.8,634.2,1880.6,164.0
LoganPoliceDept,UT,12,34790,33,1,9,,5,18,1323,131,1162,30,94.9,2.9,25.9,,14.4,51.7,3802.8,376.5,3340.0,86.2
MidvalePoliceDept,UT,12,12466,61,0,8,,16,37,1145,182,912,51,489.3,.0,64.2,,128.3,296.8,9185.0,1460.0,7315.9,409.1
MurrayPoliceDept,UT,12,33318,94,3,15,,29,47,3052,410,2521,121,282.1,9.0,45.0,,87.0,141.1,9160.2,1230.6,7566.5,363.2
NorthOgdenPoliceDept,UT,12,12490,6,0,2,,0,4,268,21,240,7,48.0,.0,16.0,,.0,32.0,2145.7,168.1,1921.5,56.0
NorthSaltLakePoliceDept,UT,12,7014,13,0,4,,5,4,285,43,229,13,185.3,.0,57.0,,71.3,57.0,4063.3,613.1,3264.9,185.3
OgdenPoliceDept,UT,12,68028,400,6,42,,98,254,5300,890,4156,254,588.0,8.8,61.7,,144.1,373.4,7790.9,1308.3,6109.2,373.4
OremPoliceDept,UT,12,71315,58,1,11,,12,34,3101,386,2602,113,81.3,1.4,15.4,,16.8,47.7,4348.3,541.3,3648.6,158.5
PleasantGrovePoliceDept,UT,12,18622,22,0,9,,3,10,577,111,426,40,118.1,.0,48.3,,16.1,53.7,3098.5,596.1,2287.6,214.8
ProvoPoliceDept,UT,12,93661,143,1,36,,18,88,3552,508,2889,155,152.7,1.1,38.4,,19.2,94.0,3792.4,542.4,3084.5,165.5
RoyPoliceDept,UT,12,26487,103,0,6,,8,89,991,131,820,40,388.9,.0,22.7,,30.2,336.0,3741.5,494.6,3095.9,151.0
St.GeorgePoliceDept,UT,12,33610,58,0,13,,7,38,1850,251,1503,96,172.6,.0,38.7,,20.8,113.1,5504.3,746.8,4471.9,285.6
SaltLakeCityPoliceDept,UT,12,170380,1402,19,204,,498,681,17051,2823,12831,1397,822.9,11.2,119.7,,292.3,399.7,10007.6,1656.9,7530.8,819.9
SaltLakeCountySheriffOffice,UT,12,,1094,11,92,,135,856,14254,2157,11459,638,,,,,,,,,,
SandyCityPoliceDept,UT,12,83194,115,0,13,,28,74,3243,679,2454,110,138.2,.0,15.6,,33.7,88.9,3898.1,816.2,2949.7,132.2
SantaquinPoliceDept,UT,12,2614,4,0,2,,0,2,72,20,46,6,153.0,.0,76.5,,.0,76.5,2754.4,765.1,1759.8,229.5
SouthJordanPoliceDept,UT,12,14511,33,0,2,,3,28,571,126,399,46,227.4,.0,13.8,,20.7,193.0,3934.9,868.3,2749.6,317.0
SouthOgdenPoliceDept,UT,12,12853,23,0,3,,5,15,624,136,445,43,178.9,.0,23.3,,38.9,116.7,4854.9,1058.1,3462.2,334.6
SouthSaltLakePoliceDept,UT,12,11050,69,0,7,,22,40,1612,239,1253,120,624.4,.0,63.3,,199.1,362.0,14588.2,2162.9,11339.4,1086.0
SpanishForkPoliceDept,UT,12,12363,15,0,4,,2,9,508,63,433,12,121.3,.0,32.4,,16.2,72.8,4109.0,509.6,3502.4,97.1
SpringvillePoliceDept,UT,12,14866,41,0,13,,3,25,583,77,476,30,275.8,.0,87.4,,20.2,168.2,3921.7,518.0,3201.9,201.8
SummitCountySheriffOffice,UT,12,,63,1,5,,2,55,348,40,299,9,,,,,,,,,,
SyracusePoliceDept,UT,12,5119,16,0,3,,1,12,56,13,42,1,312.6,.0,58.6,,19.5,234.4,1094.0,254.0,820.5,19.5
TooelePoliceDept,UT,12,14806,30,1,3,,1,25,694,114,523,57,202.6,6.8,20.3,,6.8,168.9,4687.3,770.0,3532.4,385.0
UtahCountySheriffOffice,UT,12,,31,1,6,,2,22,365,105,233,27,,,,,,,,,,
VernalPoliceDept,UT,12,7313,29,1,6,,3,19,666,114,538,14,396.6,13.7,82.0,,41.0,259.8,9107.1,1558.9,7356.8,191.4
WeberCountySheriffDepartment,UT,12,,41,0,8,,3,30,670,174,465,31,,,,,,,,,,
WestJordanPoliceDept,UT,12,47912,46,1,5,,2,38,1656,253,1354,49,96.0,2.1,10.4,,4.2,79.3,3456.3,528.1,2826.0,102.3
WestValleyPoliceDept,UT,12,94215,411,4,65,,102,240,6365,852,5350,163,436.2,4.2,69.0,,108.3,254.7,6755.8,904.3,5678.5,173.0
WoodsCrossPoliceDept,UT,12,5549,4,0,1,,2,1,367,51,296,20,72.1,.0,18.0,,36.0,18.0,6613.8,919.1,5334.3,360.4
