Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
SouthSaltLakePoliceDept,UT,12,11843,70,0,15,,24,31,1538,346,1103,89,591.1,.0,126.7,,202.7,261.8,12986.6,2921.6,9313.5,751.5
SpanishForkPoliceDept,UT,12,11004,6,0,2,,1,3,489,57,410,22,54.5,.0,18.2,,9.1,27.3,4443.8,518.0,3725.9,199.9
SpringvillePoliceDept,UT,12,13371,16,1,2,,3,10,501,94,390,17,119.7,7.5,15.0,,22.4,74.8,3746.9,703.0,2916.8,127.1
SummitCountySheriffOffice,UT,12,,19,1,2,,1,15,205,61,133,11,,,,,,,,,,
SyracusePoliceDept,UT,12,4406,4,0,0,,1,3,70,16,49,5,90.8,.0,.0,,22.7,68.1,1588.7,363.1,1112.1,113.5
TooelePoliceDept,UT,11,15751,21,0,6,,2,13,563,138,395,30,,,,,,,,,,
UtahCountySheriffOffice,UT,12,,38,1,3,,2,32,377,81,265,31,,,,,,,,,,
VernalPoliceDept,UT,12,8406,26,2,7,,2,15,689,91,581,17,309.3,23.8,83.3,,23.8,178.4,8196.5,1082.6,6911.7,202.2
WeberCountySheriffDepartment,UT,12,,21,0,1,,3,17,638,161,441,36,,,,,,,,,,
WestJordanPoliceDept,UT,12,34216,119,0,3,,7,109,1717,277,1381,59,347.8,.0,8.8,,20.5,318.6,5018.1,809.6,4036.1,172.4
WestValleyPoliceDept,UT,12,86069,247,2,27,,60,158,5065,889,3798,378,287.0,2.3,31.4,,69.7,183.6,5884.8,1032.9,4412.7,439.2
WoodsCrossPoliceDept,UT,12,4968,3,0,2,,0,1,218,36,171,11,60.4,.0,40.3,,.0,20.1,4388.1,724.6,3442.0,221.4
