Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
AlpinePoliceDept,UT,12,3687,4,0,2,,0,2,131,36,89,6,108.5,.0,54.2,,.0,54.2,3553.0,976.4,2413.9,162.7
AmericanForkPoliceDept,UT,12,15548,16,0,5,,3,8,744,101,631,12,102.9,.0,32.2,,19.3,51.5,4785.2,649.6,4058.4,77.2
BountifulPoliceDept,UT,12,34348,46,0,6,,4,36,1031,175,818,38,133.9,.0,17.5,,11.6,104.8,3001.6,509.5,2381.5,110.6
BrighamCityPoliceDept,UT,12,16780,44,0,5,,2,37,524,51,455,18,262.2,.0,29.8,,11.9,220.5,3122.8,303.9,2711.6,107.3
CacheCountySheriffOffice,UT,12,,10,0,1,,1,8,626,143,460,23,,,,,,,,,,
CedarCityPoliceDept,UT,12,12143,20,0,3,,2,15,567,83,459,25,164.7,.0,24.7,,16.5,123.5,4669.4,683.5,3780.0,205.9
CentervillePoliceDept,UT,12,11557,6,0,0,,0,6,311,97,205,9,51.9,.0,.0,,.0,51.9,2691.0,839.3,1773.8,77.9
ClearfieldPoliceDept,UT,12,22841,29,0,3,,6,20,795,141,617,37,127.0,.0,13.1,,26.3,87.6,3480.6,617.3,2701.3,162.0
ClintonPoliceDept,UT,12,8506,2,0,0,,0,2,149,20,120,9,23.5,.0,.0,,.0,23.5,1751.7,235.1,1410.8,105.8
DavisCountySheriffOffice,UT,12,,26,0,10,,0,16,174,61,101,12,,,,,,,,,,
Draper,UT,12,6142,5,0,1,,0,4,212,29,171,12,81.4,.0,16.3,,.0,65.1,3451.6,472.2,2784.1,195.4
FarmingtonPoliceDept,UT,12,9274,1,0,1,,0,0,179,48,122,9,10.8,.0,10.8,,.0,.0,1930.1,517.6,1315.5,97.0
HeberCityPoliceDept,UT,12,4960,37,0,1,,0,36,158,20,135,3,746.0,.0,20.2,,.0,725.8,3185.5,403.2,2721.8,60.5
HurricanePoliceDept,UT,12,6001,7,0,3,,0,4,164,23,133,8,116.6,.0,50.0,,.0,66.7,2732.9,383.3,2216.3,133.3
KaysvillePoliceDept,UT,12,13103,18,0,4,,0,14,258,57,184,17,137.4,.0,30.5,,.0,106.8,1969.0,435.0,1404.3,129.7
LaytonPoliceDept,UT,12,37035,107,1,11,,10,85,1921,272,1545,104,288.9,2.7,29.7,,27.0,229.5,5187.0,734.4,4171.7,280.8
LehiPoliceDept,UT,12,8334,11,0,0,,0,11,165,38,122,5,132.0,.0,.0,,.0,132.0,1979.8,456.0,1463.9,60.0
LoganPoliceDept,UT,12,28469,39,0,9,,4,26,1299,141,1134,24,137.0,.0,31.6,,14.1,91.3,4562.9,495.3,3983.3,84.3
MidvalePoliceDept,UT,12,11436,27,1,3,,7,16,1254,202,1005,47,236.1,8.7,26.2,,61.2,139.9,10965.4,1766.4,8788.0,411.0
MurrayPoliceDept,UT,12,29974,106,0,11,,29,66,3338,452,2743,143,353.6,.0,36.7,,96.8,220.2,11136.3,1508.0,9151.3,477.1
NorthOgdenPoliceDept,UT,12,11426,4,0,2,,0,2,212,10,200,2,35.0,.0,17.5,,.0,17.5,1855.4,87.5,1750.4,17.5
NorthSaltLakePoliceDept,UT,12,6789,5,0,1,,0,4,218,27,180,11,73.6,.0,14.7,,.0,58.9,3211.1,397.7,2651.3,162.0
OgdenPoliceDept,UT,12,66999,322,6,42,,96,178,5845,1028,4548,269,480.6,9.0,62.7,,143.3,265.7,8724.0,1534.4,6788.2,401.5
OremPoliceDept,UT,11,65080,75,1,10,,3,61,2599,277,2257,65,,,,,,,,,,
