Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
AmericanForkPoliceDept,UT,12,37549,34,0,5,,6,23,819,117,672,30,90.5,.0,13.3,,16.0,61.3,2181.1,311.6,1789.7,79.9
BountifulPoliceDept,UT,12,43888,37,1,17,,2,17,940,143,748,49,84.3,2.3,38.7,,4.6,38.7,2141.8,325.8,1704.3,111.6
BrighamCityPoliceDept,UT,12,18255,56,0,7,,4,45,668,95,554,19,306.8,.0,38.3,,21.9,246.5,3659.3,520.4,3034.8,104.1
CacheCountySheriffOffice,UT,12,,13,0,9,,0,4,409,74,316,19,,,,,,,,,,
CedarCityPoliceDept,UT,12,29608,76,1,17,,3,55,745,117,600,28,256.7,3.4,57.4,,10.1,185.8,2516.2,395.2,2026.5,94.6
CentervillePoliceDept,UT,12,15807,5,0,2,,0,3,488,58,411,19,31.6,.0,12.7,,.0,19.0,3087.2,366.9,2600.1,120.2
ClearfieldPoliceDept,UT,12,31032,51,0,9,,6,36,735,92,626,17,164.3,.0,29.0,,19.3,116.0,2368.5,296.5,2017.3,54.8
ClintonPoliceDept,UT,12,21064,12,0,3,,0,9,320,38,273,9,57.0,.0,14.2,,.0,42.7,1519.2,180.4,1296.1,42.7
DavisCountySheriffOffice,UT,12,,16,0,5,,0,11,208,48,154,6,,,,,,,,,,
Draper,UT,12,43600,43,1,6,,4,32,866,153,677,36,98.6,2.3,13.8,,9.2,73.4,1986.2,350.9,1552.8,82.6
FarmingtonPoliceDept,UT,12,18836,6,0,3,,0,3,283,7,257,19,31.9,.0,15.9,,.0,15.9,1502.4,37.2,1364.4,100.9
HeberCityPoliceDept,UT,12,11954,1,0,1,,0,0,75,15,59,1,8.4,.0,8.4,,.0,.0,627.4,125.5,493.6,8.4
HurricanePoliceDept,UT,12,14284,21,0,5,,1,15,282,29,241,12,147.0,.0,35.0,,7.0,105.0,1974.2,203.0,1687.2,84.0
KaysvillePoliceDept,UT,12,28153,12,0,3,,0,9,290,55,222,13,42.6,.0,10.7,,.0,32.0,1030.1,195.4,788.5,46.2
LaytonPoliceDept,UT,12,69420,84,0,33,,7,44,1908,326,1513,69,121.0,.0,47.5,,10.1,63.4,2748.5,469.6,2179.5,99.4
LehiPoliceDept,UT,12,49375,18,0,4,,3,11,653,126,498,29,36.5,.0,8.1,,6.1,22.3,1322.5,255.2,1008.6,58.7
