Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2007

,,,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,
,,,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Alpine Police Dept,UT,12,      24586,           6,           0,           6,,           0,           0,         340,         107,         213,          20,          24.4,            .0,          24.4,,            .0,            .0,       1382.9,         435.2,         866.3,          81.3
American Fork Police Dept,UT,12,      35945,          34,           1,           5,,           5,          23,       1029,         145,         840,          44,          94.6,           2.8,          13.9,,          13.9,          64.0,       2862.7,         403.4,       2336.9,         122.4
Bountiful Police Dept,UT,12,      41132,          45,           0,           9,,          10,          26,       1065,         144,         876,          45,         109.4,            .0,          21.9,,          24.3,          63.2,       2589.2,         350.1,       2129.7,         109.4
Brigham City Police Dept,UT,12,      18609,          26,           0,           5,,           4,          17,         553,          68,         463,          22,         139.7,            .0,          26.9,,          21.5,          91.4,       2971.7,         365.4,       2488.0,         118.2
Cache County Sheriff Office,UT,12,,          28,           0,          18,,           2,           8,         575,         146,         411,          18,,,,,,,,,,
Cedar City Police Dept,UT,12,      26479,          37,           0,          14,,           3,          20,         827,         154,         631,          42,         139.7,            .0,          52.9,,          11.3,          75.5,       3123.2,         581.6,       2383.0,         158.6
Centerville Police Dept,UT,12,      15140,          14,           0,           3,,           0,          11,         338,          41,         286,          11,          92.5,            .0,          19.8,,            .0,          72.7,       2232.5,         270.8,       1889.0,          72.7
Clearfield Police Dept,UT,12,      27419,          42,           0,          11,,           7,          24,         867,         112,         710,          45,         153.2,            .0,          40.1,,          25.5,          87.5,       3162.0,         408.5,       2589.4,         164.1
Clinton Police Dept,UT,12,      19882,          12,           0,           5,,           2,           5,         268,          37,         211,          20,          60.4,            .0,          25.1,,          10.1,          25.1,       1348.0,         186.1,       1061.3,         100.6
Davis County Sheriff Office,UT,12,,          27,           0,           3,,           0,          24,         196,          81,          99,          16,,,,,,,,,,
Draper,UT,12,      38875,          29,           1,           8,,           1,          19,       1035,         270,         702,          63,          74.6,           2.6,          20.6,,           2.6,          48.9,       2662.4,         694.5,       1805.8,         162.1
Farmington Police Dept,UT,12,      16078,           6,           0,           1,,           1,           4,         203,          37,         157,           9,          37.3,            .0,           6.2,,           6.2,          24.9,       1262.6,         230.1,         976.5,          56.0
Heber City Police Dept,UT,12,      10155,           5,           0,           3,,           0,           2,         112,          31,          67,          14,          49.2,            .0,          29.5,,            .0,          19.7,       1102.9,         305.3,         659.8,         137.9
Hurricane Police Dept,UT,12,      12749,          16,           0,           3,,           0,          13,         359,          97,         225,          37,         125.5,            .0,          23.5,,            .0,         102.0,       2815.9,         760.8,       1764.8,         290.2
Kaysville Police Dept,UT,12,      24050,          17,           0,           6,,           0,          11,         410,          66,         322,          22,          70.7,            .0,          24.9,,            .0,          45.7,       1704.8,         274.4,       1338.9,          91.5
Layton Police Dept,UT,12,      63284,          80,           1,          22,,          14,          43,       2074,         295,       1683,          96,         126.4,           1.6,          34.8,,          22.1,          67.9,       3277.3,         466.2,       2659.4,         151.7
Lehi Police Dept,UT,12,      39483,          16,           0,          10,,           3,           3,         841,         101,         678,          62,          40.5,            .0,          25.3,,           7.6,           7.6,       2130.0,         255.8,       1717.2,         157.0
Logan Police Dept,UT,12,      48403,          28,           0,           3,,           4,          21,         447,          64,         361,          22,          57.8,            .0,           6.2,,           8.3,          43.4,         923.5,         132.2,         745.8,          45.5
Midvale Police Dept,UT,12,      27275,         117,           0,          20,,          27,          70,       1693,         237,       1124,         332,         429.0,            .0,          73.3,,          99.0,         256.6,       6207.1,         868.9,       4121.0,       1217.2
Murray Police Dept,UT,12,      44748,         171,           3,          22,,          50,          96,       3094,         442,       2332,         320,         382.1,           6.7,          49.2,,         111.7,         214.5,       6914.3,         987.8,       5211.4,         715.1
North Ogden Police Dept,UT,12,      17050,           5,           0,           4,,           0,           1,         219,          38,         173,           8,          29.3,            .0,          23.5,,            .0,           5.9,       1284.5,         222.9,       1014.7,          46.9
North Logan Police Dept,UT,12,      10615,           3,           0,           0,,           0,           3,         191,          25,         159,           7,          28.3,            .0,            .0,,            .0,          28.3,       1799.3,         235.5,       1497.9,          65.9
North Salt Lake Police Dept,UT,12,      12070,          10,           0,           3,,           1,           6,         433,         187,         221,          25,          82.9,            .0,          24.9,,           8.3,          49.7,       3587.4,       1549.3,       1831.0,         207.1
Ogden Police Dept,UT,12,      78160,         507,           3,          37,,         137,         330,       4954,         927,       3495,         532,         648.7,           3.8,          47.3,,         175.3,         422.2,       6338.3,       1186.0,       4471.6,         680.7
Orem Police Dept,UT,12,      91816,          67,           1,          23,,          15,          28,       2835,         245,       2455,         135,          73.0,           1.1,          25.1,,          16.3,          30.5,       3087.7,         266.8,       2673.8,         147.0
Payson Police Dept,UT,12,      17378,          17,           0,           3,,           6,           8,         528,          81,         421,          26,          97.8,            .0,          17.3,,          34.5,          46.0,       3038.3,         466.1,       2422.6,         149.6
Pleasant Grove Police Dept,UT,12,      41890,          26,           0,           7,,          10,           9,         953,         143,         771,          39,          62.1,            .0,          16.7,,          23.9,          21.5,       2275.0,         341.4,       1840.5,          93.1
Provo Police Dept,UT,12,     115264,         168,           0,          28,,          35,         105,       3333,         492,       2553,         288,         145.8,            .0,          24.3,,          30.4,          91.1,       2891.6,         426.8,       2214.9,         249.9
Roy Police Dept,UT,12,      35366,          42,           0,          20,,           4,          18,         871,          96,         728,          47,         118.8,            .0,          56.6,,          11.3,          50.9,       2462.8,         271.4,       2058.5,         132.9
Salt Lake County Sheriff Office,UT,12,,         674,           9,          90,,         121,         454,       9083,       1859,       6274,         950,,,,,,,,,,
Salt Lake City Police Dept,UT,12,     178449,       1504,          17,         115,,         504,         868,      15254,       2053,      11210,       1991,         842.8,           9.5,          64.4,,         282.4,         486.4,       8548.1,       1150.5,       6281.9,       1115.7
Sandy City Police Dept,UT,12,      94975,         189,           1,          27,,          33,         128,       3324,         534,       2526,         264,         199.0,           1.1,          28.4,,          34.7,         134.8,       3499.9,         562.3,       2659.6,         278.0
Santaquin Police Dept,UT,12,       8367,           4,           0,           1,,           2,           1,          99,          27,          69,           3,          47.8,            .0,          12.0,,          23.9,          12.0,       1183.2,         322.7,         824.7,          35.9
