Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2002

,,,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,
,,,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Alpine Police Dept,UT,12,      15888,           5,           0,           1,,           0,           4,         270,          77,         182,          11,          31.5,            .0,           6.3,,            .0,          25.2,       1699.4,         484.6,       1145.5,          69.2
American Fork Police Dept,UT,12,      22757,          23,           0,           4,,           0,          19,       1001,         162,         786,          53,         101.1,            .0,          17.6,,            .0,          83.5,       4398.6,         711.9,       3453.9,         232.9
Bountiful Police Dept,UT,12,      42837,          32,           0,           5,,           5,          22,       1037,         138,         850,          49,          74.7,            .0,          11.7,,          11.7,          51.4,       2420.8,         322.2,       1984.3,         114.4
Brigham City Police Dept,UT,12,      18059,          25,           0,           7,,           1,          17,         607,         125,         445,          37,         138.4,            .0,          38.8,,           5.5,          94.1,       3361.2,         692.2,       2464.1,         204.9
Cache County Sheriff Office,UT,12,,          26,           0,           8,,           1,          17,         357,          52,         286,          19,,,,,,,,,,
Cedar City Police Dept,UT,12,      21291,          22,           0,           1,,           2,          19,         668,         101,         545,          22,         103.3,            .0,           4.7,,           9.4,          89.2,       3137.5,         474.4,       2559.8,         103.3
Centerville Police Dept,UT,12,      15127,          10,           0,           2,,           0,           8,         423,          72,         329,          22,          66.1,            .0,          13.2,,            .0,          52.9,       2796.3,         476.0,       2174.9,         145.4
Clearfield Police Dept,UT,12,      26941,          52,           0,          17,,           5,          30,         933,         180,         688,          65,         193.0,            .0,          63.1,,          18.6,         111.4,       3463.1,         668.1,       2553.7,         241.3
Clinton Police Dept,UT,12,      13054,           5,           0,           0,,           0,           5,         230,          44,         176,          10,          38.3,            .0,            .0,,            .0,          38.3,       1761.9,         337.1,       1348.2,          76.6
Davis County Sheriff Office,UT,12,,          20,           0,           4,,           2,          14,         162,          42,          97,          23,,,,,,,,,,
Farmington Police Dept,UT,12,      12530,          11,           0,           3,,           1,           7,         350,          45,         294,          11,          87.8,            .0,          23.9,,           8.0,          55.9,       2793.3,         359.1,       2346.4,          87.8
Heber City Police Dept,UT,12,       7563,           0,           0,           0,,           0,           0,          31,          16,          13,           2,            .0,            .0,            .0,,            .0,            .0,         409.9,         211.6,         171.9,          26.4
Hurricane Police Dept,UT,12,       8557,           5,           0,           1,,           0,           4,         214,          31,         164,          19,          58.4,            .0,          11.7,,            .0,          46.7,       2500.9,         362.3,       1916.6,         222.0
Kaysville Police Dept,UT,12,      21108,          21,           0,           8,,           3,          10,         472,          96,         363,          13,          99.5,            .0,          37.9,,          14.2,          47.4,       2236.1,         454.8,       1719.7,          61.6
Layton Police Dept,UT,12,      60650,         121,           2,          26,,          21,          72,       2462,         390,       1940,         132,         199.5,           3.3,          42.9,,          34.6,         118.7,       4059.4,         643.0,       3198.7,         217.6
Lehi Police Dept,UT,12,      19736,          19,           0,           2,,           3,          14,         541,         186,         319,          36,          96.3,            .0,          10.1,,          15.2,          70.9,       2741.2,         942.4,       1616.3,         182.4
Logan Police Dept,UT,12,      44257,          49,           0,          20,,           0,          29,       1153,         144,         983,          26,         110.7,            .0,          45.2,,            .0,          65.5,       2605.2,         325.4,       2221.1,          58.7
Midvale Police Dept,UT,12,      28034,         123,           0,          26,,          21,          76,       1593,         221,       1183,         189,         438.8,            .0,          92.7,,          74.9,         271.1,       5682.4,         788.3,       4219.9,         674.2
Murray Police Dept,UT,12,      35290,         162,           1,          24,,          51,          86,       3548,         461,       2789,         298,         459.1,           2.8,          68.0,,         144.5,         243.7,      10053.8,       1306.3,       7903.1,         844.4
North Ogden Police Dept,UT,12,      15585,           7,           0,           2,,           0,           5,         294,          43,         247,           4,          44.9,            .0,          12.8,,            .0,          32.1,       1886.4,         275.9,       1584.9,          25.7
North Logan Police Dept,UT,12,       9458,          14,           0,           3,,           0,          11,         242,          34,         206,           2,         148.0,            .0,          31.7,,            .0,         116.3,       2558.7,         359.5,       2178.1,          21.1
North Salt Lake Police Dept,UT,12,       9074,          13,           0,           1,,           6,           6,         400,          63,         307,          30,         143.3,            .0,          11.0,,          66.1,          66.1,       4408.2,         694.3,       3383.3,         330.6
Ogden Police Dept,UT,12,      80099,         473,           5,          89,,          93,         286,       4859,         914,       3505,         440,         590.5,           6.2,         111.1,,         116.1,         357.1,       6066.2,       1141.1,       4375.8,         549.3
Orem Police Dept,UT,12,      87462,          66,           1,          16,,          17,          32,       3583,         372,       3042,         169,          75.5,           1.1,          18.3,,          19.4,          36.6,       4096.6,         425.3,       3478.1,         193.2
Payson Police Dept,UT,12,      13189,           9,           0,           3,,           1,           5,         423,          69,         316,          38,          68.2,            .0,          22.7,,           7.6,          37.9,       3207.2,         523.2,       2395.9,         288.1
Pleasant Grove Police Dept,UT,11,      33017,           8,           0,           1,,           2,           5,         765,         111,         595,          59,,,,,,,,,,
Provo Police Dept,UT,12,     109079,         165,           0,          37,,          23,         105,       3521,         516,       2814,         191,         151.3,            .0,          33.9,,          21.1,          96.3,       3227.9,         473.1,       2579.8,         175.1
Roy Police Dept,UT,12,      34109,          78,           0,          16,,           6,          56,         883,         134,         694,          55,         228.7,            .0,          46.9,,          17.6,         164.2,       2588.8,         392.9,       2034.7,         161.2
Salt Lake County Sheriff Office,UT,12,,         620,           5,         144,,         120,         351,      14629,       2196,      11281,       1152,,,,,,,,,,
Salt Lake City Police Dept,UT,12,     188504,       1238,          11,         110,,         478,         639,      17880,       2517,      13380,       1983,         656.7,           5.8,          58.4,,         253.6,         339.0,       9485.2,       1335.3,       7098.0,       1052.0
Sandy City Police Dept,UT,12,      91707,         182,           1,          21,,          31,         129,       3465,         558,       2686,         221,         198.5,           1.1,          22.9,,          33.8,         140.7,       3778.3,         608.5,       2928.9,         241.0
Santaquin Police Dept,UT,12,       6015,           7,           0,           1,,           0,           6,         120,          22,          93,           5,         116.4,            .0,          16.6,,            .0,          99.8,       1995.0,         365.8,       1546.1,          83.1
South Jordan Police Dept,UT,12,      30532,          35,           2,           4,,           5,          24,         840,         214,         584,          42,         114.6,           6.6,          13.1,,          16.4,          78.6,       2751.2,         700.9,       1912.7,         137.6
South Ogden Police Dept,UT,12,      14912,          13,           0,           4,,           6,           3,         690,          83,         579,          28,          87.2,            .0,          26.8,,          40.2,          20.1,       4627.1,         556.6,       3882.8,         187.8
South Salt Lake Police Dept,UT,12,      22857,         163,           1,          43,,          40,          79,       1839,         348,       1133,         358,         713.1,           4.4,         188.1,,         175.0,         345.6,       8045.7,       1522.5,       4956.9,       1566.3
Spanish Fork Police Dept,UT,12,      20999,          15,           2,           1,,           3,           9,         887,         155,         706,          26,          71.4,           9.5,           4.8,,          14.3,          42.9,       4224.0,         738.1,       3362.1,         123.8
