Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 1988

,,,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,
,,,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Alpine Police Dept,UT,12,       3420,           4,           0,           0,,           0,           4,         117,          30,          82,           5,         117.0,            .0,            .0,,            .0,         117.0,       3421.1,         877.2,       2397.7,         146.2
American Fork Police Dept,UT,12,      15450,          17,           0,           5,,           1,          11,         690,          85,         577,          28,         110.0,            .0,          32.4,,           6.5,          71.2,       4466.0,         550.2,       3734.6,         181.2
Bountiful Police Dept,UT,12,      34786,          49,           0,           4,,           5,          40,       1076,         195,         844,          37,         140.9,            .0,          11.5,,          14.4,         115.0,       3093.2,         560.6,       2426.3,         106.4
Brigham City Police Dept,UT,12,      16826,          23,           0,           3,,           0,          20,         454,          52,         382,          20,         136.7,            .0,          17.8,,            .0,         118.9,       2698.2,         309.0,       2270.3,         118.9
Cache County Sheriff Office,UT,12,,          10,           0,           2,,           0,           8,         544,         131,         381,          32,,,,,,,,,,
Cedar City Police Dept,UT,12,      12269,          24,           0,           0,,           1,          23,         391,          41,         320,          30,         195.6,            .0,            .0,,           8.2,         187.5,       3186.9,         334.2,       2608.2,         244.5
Centerville Police Dept,UT,12,      10826,           7,           0,           0,,           1,           6,         269,          49,         209,          11,          64.7,            .0,            .0,,           9.2,          55.4,       2484.8,         452.6,       1930.5,         101.6
Clearfield Police Dept,UT,12,      22851,          27,           1,           5,,           2,          19,         752,         107,         600,          45,         118.2,           4.4,          21.9,,           8.8,          83.1,       3290.9,         468.3,       2625.7,         196.9
Clinton Police Dept,UT,12,       7932,           0,           0,           0,,           0,           0,         196,          29,         157,          10,            .0,            .0,            .0,,            .0,            .0,       2471.0,         365.6,       1979.3,         126.1
Davis County Sheriff Office,UT,12,,          30,           0,          17,,           1,          12,         210,          59,         141,          10,,,,,,,,,,
Draper,UT,12,       6176,           4,           1,           0,,           1,           2,         233,          25,         203,           5,          64.8,          16.2,            .0,,          16.2,          32.4,       3772.7,         404.8,       3286.9,          81.0
Farmington Police Dept,UT,12,       7590,           7,           0,           5,,           2,           0,         189,          12,         169,           8,          92.2,            .0,          65.9,,          26.4,            .0,       2490.1,         158.1,       2226.6,         105.4
Heber City Police Dept,UT,12,       4800,          21,           0,           0,,           0,          21,         161,          28,         131,           2,         437.5,            .0,            .0,,            .0,         437.5,       3354.2,         583.3,       2729.2,          41.7
