Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 1997

,,,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,
,,,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Alpine Police Dept,UT,12,       4905,           6,           0,           3,,           0,           3,         176,          24,         143,           9,         122.3,            .0,          61.2,,            .0,          61.2,       3588.2,         489.3,       2915.4,         183.5
American Fork Police Dept,UT,12,      19633,          76,           0,           6,,           7,          63,         967,         118,         797,          52,         387.1,            .0,          30.6,,          35.7,         320.9,       4925.4,         601.0,       4059.5,         264.9
Bountiful Police Dept,UT,12,      40009,         107,           1,          11,,           8,          87,         933,         206,         688,          39,         267.4,           2.5,          27.5,,          20.0,         217.5,       2332.0,         514.9,       1719.6,          97.5
Brigham City Police Dept,UT,12,      17931,          72,           0,           6,,           9,          57,       1424,         290,       1094,          40,         401.5,            .0,          33.5,,          50.2,         317.9,       7941.6,       1617.3,       6101.2,         223.1
Cache County Sheriff Office,UT,12,,          30,           0,           8,,           2,          20,         837,         211,         585,          41,,,,,,,,,,
Cedar City Police Dept,UT,12,      16992,          33,           0,           2,,           3,          28,       1010,         120,         830,          60,         194.2,            .0,          11.8,,          17.7,         164.8,       5944.0,         706.2,       4884.7,         353.1
Centerville Police Dept,UT,12,      14868,           8,           0,           1,,           2,           5,         436,         113,         308,          15,          53.8,            .0,           6.7,,          13.5,          33.6,       2932.5,         760.0,       2071.6,         100.9
Clearfield Police Dept,UT,12,      25191,          42,           0,           9,,           3,          30,         829,         114,         672,          43,         166.7,            .0,          35.7,,          11.9,         119.1,       3290.9,         452.5,       2667.6,         170.7
Clinton Police Dept,UT,12,       9618,          15,           0,           3,,           1,          11,         211,          33,         165,          13,         156.0,            .0,          31.2,,          10.4,         114.4,       2193.8,         343.1,       1715.5,         135.2
Davis County Sheriff Office,UT,11,,          28,           0,           3,,           0,          25,         219,          59,         133,          27,,,,,,,,,,
Farmington Police Dept,UT,12,      10963,          12,           0,           4,,           0,           8,         278,          51,         216,          11,         109.5,            .0,          36.5,,            .0,          73.0,       2535.8,         465.2,       1970.3,         100.3
Heber City Police Dept,UT,12,       6056,          14,           0,           1,,           0,          13,         193,          21,         162,          10,         231.2,            .0,          16.5,,            .0,         214.7,       3186.9,         346.8,       2675.0,         165.1
Hurricane Police Dept,UT,12,       8744,           7,           0,           4,,           0,           3,         246,          33,         201,          12,          80.1,            .0,          45.7,,            .0,          34.3,       2813.4,         377.4,       2298.7,         137.2
