Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 1994

,,,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,
,,,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Alpine Police Dept,UT,12,       3959,          10,           0,           2,,           0,           8,         154,          56,          93,           5,         252.6,            .0,          50.5,,            .0,         202.1,       3889.9,       1414.5,       2349.1,         126.3
American Fork Police Dept,UT,12,      17261,          38,           0,           5,,           3,          30,         785,         154,         595,          36,         220.1,            .0,          29.0,,          17.4,         173.8,       4547.8,         892.2,       3447.1,         208.6
Bountiful Police Dept,UT,12,      39825,          49,           0,           6,,           9,          34,       1088,         172,         869,          47,         123.0,            .0,          15.1,,          22.6,          85.4,       2732.0,         431.9,       2182.0,         118.0
Brigham City Police Dept,UT,12,      17063,          26,           0,           3,,           3,          20,         760,          57,         673,          30,         152.4,            .0,          17.6,,          17.6,         117.2,       4454.1,         334.1,       3944.2,         175.8
Cache County Sheriff Office,UT,12,,          25,           1,          11,,           3,          10,         611,         111,         466,          34,,,,,,,,,,
Cedar City Police Dept,UT,12,      14850,          22,           0,           6,,           2,          14,         609,          51,         541,          17,         148.1,            .0,          40.4,,          13.5,          94.3,       4101.0,         343.4,       3643.1,         114.5
Centerville Police Dept,UT,12,      13487,          16,           0,           0,,           0,          16,         506,         288,         208,          10,         118.6,            .0,            .0,,            .0,         118.6,       3751.8,       2135.4,       1542.2,          74.1
Clearfield Police Dept,UT,12,      23798,          44,           2,           9,,           2,          31,         743,         106,         587,          50,         184.9,           8.4,          37.8,,           8.4,         130.3,       3122.1,         445.4,       2466.6,         210.1
Clinton Police Dept,UT,10,       8706,          15,           0,           2,,           1,          12,         190,          23,         157,          10,,,,,,,,,,
Davis County Sheriff Office,UT,12,,          30,           2,           9,,           0,          19,         289,          83,         174,          32,,,,,,,,,,
Farmington Police Dept,UT,12,      10099,          13,           0,           3,,           3,           7,         324,          89,         224,          11,         128.7,            .0,          29.7,,          29.7,          69.3,       3208.2,         881.3,       2218.0,         108.9
Heber City Police Dept,UT,12,       5584,          11,           0,           1,,           1,           9,         196,          40,         151,           5,         197.0,            .0,          17.9,,          17.9,         161.2,       3510.0,         716.3,       2704.2,          89.5
