Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2009

,,,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,
,,,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
American Fork Police Dept,UT,12,      38183,          34,           0,           8,,          10,          16,       1174,         162,         969,          43,          89.0,            .0,          21.0,,          26.2,          41.9,       3074.7,         424.3,       2537.8,         112.6
Bountiful Police Dept,UT,12,      44591,          56,           0,          15,,          10,          31,       1153,         158,         958,          37,         125.6,            .0,          33.6,,          22.4,          69.5,       2585.7,         354.3,       2148.4,          83.0
Brigham City Police Dept,UT,12,      18750,          47,           0,          14,,           5,          28,         496,          81,         400,          15,         250.7,            .0,          74.7,,          26.7,         149.3,       2645.3,         432.0,       2133.3,          80.0
Cache County Sheriff Office,UT,12,,          23,           0,           7,,           1,          15,         481,          66,         394,          21,,,,,,,,,,
Cedar City Police Dept,UT,12,      29568,          42,           2,          18,,           7,          15,         746,         105,         610,          31,         142.0,           6.8,          60.9,,          23.7,          50.7,       2523.0,         355.1,       2063.0,         104.8
Centerville Police Dept,UT,12,      15763,          12,           0,           1,,           1,          10,         390,          41,         331,          18,          76.1,            .0,           6.3,,           6.3,          63.4,       2474.1,         260.1,       2099.9,         114.2
Clearfield Police Dept,UT,12,      27913,          50,           0,          11,,           8,          31,         860,         112,         713,          35,         179.1,            .0,          39.4,,          28.7,         111.1,       3081.0,         401.2,       2554.4,         125.4
Clinton Police Dept,UT,12,      20745,          19,           0,           7,,           4,           8,         335,          47,         272,          16,          91.6,            .0,          33.7,,          19.3,          38.6,       1614.8,         226.6,       1311.2,          77.1
Davis County Sheriff Office,UT,12,,          18,           0,           3,,           0,          15,         285,          53,         218,          14,,,,,,,,,,
Draper,UT,12,      44537,          46,           0,          11,,           4,          31,         974,         232,         673,          69,         103.3,            .0,          24.7,,           9.0,          69.6,       2186.9,         520.9,       1511.1,         154.9
Farmington Police Dept,UT,12,      17788,           3,           0,           3,,           0,           0,         171,          31,         130,          10,          16.9,            .0,          16.9,,            .0,            .0,         961.3,         174.3,         730.8,          56.2
Heber City Police Dept,UT,12,      10068,           2,           0,           1,,           1,           0,          75,          11,          61,           3,          19.9,            .0,           9.9,,           9.9,            .0,         744.9,         109.3,         605.9,          29.8
Hurricane Police Dept,UT,12,      13961,          28,           0,           5,,           0,          23,         307,          62,         223,          22,         200.6,            .0,          35.8,,            .0,         164.7,       2199.0,         444.1,       1597.3,         157.6
Kaysville Police Dept,UT,12,      26363,          18,           0,           8,,           3,           7,         426,          73,         331,          22,          68.3,            .0,          30.3,,          11.4,          26.6,       1615.9,         276.9,       1255.5,          83.5
Layton Police Dept,UT,12,      65947,         118,           0,          23,,          23,          72,       2086,         261,       1758,          67,         178.9,            .0,          34.9,,          34.9,         109.2,       3163.1,         395.8,       2665.8,         101.6
Lehi Police Dept,UT,12,      51307,          26,           0,          11,,           0,          15,         871,         169,         648,          54,          50.7,            .0,          21.4,,            .0,          29.2,       1697.6,         329.4,       1263.0,         105.2
Logan Police Dept,UT,12,      49105,          45,           0,          11,,           1,          33,         771,         137,         603,          31,          91.6,            .0,          22.4,,           2.0,          67.2,       1570.1,         279.0,       1228.0,          63.1
Alpine Police Dept,UT,12,      27542,          12,           0,           5,,           1,           6,         343,         100,         230,          13,          43.6,            .0,          18.2,,           3.6,          21.8,       1245.4,         363.1,         835.1,          47.2
Midvale Police Dept,UT,12,      28099,         110,           1,          15,,          23,          71,       1737,         367,       1157,         213,         391.5,           3.6,          53.4,,          81.9,         252.7,       6181.7,       1306.1,       4117.6,         758.0
Murray Police Dept,UT,12,      46026,         187,           0,          29,,          53,         105,       3680,         552,       2777,         351,         406.3,            .0,          63.0,,         115.2,         228.1,       7995.5,       1199.3,       6033.5,         762.6
North Ogden Police Dept,UT,12,      17897,           8,           1,           4,,           1,           2,         268,          46,         217,           5,          44.7,           5.6,          22.4,,           5.6,          11.2,       1497.5,         257.0,       1212.5,          27.9
North Logan Police Dept,UT,12,      12739,          13,           0,          10,,           0,           3,         274,          37,         226,          11,         102.0,            .0,          78.5,,            .0,          23.5,       2150.9,         290.4,       1774.1,          86.3
North Salt Lake Police Dept,UT,12,      14026,           6,           0,           3,,           0,           3,         353,         114,         197,          42,          42.8,            .0,          21.4,,            .0,          21.4,       2516.8,         812.8,       1404.5,         299.4
Ogden Police Dept,UT,12,      83016,         393,           4,          33,,         107,         249,       4052,         774,       2962,         316,         473.4,           4.8,          39.8,,         128.9,         299.9,       4881.0,         932.4,       3568.0,         380.6
Orem Police Dept,UT,12,      93785,          50,           1,          14,,          22,          13,       2520,         220,       2184,         116,          53.3,           1.1,          14.9,,          23.5,          13.9,       2687.0,         234.6,       2328.7,         123.7
