Year,StateID,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
1982,AL,3943000,17653,417,1026,,4417,11793,165048,49531,104740,10777,447.7,10.6,26.0,,112.0,299.1,4185.8,1256.2,2656.4,273.3
1982,AK,438000,2732,81,374,,586,1691,24479,5204,16672,2603,623.7,18.5,85.4,,133.8,386.1,5588.8,1188.1,3806.4,594.3
1982,AZ,2860000,14785,236,1100,,4537,8912,189161,53861,124723,10577,517.0,8.3,38.5,,158.6,311.6,6614.0,1883.3,4360.9,369.8
1982,AR,2291000,7438,187,622,,1805,4824,81259,24547,52450,4262,324.7,8.2,27.1,,78.8,210.6,3546.9,1071.5,2289.4,186.0
1982,CA,24724000,201429,2779,12529,,91988,94133,1599827,499466,935831,164530,814.7,11.2,50.7,,372.1,380.7,6470.7,2020.2,3785.1,665.5
1982,CO,3045000,15354,182,1356,,4587,9229,200230,53260,134873,12097,504.2,6.0,44.5,,150.6,303.1,6575.7,1749.1,4429.3,397.3
1982,CT,3153000,12597,164,692,,6574,5167,158532,44481,96640,17411,399.5,5.2,21.9,,208.5,163.9,5028.0,1410.8,3065.0,552.2
1982,DE,602000,3370,32,186,,737,2415,35067,8698,23891,2478,559.8,5.3,30.9,,122.4,401.2,5825.1,1444.9,3968.6,411.6
1982,DC,631000,13397,194,421,,9137,3645,52295,14774,33435,4086,2123.1,30.7,66.7,,1448.0,577.7,8287.6,2341.4,5298.7,647.5
1982,FL,10416000,93411,1409,5587,,31002,55413,684166,211932,427462,44772,896.8,13.5,53.6,,297.6,532.0,6568.4,2034.7,4103.9,429.8
1982,GA,5639000,26963,713,2242,,8716,15292,267097,84469,165049,17579,478.2,12.6,39.8,,154.6,271.2,4736.6,1497.9,2926.9,311.7
1982,HI,994000,2542,31,342,,1560,609,62906,16477,42248,4181,255.7,3.1,34.4,,156.9,61.3,6328.6,1657.6,4250.3,420.6
1982,ID,965000,2501,24,160,,292,2025,36902,9958,25256,1688,259.2,2.5,16.6,,30.3,209.8,3824.0,1031.9,2617.2,174.9
1982,IL,11448000,88644,1005,3424,,39700,44515,579954,157273,354106,68575,774.3,8.8,29.9,,346.8,388.8,5066.0,1373.8,3093.2,599.0
1982,IN,5471000,16444,355,1521,,5966,8602,225894,59569,148454,17871,300.6,6.5,27.8,,109.0,157.2,4128.9,1088.8,2713.5,326.6
1982,IA,2905000,5018,67,362,,1051,3538,115148,27535,82568,5045,172.7,2.3,12.5,,36.2,121.8,3963.8,947.8,2842.3,173.7
1982,KS,2408000,8088,138,596,,2095,5259,111156,32382,73416,5358,335.9,5.7,24.8,,87.0,218.4,4616.1,1344.8,3048.8,222.5
1982,KY,3667000,11550,355,734,,3568,6893,119304,37736,73020,8548,315.0,9.7,20.0,,97.3,188.0,3253.4,1029.1,1991.3,233.1
1982,LA,4362000,29185,698,1740,,9275,17472,202489,62151,125701,14637,669.1,16.0,39.9,,212.6,400.6,4642.1,1424.8,2881.7,335.6
1982,ME,1133000,1847,24,152,,345,1326,41884,11862,27863,2159,163.0,2.1,13.4,,30.5,117.0,3696.7,1047.0,2459.2,190.6
