Year,StateID,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
1983,AL,3959000,16471,364,931,,3895,11281,145890,42485,94279,9126,416.0,9.2,23.5,,98.4,284.9,3685.0,1073.1,2381.4,230.5
1983,AK,479000,2940,66,486,,465,1923,25889,5720,17085,3084,613.8,13.8,101.5,,97.1,401.5,5404.8,1194.2,3566.8,643.8
1983,AZ,2963000,14642,213,1241,,3923,9265,174740,49440,114721,10579,494.2,7.2,41.9,,132.4,312.7,5897.4,1668.6,3871.8,357.0
1983,AR,2328000,6930,178,586,,1614,4552,74563,22380,48140,4043,297.7,7.6,25.2,,69.3,195.5,3202.9,961.3,2067.9,173.7
1983,CA,25174000,194491,2639,12093,,85826,93933,1486487,460460,867123,158904,772.6,10.5,48.0,,340.9,373.1,5904.9,1829.1,3444.5,631.2
1983,CO,3139000,14955,202,1316,,3968,9469,193070,48101,133271,11698,476.4,6.4,41.9,,126.4,301.7,6150.7,1532.4,4245.7,372.7
1983,CT,3138000,11767,129,627,,6296,4715,144437,39988,89421,15028,375.0,4.1,20.0,,200.6,150.3,4602.8,1274.3,2849.6,478.9
1983,DE,606000,2746,25,229,,699,1793,30378,7414,20908,2056,453.1,4.1,37.8,,115.3,295.9,5012.9,1223.4,3450.2,339.3
1983,DC,623000,11933,183,406,,7698,3646,45843,12483,29405,3955,1915.4,29.4,65.2,,1235.6,585.2,7358.4,2003.7,4719.9,634.8
1983,FL,10680000,88292,1199,5170,,28126,53797,635934,191902,400796,43236,826.7,11.2,48.4,,263.4,503.7,5954.4,1796.8,3752.8,404.8
1983,GA,5732000,26179,483,2021,,8267,15408,232062,72614,143398,16050,456.7,8.4,35.3,,144.2,268.8,4048.5,1266.8,2501.7,280.0
1983,HI,1023000,2579,57,301,,1330,891,56853,13636,38920,4297,252.1,5.6,29.4,,130.0,87.1,5557.5,1332.9,3804.5,420.0
1983,ID,989000,2361,35,181,,270,1875,35872,9206,24979,1687,238.7,3.5,18.3,,27.3,189.6,3627.1,930.8,2525.7,170.6
1983,IL,11486000,83629,1112,3619,,36625,42273,552857,148445,339061,65351,728.1,9.7,31.5,,318.9,368.0,4813.3,1292.4,2952.0,569.0
1983,IN,5479000,15547,286,1509,,5474,8278,210725,54147,138929,17649,283.8,5.2,27.5,,99.9,151.1,3846.0,988.3,2535.7,322.1
1983,IA,2905000,5262,68,365,,1192,3637,108587,26599,77402,4586,181.1,2.3,12.6,,41.0,125.2,3737.9,915.6,2664.4,157.9
1983,KS,2425000,7919,137,627,,2038,5117,101928,28318,68735,4875,326.6,5.6,25.9,,84.0,211.0,4203.2,1167.8,2834.4,201.0
1983,KY,3714000,11967,364,817,,3236,7550,115602,36286,71322,7994,322.2,9.8,22.0,,87.1,203.3,3112.6,977.0,1920.4,215.2
