Year,StateID,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
1995,AL,4253000,26894,475,1350,,7900,17169,179294,43586,120967,14741,632.4,11.2,31.7,,185.8,403.7,4215.7,1024.8,2844.3,346.6
1995,AK,604000,4656,55,485,,937,3179,30097,5055,21891,3151,770.9,9.1,80.3,,155.1,526.3,4982.9,836.9,3624.3,521.7
1995,AZ,4218000,30095,439,1418,,7329,20909,316355,59762,207763,48830,713.5,10.4,33.6,,173.8,495.7,7500.1,1416.8,4925.6,1157.7
1995,AR,2484000,13741,259,925,,3122,9435,102780,24763,69935,8082,553.2,10.4,37.2,,125.7,379.8,4137.7,996.9,2815.4,325.4
1995,CA,31589000,305154,3531,10554,,104611,186458,1536830,353895,902456,280479,966.0,11.2,33.4,,331.2,590.3,4865.1,1120.3,2856.9,887.9
1995,CO,3747000,16494,216,1480,,3604,11194,185705,35001,136184,14520,440.2,5.8,39.5,,96.2,298.7,4956.1,934.1,3634.5,387.5
1995,CT,3275000,13293,150,776,,5345,7022,134188,29095,87401,17692,405.9,4.6,23.7,,163.2,214.4,4097.3,888.4,2668.7,540.2
1995,DE,717000,5198,25,575,,1425,3173,31790,6491,22329,2970,725.0,3.5,80.2,,198.7,442.5,4433.8,905.3,3114.2,414.2
1995,DC,554000,14744,360,292,,6864,7228,52697,10185,32319,10193,2661.4,65.0,52.7,,1239.0,1304.7,9512.1,1838.4,5833.8,1839.9
1995,FL,14166000,151711,1037,6887,,42485,101302,939288,215657,612311,111320,1071.0,7.3,48.6,,299.9,715.1,6630.6,1522.4,4322.4,785.8
1995,GA,7201000,47317,683,2539,,14777,29318,385005,76324,264872,43809,657.1,9.5,35.3,,205.2,407.1,5346.5,1059.9,3678.3,608.4
1995,HI,1187000,3509,56,336,,1553,1564,81938,13832,59907,8199,295.6,4.7,28.3,,130.8,131.8,6902.9,1165.3,5046.9,690.7
1995,ID,1163000,3745,48,330,,279,3088,47444,9069,35560,2815,322.0,4.1,28.4,,24.0,265.5,4079.4,779.8,3057.6,242.0
1995,IL,11830000,117836,1221,4313,,39139,73163,527572,108555,357143,61874,996.1,10.3,36.5,,330.8,618.5,4459.6,917.6,3019.0,523.0
1995,IN,5803000,30451,466,1930,,7844,20211,238317,47676,163618,27023,524.7,8.0,33.3,,135.2,348.3,4106.8,821.6,2819.5,465.7
1995,IA,2842000,10071,51,619,,1507,7894,106504,21527,78645,6332,354.4,1.8,21.8,,53.0,277.8,3747.5,757.5,2767.2,222.8
