Year,StateID,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
1975,AL,3614000,14201,577,738,,4446,8440,111296,42059,59470,9767,392.9,16.0,20.4,,123.0,233.5,3079.6,1163.8,1645.5,270.3
1975,AK,352000,1900,43,157,,456,1244,19912,4275,12399,3238,539.8,12.2,44.6,,129.5,353.4,5656.8,1214.5,3522.4,919.9
1975,AZ,2224000,12184,191,789,,3780,7424,173331,56265,105588,11478,547.8,8.6,35.5,,170.0,333.8,7793.7,2529.9,4747.7,516.1
1975,AR,2116000,7369,213,547,,1854,4755,67540,22791,41199,3550,348.3,10.1,25.9,,87.6,224.7,3191.9,1077.1,1947.0,167.8
1975,CA,21185000,138842,2209,8807,,59827,67999,1387451,469726,784639,133086,655.4,10.4,41.6,,282.4,321.0,6549.2,2217.3,3703.7,628.2
1975,CO,2534000,11735,188,1051,,4412,6084,157421,50710,94873,11838,463.1,7.4,41.5,,174.1,240.1,6212.4,2001.2,3744.0,467.2
1975,CT,3095000,8308,120,385,,4069,3734,145111,46815,80581,17715,268.4,3.9,12.4,,131.5,120.6,4688.6,1512.6,2603.6,572.4
1975,DE,579000,2270,42,105,,910,1213,36339,10574,22737,3028,392.1,7.3,18.1,,157.2,209.5,6276.2,1826.3,3926.9,523.0
1975,DC,716000,12704,235,520,,9137,2812,42453,13164,25892,3397,1774.3,32.8,72.6,,1276.1,392.7,5929.2,1838.5,3616.2,474.4
1975,FL,8357000,57540,1130,2986,,20031,33393,587723,196358,354374,36991,688.5,13.5,35.7,,239.7,399.6,7032.7,2349.6,4240.4,442.6
1975,GA,4926000,22608,711,1251,,8204,12442,205266,77867,110762,16637,459.0,14.4,25.4,,166.5,252.6,4167.0,1580.7,2248.5,337.7
1975,HI,865000,1889,67,214,,1104,504,50241,15802,29909,4530,218.4,7.7,24.7,,127.6,58.3,5808.2,1826.8,3457.7,523.7
1975,ID,820000,1670,43,132,,344,1151,32287,8717,21741,1829,203.7,5.2,16.1,,42.0,140.4,3937.4,1063.0,2651.3,223.0
1975,IL,11145000,74699,1179,2869,,36308,34343,560955,157110,337698,66147,670.2,10.6,25.7,,325.8,308.1,5033.2,1409.7,3030.0,593.5
1975,IN,5311000,17677,449,1291,,8328,7609,243170,73103,149447,20620,332.8,8.5,24.3,,156.8,143.3,4578.6,1376.4,2813.9,388.3
1975,IA,2870000,4039,71,297,,1536,2135,108142,23492,78057,6593,140.7,2.5,10.3,,53.5,74.4,3768.0,818.5,2719.8,229.7
1975,KS,2267000,6307,122,391,,2103,3691,101307,31047,64900,5360,278.2,5.4,17.2,,92.8,162.8,4468.8,1369.5,2862.8,236.4
1975,KY,3396000,8967,345,523,,3504,4595,101891,32696,60251,8944,264.0,10.2,15.4,,103.2,135.3,3000.3,962.8,1774.2,263.4
1975,LA,3791000,18137,477,899,,5804,10957,138181,42255,83093,12833,478.4,12.6,23.7,,153.1,289.0,3645.0,1114.6,2191.8,338.5
1975,ME,1059000,2324,30,110,,386,1798,39608,14418,22958,2232,219.5,2.8,10.4,,36.4,169.8,3740.1,1361.5,2167.9,210.8
1975,MD,4098000,29087,437,1289,,14107,13254,213002,57912,133908,21182,709.8,10.7,31.5,,344.2,323.4,5197.7,1413.2,3267.6,516.9
1975,MA,5828000,25793,242,1121,,13229,11201,328423,99802,137058,91563,442.6,4.2,19.2,,227.0,192.2,5635.3,1712.5,2351.7,1571.1
1975,MI,9157000,62792,1086,3488,,32334,25884,559915,173231,327174,59510,685.7,11.9,38.1,,353.1,282.7,6114.6,1891.8,3572.9,649.9
1975,MN,3926000,8125,129,730,,4069,3197,160641,46842,98784,15015,207.0,3.3,18.6,,103.6,81.4,4091.7,1193.1,2516.1,382.5
1975,MS,2346000,7411,327,386,,1280,5418,49145,18398,27713,3034,315.9,13.9,16.5,,54.6,230.9,2094.8,784.2,1181.3,129.3
1975,MO,4763000,23521,505,1200,,11657,10159,233577,72047,139303,22227,493.8,10.6,25.2,,244.7,213.3,4904.0,1512.6,2924.7,466.7
1975,MT,748000,1418,39,107,,310,962,29915,6546,21055,2314,189.6,5.2,14.3,,41.4,128.6,3999.3,875.1,2814.8,309.4
1975,NE,1546000,3986,66,297,,1398,2225,51887,11752,36563,3572,257.8,4.3,19.2,,90.4,143.9,3356.2,760.2,2365.0,231.0
1975,NV,592000,4018,77,279,,1791,1871,44247,14487,26741,3019,678.7,13.0,47.1,,302.5,316.0,7474.2,2447.1,4517.1,510.0
1975,NH,818000,816,24,71,,236,485,26559,6978,17470,2111,99.8,2.9,8.7,,28.9,59.3,3246.8,853.1,2135.7,258.1
1975,NJ,7316000,30215,500,1385,,16287,12043,346142,111288,195517,39337,413.0,6.8,18.9,,222.6,164.6,4731.3,1521.2,2672.5,537.7
1975,NM,1147000,6134,153,470,,1453,4058,60844,19828,37378,3638,534.8,13.3,41.0,,126.7,353.8,5304.6,1728.7,3258.8,317.2
1975,NY,18120000,155187,1996,5099,,93499,54593,866010,301996,447740,116274,856.4,11.0,28.1,,516.0,301.3,4779.3,1666.6,2471.0,641.7
1975,NC,5451000,23791,677,885,,4479,17750,184259,70051,104069,10139,436.5,12.4,16.2,,82.2,325.6,3380.3,1285.1,1909.2,186.0
1975,ND,635000,337,5,37,,91,204,14504,3424,10251,829,53.1,.8,5.8,,14.3,32.1,2284.1,539.2,1614.3,130.6
1975,OH,10759000,43901,876,2721,,23673,16631,484844,136791,302174,45879,408.0,8.1,25.3,,220.0,154.6,4506.4,1271.4,2808.6,426.4
1975,OK,2712000,8225,256,737,,2445,4787,115933,42086,64409,9438,303.3,9.4,27.2,,90.2,176.5,4274.8,1551.8,2375.0,348.0
1975,OR,2288000,10034,142,745,,2982,6165,144457,43738,90053,10666,438.5,6.2,32.6,,130.3,269.4,6313.7,1911.6,3935.9,466.2
1975,PA,11827000,38933,808,2052,,19935,16138,357206,116295,197510,43401,329.2,6.8,17.4,,168.6,136.5,3020.3,983.3,1670.0,367.0
1975,RI,927000,2802,28,101,,889,1784,49516,13407,26683,9426,302.3,3.0,10.9,,95.9,192.4,5341.5,1446.3,2878.4,1016.8
1975,SC,2818000,14412,414,748,,3125,10125,116385,48306,60764,7315,511.4,14.7,26.5,,110.9,359.3,4130.1,1714.2,2156.3,259.6
1975,SD,683000,1402,25,113,,212,1052,17305,4561,11597,1147,205.3,3.7,16.5,,31.0,154.0,2533.7,667.8,1698.0,167.9
1975,TN,4188000,16627,477,1095,,6987,8068,162223,57766,89184,15273,397.0,11.4,26.1,,166.8,192.6,3873.5,1379.3,2129.5,364.7
1975,TX,12237000,47803,1639,3430,,20076,22658,613872,203821,362665,47386,390.6,13.4,28.0,,164.1,185.2,5016.5,1665.6,2963.7,387.2
1975,UT,1206000,2795,32,252,,953,1558,58863,14325,40673,3865,231.8,2.7,20.9,,79.0,129.2,4880.8,1187.8,3372.6,320.5
1975,VT,471000,448,10,69,,74,295,15948,5181,9948,819,95.1,2.1,14.6,,15.7,62.6,3386.0,1100.0,2112.1,173.9
1975,VA,4967000,18917,570,1194,,6878,10275,206904,57901,135634,13369,380.9,11.5,24.0,,138.5,206.9,4165.6,1165.7,2730.7,269.2
1975,WA,3544000,13851,202,1160,,4395,8094,203783,61065,129060,13658,390.8,5.7,32.7,,124.0,228.4,5750.1,1723.1,3641.6,385.4
1975,WV,1803000,2915,133,168,,820,1794,35089,10656,22154,2279,161.7,7.4,9.3,,45.5,99.5,1946.1,591.0,1228.7,126.4
1975,WI,4607000,6992,150,490,,3381,2971,176165,42317,122794,11054,151.8,3.3,10.6,,73.4,64.5,3823.9,918.5,2665.4,239.9
1975,WY,374000,764,38,64,,185,477,14779,3229,10512,1038,204.3,10.2,17.1,,49.5,127.5,3951.6,863.4,2810.7,277.5
1975,UnitedStatesTotal,213124000,1039710,20510,56090,,470500,492620,10252700,3265300,5977700,1009600,487.8,9.6,26.3,,220.8,231.1,4810.7,1532.1,2804.8,473.7
