Year,StateID,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
2009,AL,4708708,21194,322,1504,,6265,13103,178007,48844,118072,11091,450.1,6.8,31.9,,133.1,278.3,3780.4,1037.3,2507.5,235.5
2009,AK,698473,4424,22,513,,654,3235,20538,3600,15251,1687,633.4,3.1,73.4,,93.6,463.2,2940.4,515.4,2183.5,241.5
2009,AZ,6595778,28128,380,2279,,8199,17270,236721,54308,155976,26437,426.5,5.8,34.6,,124.3,261.8,3589.0,823.4,2364.8,400.8
2009,AR,2889450,14905,179,1378,,2576,10772,109078,34753,68228,6097,515.8,6.2,47.7,,89.2,372.8,3775.0,1202.8,2361.3,211.0
2009,CA,36961664,174934,1972,8713,,64093,100156,1009433,230198,615402,163833,473.3,5.3,23.6,,173.4,271.0,2731.0,622.8,1665.0,443.3
2009,CO,5024748,17022,159,2269,,3371,11223,134196,26637,95079,12480,338.8,3.2,45.2,,67.1,223.4,2670.7,530.1,1892.2,248.4
2009,CT,3518288,10588,106,657,,4001,5824,82625,15172,59992,7461,300.9,3.0,18.7,,113.7,165.5,2348.4,431.2,1705.1,212.1
2009,DE,885122,5713,41,395,,1680,3597,29685,6943,20836,1906,645.4,4.6,44.6,,189.8,406.4,3353.8,784.4,2354.0,215.3
2009,DC,599657,8089,145,150,,4404,3390,28495,3696,19267,5532,1348.9,24.2,25.0,,734.4,565.3,4751.9,616.4,3213.0,922.5
2009,FL,18537969,113541,1017,5501,,30911,76112,712010,181884,479867,50259,612.5,5.5,29.7,,166.7,410.6,3840.8,981.1,2588.6,271.1
2009,GA,9829211,42073,566,2323,,14631,24553,360985,98606,229216,33163,428.0,5.8,23.6,,148.9,249.8,3672.6,1003.2,2332.0,337.4
2009,HI,1295178,3550,23,385,,1030,2112,47516,9244,33415,4857,274.1,1.8,29.7,,79.5,163.1,3668.7,713.7,2580.0,375.0
2009,ID,1545801,3805,24,575,,254,2952,31220,6682,23066,1472,246.2,1.6,37.2,,16.4,191.0,2019.7,432.3,1492.2,95.2
2009,IL,12910409,64185,773,3901,,22923,36588,353347,77850,248821,26676,497.2,6.0,30.2,,177.6,283.4,2736.9,603.0,1927.3,206.6
2009,IN,6423113,21455,312,1621,,7347,12175,199907,48880,137190,13837,334.0,4.9,25.2,,114.4,189.5,3112.3,761.0,2135.9,215.4
2009,IA,3007856,8485,38,890,,1201,6356,70080,16419,49757,3904,282.1,1.3,29.6,,39.9,211.3,2329.9,545.9,1654.2,129.8
2009,KS,2818747,11460,125,1179,,1786,8370,90930,19473,65499,5958,406.6,4.4,41.8,,63.4,296.9,3225.9,690.8,2323.7,211.4
2009,KY,4314113,11000,184,1531,,3642,5643,108914,29880,72938,6096,255.0,4.3,35.5,,84.4,130.8,2524.6,692.6,1690.7,141.3
2009,LA,4492076,28878,529,1351,,6150,20848,172619,46928,114102,11589,642.9,11.8,30.1,,136.9,464.1,3842.7,1044.7,2540.1,258.0
2009,ME,1318301,1580,26,375,,399,780,31706,6729,23955,1022,119.9,2.0,28.4,,30.3,59.2,2405.1,510.4,1817.1,77.5
2009,MD,5699478,33625,440,1156,,12007,20022,182295,36905,125771,19619,590.0,7.7,20.3,,210.7,351.3,3198.5,647.5,2206.7,344.2
2009,MA,6593587,30503,173,1734,,7467,21129,153178,34515,106799,11864,462.6,2.6,26.3,,113.2,320.4,2323.1,523.5,1619.7,179.9
2009,MI,9969727,49825,623,4524,,12427,32251,284019,76046,178628,29345,499.8,6.2,45.4,,124.6,323.5,2848.8,762.8,1791.7,294.3
2009,MN,5266214,12874,74,1789,,3619,7392,139286,25580,105160,8546,244.5,1.4,34.0,,68.7,140.4,2644.9,485.7,1996.9,162.3
2009,MS,2951996,8451,194,991,,2969,4297,87327,29559,52329,5439,286.3,6.6,33.6,,100.6,145.6,2958.2,1001.3,1772.7,184.2
2009,MO,5987580,29513,387,1606,,7437,20083,201783,43591,140764,17428,492.9,6.5,26.8,,124.2,335.4,3370.0,728.0,2350.9,291.1
2009,MT,974989,2798,32,357,,228,2181,24826,3686,19528,1612,287.0,3.3,36.6,,23.4,223.7,2546.3,378.1,2002.9,165.3
2009,NE,1796619,5199,41,617,,1220,3321,49731,8726,37496,3509,289.4,2.3,34.3,,67.9,184.8,2768.0,485.7,2087.0,195.3
2009,NV,2643085,18639,156,1024,,6028,11431,80976,22115,46463,12398,705.2,5.9,38.7,,228.1,432.5,3063.7,836.7,1757.9,469.1
2009,NH,1324575,2125,11,399,,454,1261,28790,4915,22748,1127,160.4,.8,30.1,,34.3,95.2,2173.5,371.1,1717.4,85.1
2009,NJ,8707739,27113,319,1041,,11639,14114,180752,36945,128303,15504,311.4,3.7,12.0,,133.7,162.1,2075.8,424.3,1473.4,178.0
2009,NM,2009671,12709,198,1069,,1932,9510,74639,21955,46182,6502,632.4,9.9,53.2,,96.1,473.2,3714.0,1092.5,2298.0,323.5
2009,NY,19541453,75110,781,2582,,28141,43606,377537,62769,292897,21871,384.4,4.0,13.2,,144.0,223.1,1932.0,321.2,1498.8,111.9
2009,NC,9380884,37946,489,2306,,11825,23326,343707,107830,215923,19954,404.5,5.2,24.6,,126.1,248.7,3663.9,1149.5,2301.7,212.7
2009,ND,646844,1723,12,296,,107,1308,12813,2426,9474,913,266.4,1.9,45.8,,16.5,202.2,1980.8,375.1,1464.6,141.1
2009,OH,11542645,38305,527,4119,,17670,15989,376446,104009,249777,22660,331.9,4.6,35.7,,153.1,138.5,3261.3,901.1,2163.9,196.3
2009,OK,3687050,18560,234,1535,,3358,13433,132350,38071,83813,10466,503.4,6.3,41.6,,91.1,364.3,3589.6,1032.6,2273.2,283.9
2009,OR,3825657,9968,88,1202,,2499,6179,114780,19739,85064,9977,260.6,2.3,31.4,,65.3,161.5,3000.3,516.0,2223.5,260.8
2009,PA,12604767,48188,664,3626,,17504,26394,277182,54772,204588,17822,382.3,5.3,28.8,,138.9,209.4,2199.0,434.5,1623.1,141.4
2009,RI,1053209,2678,32,296,,785,1565,27558,5753,19403,2402,254.3,3.0,28.1,,74.5,148.6,2616.6,546.2,1842.3,228.1
2009,SC,4561242,30799,305,1663,,5753,23078,178310,45443,119250,13617,675.2,6.7,36.5,,126.1,506.0,3909.2,996.3,2614.4,298.5
2009,SD,812383,1777,30,501,,117,1129,14378,2621,10891,866,218.7,3.7,61.7,,14.4,139.0,1769.9,322.6,1340.6,106.6
2009,TN,6296254,41933,468,2019,,9653,29793,237157,63832,158309,15016,666.0,7.4,32.1,,153.3,473.2,3766.6,1013.8,2514.3,238.5
2009,TX,24782302,121684,1330,8311,,38022,74021,995082,240058,678455,76569,491.0,5.4,33.5,,153.4,298.7,4015.3,968.7,2737.7,309.0
2009,UT,2784572,5998,39,941,,1304,3714,91751,15258,69556,6937,215.4,1.4,33.8,,46.8,133.4,3295.0,547.9,2497.9,249.1
2009,VT,621760,837,8,132,,111,586,15010,3471,11090,449,134.6,1.3,21.2,,17.9,94.2,2414.1,558.3,1783.6,72.2
2009,VA,7882590,18195,370,1572,,6342,9911,194020,31956,150374,11690,230.8,4.7,19.9,,80.5,125.7,2461.4,405.4,1907.7,148.3
2009,WA,6664195,22412,190,2583,,6711,12928,245215,53047,168421,23747,336.3,2.9,38.8,,100.7,194.0,3679.6,796.0,2527.3,356.3
2009,WV,1819777,5554,84,470,,914,4086,46215,12005,31453,2757,305.2,4.6,25.8,,50.2,224.5,2539.6,659.7,1728.4,151.5
2009,WI,5654774,14650,146,1118,,4904,8482,147692,26813,111947,8932,259.1,2.6,19.8,,86.7,150.0,2611.8,474.2,1979.7,158.0
2009,WY,544270,1196,11,172,,78,935,14243,2176,11310,757,219.7,2.0,31.6,,14.3,171.8,2616.9,399.8,2078.0,139.1
2009,UnitedStatesTotal,307006550,1325896,15399,89241,,408742,812514,9337060,2203313,6338095,795652,431.9,5.0,29.1,,133.1,264.7,3041.3,717.7,2064.5,259.2
