Year,StateID,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
1968,AL,3566000,8288,421,396,,1462,6009,62997,22403,34508,6086,232.4,11.8,11.1,,41.0,168.5,1766.6,628.2,967.7,170.7
1968,AK,277000,486,29,60,,146,251,8713,2070,5307,1336,175.5,10.5,21.7,,52.7,90.6,3145.5,747.3,1915.9,482.3
1968,AZ,1670000,4402,105,313,,1448,2536,77001,19496,50471,7034,263.6,6.3,18.7,,86.7,151.9,4610.8,1167.4,3022.2,421.2
1968,AR,2012000,4360,163,349,,796,3052,35046,11463,21506,2077,216.7,8.1,17.3,,39.6,151.7,1741.8,569.7,1068.9,103.2
1968,CA,19221000,81293,1150,5744,,36991,37408,1018363,316081,582838,119444,422.9,6.0,29.9,,192.5,194.6,5298.2,1644.5,3032.3,621.4
1968,CO,2048000,5387,110,535,,1977,2765,73720,18780,46326,8614,263.0,5.4,26.1,,96.5,135.0,3599.6,917.0,2262.0,420.6
1968,CT,2959000,3825,73,238,,1332,2182,81702,28538,42034,11130,129.3,2.5,8.0,,45.0,73.7,2761.1,964.4,1420.5,376.1
1968,DE,534000,1288,45,75,,561,607,15616,4726,8647,2243,241.2,8.4,14.0,,105.1,113.7,2924.3,885.0,1619.3,420.0
1968,DC,809000,12180,195,260,,8622,3103,51473,17950,22169,11354,1505.6,24.1,32.1,,1065.8,383.6,6362.5,2218.8,2740.3,1403.5
1968,FL,6160000,27913,731,1113,,9849,16220,249194,81743,147745,19706,453.1,11.9,18.1,,159.9,263.3,4045.4,1327.0,2398.5,319.9
1968,GA,4588000,9903,636,619,,2181,6467,89021,30317,47858,10846,215.8,13.9,13.5,,47.5,141.0,1940.3,660.8,1043.1,236.4
1968,HI,778000,662,22,56,,176,408,33868,10610,19323,3935,85.1,2.8,7.2,,22.6,52.4,4353.2,1363.8,2483.7,505.8
1968,ID,705000,518,16,59,,83,360,14438,3318,10287,833,73.5,2.3,8.4,,11.8,51.1,2047.9,470.6,1459.1,118.2
1968,IL,10974000,44776,893,1798,,23209,18876,310546,75013,187133,48400,408.0,8.1,16.4,,211.5,172.0,2829.8,683.6,1705.2,441.0
1968,IN,5067000,10229,243,741,,5119,4126,137739,37693,79174,20872,201.9,4.8,14.6,,101.0,81.4,2718.4,743.9,1562.5,411.9
1968,IA,2748000,1882,48,186,,686,962,57026,13027,39476,4523,68.5,1.7,6.8,,25.0,35.0,2075.2,474.1,1436.5,164.6
1968,KS,2303000,3463,86,305,,1095,1977,59264,14178,40353,4733,150.4,3.7,13.2,,47.5,85.8,2573.3,615.6,1752.2,205.5
1968,KY,3229000,5317,288,330,,1941,2758,58974,16872,31376,10726,164.7,8.9,10.2,,60.1,85.4,1826.4,522.5,971.7,332.2
1968,LA,3732000,11742,354,613,,3369,7406,81831,25303,45981,10547,314.6,9.5,16.4,,90.3,198.4,2192.7,678.0,1232.1,282.6
1968,ME,979000,633,29,66,,86,452,15835,5029,9497,1309,64.7,3.0,6.7,,8.8,46.2,1617.5,513.7,970.1,133.7
1968,MD,3757000,23405,350,978,,10355,11722,148656,48886,77041,22729,623.0,9.3,26.0,,275.6,312.0,3956.8,1301.2,2050.6,605.0
1968,MA,5437000,8916,188,518,,4039,4171,157886,47210,66823,43853,164.0,3.5,9.5,,74.3,76.7,2903.9,868.3,1229.0,806.6
1968,MI,8740000,37292,669,2732,,18315,15576,327217,101664,187952,37601,426.7,7.7,31.3,,209.6,178.2,3743.9,1163.2,2150.5,430.2
1968,MN,3646000,5111,81,398,,2959,1673,102930,29232,60897,12801,140.2,2.2,10.9,,81.2,45.9,2823.1,801.8,1670.2,351.1
1968,MS,2342000,3397,232,179,,310,2676,22066,7348,13031,1687,145.0,9.9,7.6,,13.2,114.3,942.2,313.7,556.4,72.0
1968,MO,4627000,15216,408,1076,,7108,6624,150623,45188,84779,20656,328.9,8.8,23.3,,153.6,143.2,3255.3,976.6,1832.3,446.4
1968,MT,693000,610,23,50,,126,411,17006,3935,11696,1375,88.0,3.3,7.2,,18.2,59.3,2454.0,567.8,1687.7,198.4
1968,NE,1437000,2103,33,103,,713,1254,32500,7292,20862,4346,146.3,2.3,7.2,,49.6,87.3,2261.7,507.4,1451.8,302.4
1968,NV,453000,1261,25,79,,647,510,18952,5808,11107,2037,278.4,5.5,17.4,,142.8,112.6,4183.7,1282.1,2451.9,449.7
1968,NH,702000,279,10,19,,72,178,8832,2605,5235,992,39.7,1.4,2.7,,10.3,25.4,1258.1,371.1,745.7,141.3
1968,NJ,7078000,16711,358,801,,8747,6805,213630,71621,105309,36700,236.1,5.1,11.3,,123.6,96.1,3018.2,1011.9,1487.8,518.5
1968,NM,1015000,2543,65,214,,513,1751,35997,9848,22792,3357,250.5,6.4,21.1,,50.5,172.5,3546.5,970.2,2245.5,330.7
1968,NY,18113000,98515,1185,2527,,59857,34946,730938,250918,375143,104877,543.9,6.5,14.0,,330.5,192.9,4035.4,1385.3,2071.1,579.0
1968,NC,5135000,18025,526,579,,1929,14991,85031,27716,49442,7873,351.0,10.2,11.3,,37.6,291.9,1655.9,539.7,962.8,153.3
1968,ND,625000,173,7,29,,36,101,8609,1494,6611,504,27.7,1.1,4.6,,5.8,16.2,1377.4,239.0,1057.8,80.6
1968,OH,10591000,21228,562,1309,,10808,8549,273301,69839,163192,40270,200.4,5.3,12.4,,102.0,80.7,2580.5,659.4,1540.9,380.2
1968,OK,2518000,4473,162,383,,1241,2687,61532,18290,37823,5419,177.6,6.4,15.2,,49.3,106.7,2443.7,726.4,1502.1,215.2
1968,OR,2008000,3955,64,346,,1536,2009,71023,18978,46612,5433,197.0,3.2,17.2,,76.5,100.0,3537.0,945.1,2321.3,270.6
1968,PA,11712000,20710,475,1203,,9981,9051,206151,65151,108204,32796,176.8,4.1,10.3,,85.2,77.3,1760.2,556.3,923.9,280.0
1968,RI,913000,1254,22,34,,450,748,34221,9948,17284,6989,137.3,2.4,3.7,,49.3,81.9,3748.2,1089.6,1893.1,765.5
1968,SC,2692000,5853,366,404,,1152,3931,52714,19073,28694,4947,217.4,13.6,15.0,,42.8,146.0,1958.2,708.5,1065.9,183.8
1968,SD,657000,563,25,67,,127,344,10955,2826,7449,680,85.7,3.8,10.2,,19.3,52.4,1667.4,430.1,1133.8,103.5
1968,TN,3976000,8766,345,460,,2830,5131,77699,28616,38450,10633,220.5,8.7,11.6,,71.2,129.0,1954.2,719.7,967.1,267.4
1968,TX,10972000,29646,1163,1589,,9091,17803,351994,103095,214729,34170,270.2,10.6,14.5,,82.9,162.3,3208.1,939.6,1957.1,311.4
1968,UT,1034000,1201,30,115,,348,708,35836,7665,25532,2639,116.2,2.9,11.1,,33.7,68.5,3465.8,741.3,2469.2,255.2
1968,VT,422000,157,11,31,,26,89,4960,2093,2505,362,37.2,2.6,7.3,,6.2,21.1,1175.4,496.0,593.6,85.8
1968,VA,4597000,12821,473,716,,3027,8605,119920,36153,71708,12059,278.9,10.3,15.6,,65.8,187.2,2608.7,786.4,1559.9,262.3
1968,WA,3276000,6970,118,561,,3223,3068,122922,33399,79790,9733,212.8,3.6,17.1,,98.4,93.7,3752.2,1019.5,2435.6,297.1
1968,WV,1805000,1959,99,79,,460,1321,19069,6313,11096,1660,108.5,5.5,4.4,,25.5,73.2,1056.5,349.8,614.7,92.0
1968,WI,4213000,3400,92,262,,1394,1652,97134,21225,67312,8597,80.7,2.2,6.2,,33.1,39.2,2305.6,503.8,1597.7,204.1
1968,WY,315000,278,20,28,,39,191,7754,1717,5606,431,88.3,6.3,8.9,,12.4,60.6,2461.6,545.1,1779.7,136.8
1968,UnitedStatesTotal,199399000,595010,13800,31670,,262840,286700,6125200,1858900,3482700,783600,298.4,6.9,15.9,,131.8,143.8,3071.8,932.3,1746.6,393.0
