Year,StateID,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
1997,AL,4319000,24379,426,1396,,6931,15626,186809,43786,127616,15407,564.5,9.9,32.3,,160.5,361.8,4325.3,1013.8,2954.8,356.7
1997,AK,609000,4270,54,403,,648,3165,27840,4276,20780,2784,701.1,8.9,66.2,,106.4,519.7,4571.4,702.1,3412.2,457.1
1997,AZ,4555000,28411,375,1492,,7547,18997,299323,60077,195045,44201,623.7,8.2,32.8,,165.7,417.1,6571.3,1318.9,4282.0,970.4
1997,AR,2523000,13293,250,1098,,2814,9131,105759,25568,72253,7938,526.9,9.9,43.5,,111.5,361.9,4191.8,1013.4,2863.8,314.6
1997,CA,32268000,257582,2579,10189,,81468,163346,1312367,299240,784405,228722,798.3,8.0,31.6,,252.5,506.2,4067.1,927.4,2430.9,708.8
1997,CO,3893000,14139,157,1677,,3242,9063,166902,30994,119801,16107,363.2,4.0,43.1,,83.3,232.8,4287.2,796.1,3077.3,413.7
1997,CT,3270000,12781,124,740,,4999,6918,117505,24143,78821,14541,390.9,3.8,22.6,,152.9,211.6,3593.4,738.3,2410.4,444.7
1997,DE,732000,5753,22,428,,1783,3520,36578,6421,25904,4253,785.9,3.0,58.5,,243.6,480.9,4997.0,877.2,3538.8,581.0
1997,DC,529000,10708,301,218,,4501,5688,41341,6963,26809,7569,2024.2,56.9,41.2,,850.9,1075.2,7814.9,1316.3,5067.9,1430.8
1997,FL,14654000,149996,1012,7599,,40459,100926,915613,213926,594492,107195,1023.6,6.9,51.9,,276.1,688.7,6248.2,1459.8,4056.9,731.5
1997,GA,7486000,45408,563,2328,,15473,27044,388155,81320,262263,44572,606.6,7.5,31.1,,206.7,361.3,5185.1,1086.3,3503.4,595.4
1997,HI,1187000,3299,47,371,,1403,1478,68193,12741,48984,6468,277.9,4.0,31.3,,118.2,124.5,5745.0,1073.4,4126.7,544.9
1997,ID,1210000,3107,39,350,,237,2481,44388,9175,32784,2429,256.8,3.2,28.9,,19.6,205.0,3668.4,758.3,2709.4,200.7
1997,IL,11896000,102476,1096,4415,,33123,63842,509113,103550,350140,55423,861.4,9.2,37.1,,278.4,536.7,4279.7,870.5,2943.3,465.9
1997,IN,5864000,30179,430,1928,,7763,20058,231723,48182,158442,25099,514.6,7.3,32.9,,132.4,342.1,3951.6,821.7,2701.9,428.0
1997,IA,2852000,8841,52,579,,1593,6617,99986,22003,71301,6682,310.0,1.8,20.3,,55.9,232.0,3505.8,771.5,2500.0,234.3
1997,KS,2595000,11151,150,1179,,2535,7287,122553,24292,91823,6438,429.7,5.8,45.4,,97.7,280.8,4722.7,936.1,3538.5,248.1
1997,KY,3908000,12386,228,1304,,3546,7308,109819,26638,73487,9694,316.9,5.8,33.4,,90.7,187.0,2810.1,681.6,1880.4,248.1
1997,LA,4352000,37248,682,1799,,10407,24360,243423,53935,163114,26374,855.9,15.7,41.3,,239.1,559.7,5593.4,1239.3,3748.0,606.0
1997,ME,1242000,1500,25,254,,257,964,37396,8241,27513,1642,120.8,2.0,20.5,,20.7,77.6,3011.0,663.5,2215.2,132.2
1997,MD,5094000,43127,502,1814,,17157,23654,244842,47918,166256,30668,846.6,9.9,35.6,,336.8,464.4,4806.5,940.7,3263.8,602.0
1997,MA,6118000,39411,119,1647,,6676,30969,185437,40491,115494,29452,644.2,1.9,26.9,,109.1,506.2,3031.0,661.8,1887.8,481.4
1997,MI,9774000,57663,759,5070,,14934,36900,422916,80726,276863,65327,590.0,7.8,51.9,,152.8,377.5,4326.9,825.9,2832.6,668.4
1997,MN,4686000,15827,129,2446,,5373,7879,191006,35265,137872,17869,337.8,2.8,52.2,,114.7,168.1,4076.1,752.6,2942.2,381.3
1997,MS,2731000,12808,358,1065,,3741,7644,113644,32429,71887,9328,469.0,13.1,39.0,,137.0,279.9,4161.3,1187.4,2632.3,341.6
1997,MO,5402000,31192,426,1525,,8430,20811,228889,46900,155472,26517,577.4,7.9,28.2,,156.1,385.2,4237.1,868.2,2878.0,490.9
1997,MT,879000,1161,42,171,,179,769,37592,5002,30411,2179,132.1,4.8,19.5,,20.4,87.5,4276.7,569.1,3459.7,247.9
1997,NE,1657000,7265,50,406,,1097,5712,63717,9813,48363,5541,438.4,3.0,24.5,,66.2,344.7,3845.3,592.2,2918.7,334.4
1997,NV,1677000,13395,187,1005,,5071,7132,88307,21975,53112,13220,798.7,11.2,59.9,,302.4,425.3,5265.8,1310.4,3167.1,788.3
1997,NH,1173000,1328,16,395,,274,643,29635,4612,23430,1593,113.2,1.4,33.7,,23.4,54.8,2526.4,393.2,1997.4,135.8
1997,NJ,8053000,39673,337,1729,,16957,20650,287038,60894,184979,41165,492.6,4.2,21.5,,210.6,256.4,3564.4,756.2,2297.0,511.2
1997,NM,1730000,14762,134,872,,2966,10790,104721,25126,67188,12407,853.3,7.7,50.4,,171.4,623.7,6053.2,1452.4,3883.7,717.2
1997,NY,18137000,124890,1093,4075,,56094,63628,584438,118306,386435,79697,688.6,6.0,22.5,,309.3,350.8,3222.4,652.3,2130.6,439.4
1997,NC,7425000,45071,614,2348,,12817,29292,362672,100002,238228,24442,607.0,8.3,31.6,,172.6,394.5,4884.5,1346.8,3208.5,329.2
1997,ND,641000,559,6,159,,41,353,16821,2300,13367,1154,87.2,.9,24.8,,6.4,55.1,2624.2,358.8,2085.3,180.0
1997,OH,11186000,48706,523,4566,,17755,25862,455799,94972,315908,45419,435.4,4.7,40.8,,158.7,231.2,4074.7,844.6,2824.1,406.0
1997,OK,3317000,18560,229,1517,,3446,13368,163698,40015,109039,14644,559.5,6.9,45.7,,103.9,403.0,4935.1,1206.4,3287.3,441.5
1997,OR,3243000,14412,95,1306,,3811,9200,188916,33507,136129,19280,444.4,2.9,40.3,,117.5,283.7,5825.3,1033.2,4197.6,594.5
1997,PA,12020000,53140,705,3289,,18788,30358,359323,68218,246892,44213,442.1,5.9,27.4,,156.3,252.6,2989.4,567.5,2054.0,367.8
1997,RI,987000,3292,25,363,,707,2197,32777,7083,21499,4195,333.5,2.5,36.8,,71.6,222.6,3320.9,717.6,2178.2,425.0
1997,SC,3760000,37235,314,1837,,6624,28460,193402,46322,131325,15755,990.3,8.4,48.9,,176.2,756.9,5143.7,1232.0,3492.7,419.0
1997,SD,738000,1457,10,357,,172,918,22491,4088,17545,858,197.4,1.4,48.4,,23.3,124.4,3047.6,553.9,2377.4,116.3
1997,TN,5368000,42389,511,3056,,11487,27335,253484,62899,156843,33742,789.7,9.5,56.9,,214.0,509.2,4722.1,1171.7,2921.8,628.6
1997,TX,19439000,117126,1327,8011,,30522,77266,948231,201059,645451,101721,602.5,6.8,41.2,,157.0,397.5,4878.0,1034.3,3320.4,523.3
1997,UT,2059000,6878,50,977,,1408,4443,116569,18335,89090,9144,334.0,2.4,47.5,,68.4,215.8,5661.4,890.5,4326.9,444.1
1997,VT,589000,705,9,156,,79,461,15953,3611,11542,800,119.7,1.5,26.5,,13.4,78.3,2708.5,613.1,1959.6,135.8
1997,VA,6734000,23249,488,1819,,8384,12558,237773,38475,180406,18892,345.2,7.2,27.0,,124.5,186.5,3530.9,571.4,2679.0,280.5
1997,WA,5610000,24724,244,2885,,6734,14864,307742,62064,213823,31855,440.7,4.3,51.4,,120.0,265.0,5485.6,1106.3,3811.5,567.8
1997,WV,1816000,3971,75,355,,782,2759,40868,10647,26934,3287,218.7,4.1,19.5,,43.1,151.9,2250.4,586.3,1483.1,181.0
1997,WI,5170000,13988,205,1048,,5214,7521,176145,29503,131002,15640,270.6,4.0,20.3,,100.9,145.5,3407.1,570.7,2533.9,302.5
1997,WY,480000,1225,17,137,,85,986,18843,2998,15198,647,255.2,3.5,28.5,,17.7,205.4,3925.6,624.6,3166.3,134.8
1997,UnitedStatesTotal,267783607,1636096,18208,96153,,498534,1023201,11558475,2460526,7743760,1354189,611.0,6.8,35.9,,186.2,382.1,4316.3,918.8,2891.8,505.7
