Year,StateID,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
1989,AL,4118000,24329,421,1276,,5515,17117,166244,47224,106771,12249,590.8,10.2,31.0,,133.9,415.7,4037.0,1146.8,2592.8,297.5
1989,AK,527000,2623,42,279,,356,1946,22567,4358,15811,2398,497.7,8.0,52.9,,67.6,369.3,4282.2,826.9,3000.2,455.0
1989,AZ,3556000,21320,237,1286,,4944,14853,265284,59284,181574,24426,599.6,6.7,36.2,,139.0,417.7,7460.2,1667.2,5106.1,686.9
1989,AR,2406000,11397,203,924,,2660,7610,98213,28738,63084,6391,473.7,8.4,38.4,,110.6,316.3,4082.0,1194.4,2621.9,265.6
1989,CA,29063000,284136,3158,11966,,96431,172581,1681516,410468,972603,298445,977.7,10.9,41.2,,331.8,593.8,5785.8,1412.3,3346.5,1026.9
1989,CO,3317000,15636,146,1202,,2984,11304,184692,41475,128195,15022,471.4,4.4,36.2,,90.0,340.8,5568.0,1250.4,3864.8,452.9
1989,CT,3239000,16576,190,892,,6956,8538,154119,40035,91483,22601,511.8,5.9,27.5,,214.8,263.6,4758.2,1236.0,2824.4,697.8
1989,DE,673000,3745,34,569,,934,2208,28998,6072,20294,2632,556.5,5.1,84.5,,138.8,328.1,4308.8,902.2,3015.5,391.1
1989,DC,604000,12937,434,186,,6542,5775,49235,11780,29164,8291,2141.9,71.9,30.8,,1083.1,956.1,8151.5,1950.3,4828.5,1372.7
1989,FL,12671000,140575,1405,6299,,51188,81683,975042,289254,583702,102086,1109.4,11.1,49.7,,404.0,644.6,7695.1,2282.8,4606.6,805.7
1989,GA,6436000,47357,820,3150,,17450,25937,407868,110215,255578,42075,735.8,12.7,48.9,,271.1,403.0,6337.3,1712.5,3971.1,653.7
1989,HI,1112000,3004,53,496,,925,1530,66723,14939,47374,4410,270.1,4.8,44.6,,83.2,137.6,6000.3,1343.4,4260.3,396.6
1989,ID,1014000,2582,26,236,,152,2168,37278,8843,26825,1610,254.6,2.6,23.3,,15.0,213.8,3676.3,872.1,2645.5,158.8
1989,IL,11658000,98611,1051,4161,,39138,54261,558803,125441,362556,70806,845.9,9.0,35.7,,335.7,465.4,4793.3,1076.0,3109.9,607.4
1989,IN,5593000,22735,353,1804,,5671,14907,225592,54201,149514,21877,406.5,6.3,32.3,,101.4,266.5,4033.5,969.1,2673.2,391.1
1989,IA,2840000,7563,54,459,,1108,5942,108349,24052,79801,4496,266.3,1.9,16.2,,39.0,209.2,3815.1,846.9,2809.9,158.3
1989,KS,2513000,10073,138,917,,2508,6510,115146,29871,77802,7473,400.8,5.5,36.5,,99.8,259.1,4582.0,1188.7,3096.0,297.4
1989,KY,3727000,13302,293,917,,2836,9256,110328,30526,71611,8191,356.9,7.9,24.6,,76.1,248.3,2960.2,819.1,1921.4,219.8
1989,LA,4382000,34257,653,1675,,10397,21532,239235,64184,152209,22842,781.8,14.9,38.2,,237.3,491.4,5459.5,1464.7,3473.5,521.3
1989,ME,1222000,1676,39,229,,293,1115,42116,9810,30067,2239,137.2,3.2,18.7,,24.0,91.2,3446.5,802.8,2460.5,183.2
1989,MD,4694000,40152,544,1783,,15589,22236,220955,52735,137043,31177,855.4,11.6,38.0,,332.1,473.7,4707.2,1123.5,2919.5,664.2
1989,MA,5913000,39912,254,1881,,11980,25797,263780,63004,146925,53851,675.0,4.3,31.8,,202.6,436.3,4461.0,1065.5,2484.8,910.7
1989,MI,9273000,65760,993,6624,,20616,37527,487682,113579,307096,67007,709.2,10.7,71.4,,222.3,404.7,5259.2,1224.8,3311.7,722.6
1989,MN,4353000,12549,111,1363,,4128,6947,178252,39042,122673,16537,288.3,2.5,31.3,,94.8,159.6,4094.9,896.9,2818.1,379.9
1989,MS,2621000,8156,253,1017,,2053,4833,83980,30018,49266,4696,311.2,9.7,38.8,,78.3,184.4,3204.1,1145.3,1879.7,179.2
1989,MO,5159000,32634,409,1587,,10060,20578,231874,58594,146269,27011,632.6,7.9,30.8,,195.0,398.9,4494.6,1135.8,2835.2,523.6
1989,MT,806000,935,23,145,,137,630,31285,5575,23892,1818,116.0,2.9,18.0,,17.0,78.2,3881.5,691.7,2964.3,225.6
1989,NE,1611000,4503,40,381,,837,3245,61413,12010,46403,3000,279.5,2.5,23.6,,52.0,201.4,3812.1,745.5,2880.4,186.2
1989,NV,1111000,6947,91,662,,2784,3410,62732,15607,40686,6439,625.3,8.2,59.6,,250.6,306.9,5646.4,1404.8,3662.1,579.6
1989,NH,1107000,1865,36,327,,264,1238,37945,8157,27087,2701,168.5,3.3,29.5,,23.8,111.8,3427.7,736.9,2446.9,244.0
1989,NJ,7736000,47111,394,2449,,21139,23129,360532,75548,213878,71106,609.0,5.1,31.7,,273.3,299.0,4660.4,976.6,2764.7,919.2
1989,NM,1528000,10755,132,702,,1607,8314,89693,26146,58201,5346,703.9,8.6,45.9,,105.2,544.1,5870.0,1711.1,3809.0,349.9
1989,NY,17950000,203042,2246,5242,,103983,91571,926596,211130,544459,171007,1131.2,12.5,29.2,,579.3,510.1,5162.1,1176.2,3033.2,952.7
1989,NC,6571000,35902,584,1964,,8770,24584,309323,98792,191783,18748,546.4,8.9,29.9,,133.5,374.1,4707.4,1503.5,2918.6,285.3
1989,ND,660000,417,4,78,,61,274,16485,2369,13370,746,63.2,.6,11.8,,9.2,41.5,2497.7,358.9,2025.8,113.0
1989,OH,10907000,51109,652,4872,,18635,26950,465143,111057,306609,47477,468.6,6.0,44.7,,170.9,247.1,4264.6,1018.2,2811.1,435.3
1989,OK,3224000,15847,210,1209,,4070,10358,161558,50411,92270,18877,491.5,6.5,37.5,,126.2,321.3,5011.1,1563.6,2862.0,585.5
1989,OR,2820000,14625,134,1314,,4282,8895,159119,40197,103690,15232,518.6,4.8,46.6,,151.8,315.4,5642.5,1425.4,3677.0,540.1
1989,PA,12040000,45586,753,2963,,18025,23845,359008,85925,216566,56517,378.6,6.3,24.6,,149.7,198.0,2981.8,713.7,1798.7,469.4
1989,RI,998000,3772,49,266,,1122,2335,48372,12045,27104,9223,378.0,4.9,26.7,,112.4,234.0,4846.9,1206.9,2715.8,924.1
1989,SC,3512000,28576,320,1632,,4574,22050,168772,48914,107845,12013,813.7,9.1,46.5,,130.2,627.8,4805.6,1392.8,3070.8,342.1
1989,SD,715000,969,9,229,,84,647,18230,3394,14057,779,135.5,1.3,32.0,,11.7,90.5,2549.7,474.7,1966.0,109.0
1989,TN,4940000,27118,417,2270,,7926,16505,195854,59621,109908,26325,548.9,8.4,46.0,,160.4,334.1,3964.7,1206.9,2224.9,532.9
1989,TX,16991000,111889,2029,7951,,37913,63996,1234977,342346,741660,150971,658.5,11.9,46.8,,223.1,376.6,7268.4,2014.9,4365.0,888.5
1989,UT,1707000,4417,45,489,,898,2985,92577,15311,73210,4056,258.8,2.6,28.6,,52.6,174.9,5423.4,897.0,4288.8,237.6
1989,VT,567000,753,11,131,,102,509,22429,5835,15466,1128,132.8,1.9,23.1,,18.0,89.8,3955.7,1029.1,2727.7,198.9
1989,VA,6098000,19057,480,1638,,6494,10445,237757,46156,172645,18956,312.5,7.9,26.9,,106.5,171.3,3898.9,756.9,2831.2,310.9
1989,WA,4761000,22460,209,2938,,6672,12641,291472,73563,196122,21787,471.7,4.4,61.7,,140.1,265.5,6122.1,1545.1,4119.3,457.6
1989,WV,1857000,2724,121,347,,793,1463,41154,11635,26608,2911,146.7,6.5,18.7,,42.7,78.8,2216.2,626.5,1432.8,156.8
1989,WI,4867000,10834,176,993,,3659,6006,191869,35683,140040,16146,222.6,3.6,20.4,,75.2,123.4,3942.2,733.2,2877.3,331.7
1989,WY,475000,1227,21,134,,81,991,17246,3001,13593,652,258.3,4.4,28.2,,17.1,208.6,3630.7,631.8,2861.7,137.3
1989,UnitedStatesTotal,246819230,1646037,21500,94504,,578326,951707,12605412,3168170,7872442,1564800,666.9,8.7,38.3,,234.3,385.6,5107.1,1283.6,3189.6,634.0
