Year,StateID,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
1984,AL,3990000,17204,374,1002,,3833,11995,138487,39970,89198,9319,431.2,9.4,25.1,,96.1,300.6,3470.9,1001.8,2235.5,233.6
1984,AK,500000,3108,58,458,,547,2045,27468,6184,18140,3144,621.6,11.6,91.6,,109.4,409.0,5493.6,1236.8,3628.0,628.8
1984,AZ,3053000,15756,238,1316,,4003,10199,182670,52327,118604,11739,516.1,7.8,43.1,,131.1,334.1,5983.3,1714.0,3884.8,384.5
1984,AR,2349000,7549,176,697,,1587,5089,71554,20810,46807,3937,321.4,7.5,29.7,,67.6,216.6,3046.1,885.9,1992.6,167.6
1984,CA,25622000,195589,2717,11702,,83924,97246,1461731,443094,857328,161309,763.4,10.6,45.7,,327.5,379.5,5705.0,1729.3,3346.1,629.6
1984,CO,3178000,14548,184,1238,,3623,9503,191104,49619,128859,12626,457.8,5.8,39.0,,114.0,299.0,6013.3,1561.3,4054.7,397.3
1984,CT,3154000,12422,122,759,,6009,5532,133573,35607,84630,13336,393.8,3.9,24.1,,190.5,175.4,4235.0,1128.9,2683.3,422.8
1984,DE,613000,2671,25,300,,711,1635,28021,6678,19747,1596,435.7,4.1,48.9,,116.0,266.7,4571.1,1089.4,3221.4,260.4
1984,DC,623000,10725,175,366,,6087,4097,42799,10954,27471,4374,1721.5,28.1,58.7,,977.0,657.6,6869.8,1758.3,4409.5,702.1
1984,FL,10976000,95270,1264,5570,,30311,58125,653429,198446,408153,46830,868.0,11.5,50.7,,276.2,529.6,5953.3,1808.0,3718.6,426.7
1984,GA,5837000,27935,546,2356,,8414,16619,234621,70310,147251,17060,478.6,9.4,40.4,,144.1,284.7,4019.5,1204.6,2522.7,292.3
1984,HI,1039000,2409,34,314,,1204,857,54573,12609,38329,3635,231.9,3.3,30.2,,115.9,82.5,5252.5,1213.6,3689.0,349.9
1984,ID,1001000,2355,34,187,,244,1890,34398,8751,24138,1509,235.3,3.4,18.7,,24.4,188.8,3436.4,874.2,2411.4,150.7
1984,IL,11511000,83441,1033,3594,,34965,43849,527124,135068,324649,67407,724.9,9.0,31.2,,303.8,380.9,4579.3,1173.4,2820.3,585.6
1984,IN,5498000,16781,303,1372,,5435,9671,199258,51019,128941,19298,305.2,5.5,25.0,,98.9,175.9,3624.2,928.0,2345.2,351.0
1984,IA,2910000,5781,59,375,,1114,4233,104785,25357,74818,4610,198.7,2.0,12.9,,38.3,145.5,3600.9,871.4,2571.1,158.4
1984,KS,2438000,8147,89,669,,1745,5644,97646,25577,67028,5041,334.2,3.7,27.4,,71.6,231.5,4005.2,1049.1,2749.3,206.8
1984,KY,3723000,10342,244,826,,2631,6641,99803,29234,63860,6709,277.8,6.6,22.2,,70.7,178.4,2680.7,785.2,1715.3,180.2
1984,LA,4462000,30251,575,1864,,8501,19311,197778,54711,129348,13719,678.0,12.9,41.8,,190.5,432.8,4432.5,1226.2,2898.9,307.5
1984,ME,1156000,1832,20,155,,305,1352,38944,10267,26811,1866,158.5,1.7,13.4,,26.4,117.0,3368.9,888.1,2319.3,161.4
1984,MD,4349000,34455,354,1640,,13097,19364,192325,51484,123567,17274,792.3,8.1,37.7,,301.1,445.3,4422.3,1183.8,2841.3,397.2
1984,MA,5798000,30362,211,1627,,10122,18402,235675,63756,123214,48705,523.7,3.6,28.1,,174.6,317.4,4064.8,1099.6,2125.1,840.0
1984,MI,9075000,68979,879,5880,,27832,34388,525979,149209,298192,78578,760.1,9.7,64.8,,306.7,378.9,5795.9,1644.2,3285.9,865.9
1984,MN,4162000,8802,74,1051,,2960,4717,151082,41242,101240,8600,211.5,1.8,25.3,,71.1,113.3,3630.0,990.9,2432.5,206.6
1984,MS,2598000,7326,252,715,,1572,4787,72169,25464,42952,3753,282.0,9.7,27.5,,60.5,184.3,2777.9,980.1,1653.3,144.5
1984,MO,5008000,23071,358,1325,,7053,14335,192123,55863,119749,16511,460.7,7.1,26.5,,140.8,286.2,3836.3,1115.5,2391.2,329.7
1984,MT,824000,1958,36,170,,226,1526,36380,7070,27080,2230,237.6,4.4,20.6,,27.4,185.2,4415.0,858.0,3286.4,270.6
1984,NE,1606000,3627,54,381,,693,2499,52526,10339,39875,2312,225.8,3.4,23.7,,43.2,155.6,3270.6,643.8,2482.9,144.0
1984,NV,911000,5726,98,553,,2542,2533,54045,18023,31508,4514,628.5,10.8,60.7,,279.0,278.0,5932.5,1978.4,3458.6,495.5
1984,NH,977000,1308,10,202,,227,869,29347,7190,20314,1843,133.9,1.0,20.7,,23.2,88.9,3003.8,735.9,2079.2,188.6
1984,NJ,7515000,39659,402,2446,,18218,18593,325231,79871,202181,43179,527.7,5.3,32.5,,242.4,247.4,4327.8,1062.8,2690.4,574.6
1984,NM,1424000,9798,130,783,,1856,7029,79108,23349,51195,4564,688.1,9.1,55.0,,130.3,493.6,5555.3,1639.7,3595.2,320.5
1984,NY,17735000,162157,1786,5599,,89900,64872,826969,222956,488621,115392,914.3,10.1,31.6,,506.9,365.8,4662.9,1257.2,2755.1,650.6
1984,NC,6165000,24885,539,1330,,4612,18404,224437,69747,143700,10990,403.6,8.7,21.6,,74.8,298.5,3640.5,1131.3,2330.9,178.3
1984,ND,686000,368,8,90,,53,217,17354,2738,13856,760,53.6,1.2,13.1,,7.7,31.6,2529.7,399.1,2019.8,110.8
1984,OH,10752000,41430,551,3734,,15656,21489,418011,112887,266148,38976,385.3,5.1,34.7,,145.6,199.9,3887.8,1049.9,2475.3,362.5
1984,OK,3298000,13438,258,1315,,3668,8197,147917,47979,84844,15094,407.5,7.8,39.9,,111.2,248.5,4485.1,1454.8,2572.6,457.7
1984,OR,2674000,13533,128,1201,,4508,7696,153423,48755,96742,7926,506.1,4.8,44.9,,168.6,287.8,5737.6,1823.3,3617.9,296.4
1984,PA,11901000,38154,538,2764,,17656,17196,325960,88517,196999,40444,320.6,4.5,23.2,,148.4,144.5,2738.9,743.8,1655.3,339.8
1984,RI,962000,3220,33,205,,1091,1891,42706,11396,24654,6656,334.7,3.4,21.3,,113.4,196.6,4439.3,1184.6,2562.8,691.9
1984,SC,3300000,20607,305,1329,,3408,15565,133270,40646,84753,7871,624.5,9.2,40.3,,103.3,471.7,4038.5,1231.7,2568.3,238.5
1984,SD,706000,1041,13,190,,105,733,17403,3529,13102,772,147.5,1.8,26.9,,14.9,103.8,2465.0,499.9,1855.8,109.3
1984,TN,4717000,21010,394,1887,,7867,10862,162462,53002,92176,17284,445.4,8.4,40.0,,166.8,230.3,3444.2,1123.6,1954.1,366.4
1984,TX,15989000,80737,2093,7343,,28540,42761,883391,266074,529518,87799,505.0,13.1,45.9,,178.5,267.4,5525.0,1664.1,3311.8,549.1
1984,UT,1652000,4035,47,336,,958,2694,74703,14176,56782,3745,244.2,2.8,20.3,,58.0,163.1,4522.0,858.1,3437.2,226.7
1984,VT,530000,769,12,105,,122,530,20261,5387,14054,820,145.1,2.3,19.8,,23.0,100.0,3822.8,1016.4,2651.7,154.7
1984,VA,5636000,16660,434,1503,,5765,8958,196581,47436,138808,10337,295.6,7.7,26.7,,102.3,158.9,3488.0,841.7,2462.9,183.4
1984,WA,4349000,17676,202,2176,,5247,10051,247687,74021,162905,10761,406.4,4.6,50.0,,120.6,231.1,5695.3,1702.0,3745.8,247.4
1984,WV,1952000,3283,86,305,,744,2148,42313,12649,26296,3368,168.2,4.4,15.6,,38.1,110.0,2167.7,648.0,1347.1,172.5
1984,WI,4766000,9367,117,790,,3167,5293,189484,39755,138526,11203,196.5,2.5,16.6,,66.4,111.1,3975.7,834.1,2906.5,235.1
1984,WY,511000,1237,17,107,,118,995,17582,3279,13518,785,242.1,3.3,20.9,,23.1,194.7,3440.7,641.7,2645.4,153.6
1984,UnitedStatesTotal,235824902,1273282,18692,84233,,485008,685349,10608473,2984434,6591874,1032165,539.9,7.9,35.7,,205.7,290.6,4498.5,1265.5,2795.2,437.7
