Year,StateID,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
2008,AL,4661900,21110,351,1618,,7346,11795,190416,50411,126539,13466,452.8,7.5,34.7,,157.6,253.0,4084.5,1081.3,2714.3,288.9
2008,AK,686293,4475,27,447,,645,3356,20090,3237,15225,1628,652.1,3.9,65.1,,94.0,489.0,2927.3,471.7,2218.4,237.2
2008,AZ,6500180,31567,462,2200,,9809,19096,266653,58606,169460,38587,485.6,7.1,33.8,,150.9,293.8,4102.2,901.6,2607.0,593.6
2008,AR,2855390,14649,165,1463,,2777,10244,110360,33912,69905,6543,513.0,5.8,51.2,,97.3,358.8,3865.0,1187.6,2448.2,229.1
2008,CA,36756666,185329,2142,8903,,69388,104896,1080996,237811,650656,192529,504.2,5.8,24.2,,188.8,285.4,2941.0,647.0,1770.2,523.8
2008,CO,4939456,17480,165,2151,,3404,11760,139340,28054,97937,13349,353.9,3.3,43.5,,68.9,238.1,2821.0,568.0,1982.7,270.3
2008,CT,3501252,10737,132,680,,4043,5882,87210,15107,63212,8891,306.7,3.8,19.4,,115.5,168.0,2490.8,431.5,1805.4,253.9
2008,DE,873092,6187,57,371,,1847,3912,31385,6783,22045,2557,708.6,6.5,42.5,,211.5,448.1,3594.7,776.9,2524.9,292.9
2008,DC,591833,8509,186,186,,4430,3707,30211,3788,19958,6465,1437.7,31.4,31.4,,748.5,626.4,5104.6,640.0,3372.2,1092.4
2008,FL,18328340,126256,1168,5972,,36268,82848,758889,188472,506902,63515,688.9,6.4,32.6,,197.9,452.0,4140.5,1028.3,2765.7,346.5
2008,GA,9685744,47353,640,2334,,17808,26571,387917,100564,247709,39644,488.9,6.6,24.1,,183.9,274.3,4005.0,1038.3,2557.5,409.3
2008,HI,1288198,3510,26,363,,1085,2036,45944,9404,31424,5116,272.5,2.0,28.2,,84.2,158.1,3566.5,730.0,2439.4,397.1
2008,ID,1523816,3680,23,579,,239,2839,31940,6748,23532,1660,241.5,1.5,38.0,,15.7,186.3,2096.1,442.8,1544.3,108.9
2008,IL,12901563,67780,790,4118,,24054,38818,378355,78968,266815,32572,525.4,6.1,31.9,,186.4,300.9,2932.6,612.1,2068.1,252.5
