Year,StateID,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
1987,AL,4083000,22833,380,1137,,4581,16735,158918,48927,99260,10731,559.2,9.3,27.8,,112.2,409.9,3892.2,1198.3,2431.1,262.8
1987,AK,525000,2391,53,341,,384,1613,25841,5093,18195,2553,455.4,10.1,65.0,,73.1,307.2,4922.1,970.1,3465.7,486.3
1987,AZ,3386000,20742,253,1396,,4687,14406,222663,55059,153296,14308,612.6,7.5,41.2,,138.4,425.5,6576.0,1626.1,4527.3,422.6
1987,AR,2388000,9839,182,779,,1890,6988,91537,25743,60862,4932,412.0,7.6,32.6,,79.1,292.6,3833.2,1078.0,2548.7,206.5
1987,CA,27663000,253943,2924,12109,,83341,155569,1545928,419969,896335,229624,918.0,10.6,43.8,,301.3,562.4,5588.4,1518.2,3240.2,830.1
1987,CO,3296000,15409,191,1344,,3916,9958,197225,50580,132266,14379,467.5,5.8,40.8,,118.8,302.1,5983.8,1534.6,4012.9,436.3
1987,CT,3211000,13455,156,800,,5720,6779,146958,39120,90852,16986,419.0,4.9,24.9,,178.1,211.1,4576.7,1218.3,2829.4,529.0
1987,DE,644000,2774,33,441,,789,1511,29032,6572,20453,2007,430.7,5.1,68.5,,122.5,234.6,4508.1,1020.5,3175.9,311.6
1987,DC,622000,10016,225,245,,4462,5084,42553,11244,25012,6297,1610.3,36.2,39.4,,717.4,817.4,6841.3,1807.7,4021.2,1012.4
1987,FL,12023000,123168,1371,6032,,42869,72896,899167,271346,546466,81355,1024.4,11.4,50.2,,356.6,606.3,7478.7,2256.9,4545.2,676.7
