Year,StateID,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
1964,AL,3407000,7260,316,397,,992,5555,46290,15898,26713,3679,213.1,9.3,11.7,,29.1,163.0,1358.7,466.6,784.1,108.0
1964,AK,250000,375,26,56,,53,240,5040,1109,3046,885,150.0,10.4,22.4,,21.2,96.0,2016.0,443.6,1218.4,354.0
1964,AZ,1581000,3368,83,259,,967,2059,54264,13726,35190,5348,213.0,5.2,16.4,,61.2,130.2,3432.3,868.2,2225.8,338.3
1964,AR,1933000,2641,147,157,,565,1772,23633,7135,14622,1876,136.6,7.6,8.1,,29.2,91.7,1222.6,369.1,756.4,97.1
1964,CA,18084000,48026,740,3621,,18667,24998,700630,196883,427960,75787,265.6,4.1,20.0,,103.2,138.2,3874.3,1088.7,2366.5,419.1
1964,CO,1966000,3119,82,336,,1323,1378,50528,13367,31829,5332,158.6,4.2,17.1,,67.3,70.1,2570.1,679.9,1619.0,271.2
1964,CT,2766000,1773,49,152,,414,1158,48185,14713,27755,5717,64.1,1.8,5.5,,15.0,41.9,1742.0,531.9,1003.4,206.7
1964,DE,491000,541,23,40,,203,275,11801,3313,7211,1277,110.2,4.7,8.1,,41.3,56.0,2403.5,674.7,1468.6,260.1
1964,DC,808000,5112,132,96,,2279,2605,25222,8910,10920,5392,632.7,16.3,11.9,,282.1,322.4,3121.5,1102.7,1351.5,667.3
1964,FL,5705000,16539,489,589,,4958,10503,175041,54959,108307,11775,289.9,8.6,10.3,,86.9,184.1,3068.2,963.3,1898.5,206.4
1964,GA,4294000,8285,503,529,,1445,5808,70609,22706,37954,9949,192.9,11.7,12.3,,33.7,135.3,1644.4,528.8,883.9,231.7
1964,HI,701000,575,15,18,,95,447,18984,5880,11301,1803,82.0,2.1,2.6,,13.6,63.8,2708.1,838.8,1612.1,257.2
1964,ID,692000,537,28,41,,71,397,12955,2285,10000,670,77.6,4.0,5.9,,10.3,57.4,1872.1,330.2,1445.1,96.8
1964,IL,10489000,36916,572,1569,,19123,15652,244754,57416,144783,42555,351.9,5.5,15.0,,182.3,149.2,2333.4,547.4,1380.3,405.7
1964,IN,4825000,6564,147,505,,2802,3110,98778,25797,62098,10883,136.0,3.0,10.5,,58.1,64.5,2047.2,534.7,1287.0,225.6
1964,IA,2756000,1007,35,137,,310,525,36376,8004,25733,2639,36.5,1.3,5.0,,11.2,19.0,1319.9,290.4,933.7,95.8
1964,KS,2225000,2573,75,246,,623,1629,41345,9626,28613,3106,115.6,3.4,11.1,,28.0,73.2,1858.2,432.6,1286.0,139.6
1964,KY,3159000,3486,164,254,,1140,1928,46527,14571,27430,4526,110.4,5.2,8.0,,36.1,61.0,1472.8,461.3,868.3,143.3
1964,LA,3468000,7140,287,384,,1849,4620,56006,16730,31267,8009,205.9,8.3,11.1,,53.3,133.2,1614.9,482.4,901.6,230.9
1964,ME,989000,506,15,77,,75,339,13361,3688,8573,1100,51.2,1.5,7.8,,7.6,34.3,1351.0,372.9,866.8,111.2
1964,MD,3432000,7446,229,346,,2041,4830,74473,18735,46471,9267,217.0,6.7,10.1,,59.5,140.7,2170.0,545.9,1354.1,270.0
1964,MA,5338000,4559,105,320,,1636,2498,101540,28278,49129,24133,85.4,2.0,6.0,,30.6,46.8,1902.2,529.7,920.4,452.1
1964,MI,8098000,21153,284,1603,,9155,10111,237109,63956,151910,21243,261.2,3.5,19.8,,113.1,124.9,2928.0,789.8,1875.9,262.3
1964,MN,3521000,2601,51,157,,1285,1108,67797,18833,42580,6384,73.9,1.4,4.5,,36.5,31.5,1925.5,534.9,1209.3,181.3
1964,MS,2314000,4118,233,217,,476,3192,17786,6157,10359,1270,178.0,10.1,9.4,,20.6,137.9,768.6,266.1,447.7,54.9
1964,MO,4409000,9553,240,661,,3955,4697,118456,33051,73963,11442,216.7,5.4,15.0,,89.7,106.5,2686.7,749.6,1677.5,259.5
1964,MT,705000,564,19,53,,110,382,14263,3328,9519,1416,80.0,2.7,7.5,,15.6,54.2,2023.1,472.1,1350.2,200.9
1964,NE,1480000,776,34,85,,306,351,22929,4832,15895,2202,52.4,2.3,5.7,,20.7,23.7,1549.3,326.5,1074.0,148.8
1964,NV,408000,983,32,54,,448,449,16381,4416,9856,2109,240.9,7.8,13.2,,109.8,110.0,4015.0,1082.4,2415.7,516.9
1964,NH,654000,149,6,25,,43,75,6173,1827,3797,549,22.8,.9,3.8,,6.6,11.5,943.9,279.4,580.6,83.9
1964,NJ,6682000,10456,207,609,,3812,5828,127138,40143,68072,18923,156.5,3.1,9.1,,57.0,87.2,1902.7,600.8,1018.7,283.2
1964,NM,1008000,1613,56,124,,476,957,25303,6782,16108,2413,160.0,5.6,12.3,,47.2,94.9,2510.2,672.8,1598.0,239.4
1964,NC,4852000,12345,390,464,,1099,10392,60397,19369,35554,5474,254.4,8.0,9.6,,22.7,214.2,1244.8,399.2,732.8,112.8
1964,ND,645000,229,6,45,,56,122,6817,1546,4687,584,35.5,.9,7.0,,8.7,18.9,1056.9,239.7,726.7,90.5
1964,OH,10100000,11582,350,721,,4663,5848,187354,47100,121729,18525,114.7,3.5,7.1,,46.2,57.9,1855.0,466.3,1205.2,183.4
1964,OK,2465000,3609,110,269,,1055,2175,49743,14793,30000,4950,146.4,4.5,10.9,,42.8,88.2,2018.0,600.1,1217.0,200.8
1964,OR,1871000,2009,34,225,,703,1047,45429,10727,30812,3890,107.4,1.8,12.0,,37.6,56.0,2428.1,573.3,1646.8,207.9
1964,PA,11459000,14162,384,1061,,5111,7606,142616,44235,76983,21398,123.6,3.4,9.3,,44.6,66.4,1244.6,386.0,671.8,186.7
