Year,StateID,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
1998,AL,4352000,22286,354,1443,,5698,14791,177779,41965,120943,14871,512.1,8.1,33.2,,130.9,339.9,4085.0,964.3,2779.0,341.7
1998,AK,614000,4015,41,421,,532,3021,25316,4098,18611,2607,653.9,6.7,68.6,,86.6,492.0,4123.1,667.4,3031.1,424.6
1998,AZ,4669000,26984,376,1451,,7715,17442,280001,56473,183137,40391,577.9,8.1,31.1,,165.2,373.6,5997.0,1209.5,3922.4,865.1
1998,AR,2538000,12442,201,893,,2442,8906,96271,23559,65525,7187,490.2,7.9,35.2,,96.2,350.9,3793.2,928.3,2581.8,283.2
1998,CA,32667000,229883,2171,9782,,68782,149148,1188791,269012,724262,195517,703.7,6.6,29.9,,210.6,456.6,3639.1,823.5,2217.1,598.5
1998,CO,3971000,15008,183,1883,,3238,9704,163189,31231,115871,16087,377.9,4.6,47.4,,81.5,244.4,4109.5,786.5,2917.9,405.1
1998,CT,3274000,11993,135,728,,4379,6751,111978,21801,77472,12705,366.3,4.1,22.2,,133.8,206.2,3420.2,665.9,2366.3,388.1
1998,DE,744000,5672,21,499,,1445,3707,34230,6395,24649,3186,762.4,2.8,67.1,,194.2,498.3,4600.8,859.5,3313.0,428.2
1998,DC,523000,8988,260,190,,3606,4932,37222,6361,24360,6501,1718.5,49.7,36.3,,689.5,943.0,7117.0,1216.3,4657.7,1243.0
1998,FL,14916000,140016,967,7404,,36198,95447,887107,203105,579752,104250,938.7,6.5,49.6,,242.7,639.9,5947.4,1361.7,3886.8,698.9
1998,GA,7642000,43762,618,2322,,14308,26514,373717,75720,255459,42538,572.7,8.1,30.4,,187.2,347.0,4890.3,990.8,3342.8,556.6
1998,HI,1193000,2946,24,352,,1225,1345,60677,11169,43914,5594,246.9,2.0,29.5,,102.7,112.7,5086.1,936.2,3681.0,468.9
1998,ID,1229000,3468,36,386,,264,2782,42185,8518,31385,2282,282.2,2.9,31.4,,21.5,226.4,3432.5,693.1,2553.7,185.7
1998,IL,12045000,97291,1008,4095,,29927,62261,487915,97792,337191,52932,807.7,8.4,34.0,,248.5,516.9,4050.8,811.9,2799.4,439.5
1998,IN,5899000,25423,454,1952,,6561,16456,220529,46552,152790,21187,431.0,7.7,33.1,,111.2,279.0,3738.4,789.2,2590.1,359.2
1998,IA,2862000,8916,54,728,,1456,6678,91272,19282,66016,5974,311.5,1.9,25.4,,50.9,233.3,3189.1,673.7,2306.6,208.7
1998,KS,2629000,10972,173,1128,,2287,7384,117114,24984,85329,6801,417.3,6.6,42.9,,87.0,280.9,4454.7,950.3,3245.7,258.7
1998,KY,3936000,12909,237,1107,,3468,8097,109721,27998,71971,9752,328.0,6.0,28.1,,88.1,205.7,2787.6,711.3,1828.5,247.8
1998,LA,4369000,34057,560,1609,,8651,23237,232378,51210,157507,23661,779.5,12.8,36.8,,198.0,531.9,5318.8,1172.1,3605.1,541.6
1998,ME,1244000,1566,26,225,,263,1052,36261,8295,26457,1509,125.9,2.1,18.1,,21.1,84.6,2914.9,666.8,2126.8,121.3
1998,MD,5135000,40903,513,1714,,15339,23337,234624,47393,159019,28212,796.6,10.0,33.4,,298.7,454.5,4569.1,922.9,3096.8,549.4
1998,MA,6147000,38192,124,1687,,5938,30443,173011,37333,109275,26403,621.3,2.0,27.4,,96.6,495.2,2814.6,607.3,1777.7,429.5
1998,MI,9817000,60947,721,4946,,15293,39987,398773,82249,258186,58338,620.8,7.3,50.4,,155.8,407.3,4062.1,837.8,2630.0,594.3
1998,MN,4725000,14656,121,2358,,4371,7806,176541,32486,128689,15366,310.2,2.6,49.9,,92.5,165.2,3736.3,687.5,2723.6,325.2
1998,MS,2752000,11302,315,1026,,3394,6567,109345,31498,68525,9322,410.7,11.4,37.3,,123.3,238.6,3973.3,1144.5,2490.0,338.7
1998,MO,5439000,30222,399,1463,,8116,20244,232284,47455,160363,24466,555.7,7.3,26.9,,149.2,372.2,4270.7,872.5,2948.4,449.8
1998,MT,880000,1797,18,235,,232,1312,36564,4575,29940,2049,204.2,2.0,26.7,,26.4,149.1,4155.0,519.9,3402.3,232.8
1998,NE,1663000,7507,51,417,,1290,5749,65752,10544,49420,5788,451.4,3.1,25.1,,77.6,345.7,3953.8,634.0,2971.7,348.0
1998,NV,1747000,11244,170,911,,4453,5710,81006,19873,47367,13766,643.6,9.7,52.1,,254.9,326.8,4636.9,1137.6,2711.3,788.0
1998,NH,1185000,1270,18,400,,255,597,27405,3852,22079,1474,107.2,1.5,33.8,,21.5,50.4,2312.7,325.1,1863.2,124.4
1998,NJ,8115000,35720,325,1623,,15109,18663,260810,54459,171166,35185,440.2,4.0,20.0,,186.2,230.0,3213.9,671.1,2109.3,433.6
1998,NM,1737000,16700,190,957,,2839,12714,100011,24213,65031,10767,961.4,10.9,55.1,,163.4,732.0,5757.7,1394.0,3743.9,619.9
1998,NY,18175000,115915,924,3843,,49125,62023,536287,104821,363295,68171,637.8,5.1,21.1,,270.3,341.3,2950.7,576.7,1998.9,375.1
1998,NC,7546000,43723,612,2311,,12133,28667,357892,99951,233325,24616,579.4,8.1,30.6,,160.8,379.9,4742.8,1324.6,3092.0,326.2
1998,ND,638000,570,7,212,,65,286,16535,2274,13134,1127,89.3,1.1,33.2,,10.2,44.8,2591.7,356.4,2058.6,176.6
1998,OH,11209000,40628,443,4543,,14960,20682,444438,90805,310612,43021,362.5,4.0,40.5,,133.5,184.5,3965.0,810.1,2771.1,383.8
1998,OK,3347000,18053,204,1513,,3078,13258,149426,38268,97593,13565,539.4,6.1,45.2,,92.0,396.1,4464.5,1143.4,2915.8,405.3
1998,OR,3282000,13778,126,1307,,3452,8893,171545,30442,123841,17262,419.8,3.8,39.8,,105.2,271.0,5226.8,927.5,3773.3,526.0
1998,PA,12001000,50470,633,3223,,19787,26827,342318,63777,235873,42668,420.5,5.3,26.9,,164.9,223.5,2852.4,531.4,1965.4,355.5
1998,RI,988000,3084,24,351,,659,2050,31672,6452,21391,3829,312.1,2.4,35.5,,66.7,207.5,3205.7,653.0,2165.1,387.6
1998,SC,3836000,34647,306,1753,,5943,26645,186960,44600,126412,15948,903.2,8.0,45.7,,154.9,694.6,4873.8,1162.7,3295.4,415.7
1998,SD,738000,1139,10,258,,149,722,18227,3458,14006,763,154.3,1.4,35.0,,20.2,97.8,2469.8,468.6,1897.8,103.4
1998,TN,5431000,38832,460,2485,,9667,26220,234588,58432,148057,28099,715.0,8.5,45.8,,178.0,482.8,4319.4,1075.9,2726.1,517.4
1998,TX,19760000,111566,1346,7913,,28677,73630,898496,194883,606967,96646,564.6,6.8,40.0,,145.1,372.6,4547.0,986.3,3071.7,489.1
1998,UT,2100000,6599,65,875,,1385,4274,109025,17070,84255,7700,279.5,2.1,38.4,,55.1,183.9,4768.1,694.9,3721.7,351.5
1998,VT,591000,628,13,163,,56,396,17924,3966,13084,874,106.3,2.2,27.6,,9.5,67.0,3032.8,671.1,2213.9,147.9
1998,VA,6791000,22115,422,1810,,7171,12712,226461,38094,170012,18355,325.7,6.2,26.7,,105.6,187.2,3334.7,560.9,2503.5,270.3
1998,WA,5689000,24380,224,2740,,6577,14839,309419,60446,213773,35200,428.5,3.9,48.2,,115.6,260.8,5438.9,1062.5,3757.7,618.7
1998,WV,1811000,4503,78,339,,676,3410,41627,11110,27127,3390,248.6,4.3,18.7,,37.3,188.3,2298.6,613.5,1497.9,187.2
1998,WI,5224000,13009,190,1037,,4474,7308,172084,29740,128134,14210,249.0,3.6,19.9,,85.6,139.9,3294.1,569.3,2452.8,272.0
1998,WY,481000,1191,23,133,,78,957,17124,2696,13759,669,247.6,4.8,27.7,,16.2,199.0,3560.1,560.5,2860.5,139.1
1998,UnitedStatesTotal,270248003,1533887,16974,93144,,447186,976583,10951827,2332735,7376311,1242781,567.6,6.3,34.5,,165.5,361.4,4052.5,863.2,2729.5,459.9
