Year,StateID,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
2007,AL,4627851,20775,412,1548,,7398,11417,184082,45379,124465,14238,448.9,8.9,33.4,,159.9,246.7,3977.7,980.6,2689.5,307.7
2007,AK,683478,4520,43,545,,581,3351,23096,3734,16929,2433,661.3,6.3,79.7,,85.0,490.3,3379.2,546.3,2476.9,356.0
2007,AZ,6338755,32835,548,2353,,9764,20170,287308,59988,177076,50244,518.0,8.6,37.1,,154.0,318.2,4532.6,946.4,2793.5,792.6
2007,AR,2834797,15226,198,1294,,3105,10629,112130,32035,73096,6999,537.1,7.0,45.6,,109.5,374.9,3955.5,1130.1,2578.5,246.9
2007,CA,36553215,191561,2262,9046,,70706,109547,1112510,237850,654526,220134,524.1,6.2,24.7,,193.4,299.7,3043.5,650.7,1790.6,602.2
2007,CO,4861515,17101,155,2075,,3461,11410,145808,28633,100519,16656,351.8,3.2,42.7,,71.2,234.7,2999.2,589.0,2067.6,342.6
2007,CT,3502309,10547,113,690,,4303,5441,86528,15640,60937,9951,301.1,3.2,19.7,,122.9,155.4,2470.6,446.6,1739.9,284.1
2007,DE,864764,6100,39,341,,1763,3957,29216,6420,20454,2342,705.4,4.5,39.4,,203.9,457.6,3378.5,742.4,2365.3,270.8
2007,DC,588292,8325,181,192,,4265,3687,28922,3926,17390,7606,1415.1,30.8,32.6,,725.0,626.7,4916.3,667.4,2956.0,1292.9
2007,FL,18251243,131878,1202,6149,,38155,86372,746249,181836,490783,73630,722.6,6.6,33.7,,209.1,473.2,4088.8,996.3,2689.0,403.4
2007,GA,9544750,46917,720,2198,,17291,26708,371248,90294,238436,42518,491.5,7.5,23.0,,181.2,279.8,3889.6,946.0,2498.1,445.5
2007,HI,1283388,3544,24,377,,1122,2021,52866,9089,37494,6283,276.1,1.9,29.4,,87.4,157.5,4119.3,708.2,2921.5,489.6
2007,ID,1499402,3841,49,607,,243,2942,34124,7131,24727,2266,256.2,3.3,40.5,,16.2,196.2,2275.8,475.6,1649.1,151.1
2007,IL,12852548,68528,752,4103,,23100,40573,377322,75524,267911,33887,533.2,5.9,31.9,,179.7,315.7,2935.8,587.6,2084.5,263.7
2007,IN,6345289,21310,350,1738,,7845,11377,213887,46485,147999,19403,335.8,5.5,27.4,,123.6,179.3,3370.8,732.6,2332.4,305.8
2007,IA,2988046,8970,39,970,,1328,6633,79133,17176,57018,4939,300.2,1.3,32.5,,44.4,222.0,2648.3,574.8,1908.2,165.3
2007,KS,2775997,12730,106,1287,,2022,9315,102961,20461,73900,8600,458.6,3.8,46.4,,72.8,335.6,3709.0,737.1,2662.1,309.8
2007,KY,4241474,12329,206,1365,,4068,6690,107987,27820,71489,8678,290.7,4.9,32.2,,95.9,157.7,2546.0,655.9,1685.5,204.6
2007,LA,4293204,31789,625,1427,,6316,23421,180516,46932,118291,15293,740.4,14.6,33.2,,147.1,545.5,4204.7,1093.2,2755.3,356.2
2007,ME,1317207,1565,20,392,,349,804,32249,6745,24228,1276,118.8,1.5,29.8,,26.5,61.0,2448.3,512.1,1839.3,96.9
2007,MD,5618344,36063,554,1179,,13258,21072,192796,37095,127308,28393,641.9,9.9,21.0,,236.0,375.1,3431.5,660.2,2265.9,505.4
2007,MA,6449755,28487,187,1643,,7021,19636,154743,35767,103925,15051,441.7,2.9,25.5,,108.9,304.4,2399.2,554.5,1611.3,233.4
2007,MI,10071822,53765,661,4592,,13365,35147,308550,75273,191289,41988,533.8,6.6,45.6,,132.7,349.0,3063.5,747.4,1899.2,416.9
2007,MN,5197621,15054,116,1873,,4770,8295,158257,29717,115892,12648,289.6,2.2,36.0,,91.8,159.6,3044.8,571.7,2229.7,243.3
2007,MS,2918785,8502,202,1033,,2896,4371,90887,27223,56473,7191,291.3,6.9,35.4,,99.2,149.8,3113.9,932.7,1934.8,246.4
2007,MO,5878415,32962,367,1785,,7728,23082,225113,44897,156319,23897,560.7,6.2,30.4,,131.5,392.7,3829.5,763.8,2659.2,406.5
2007,MT,957861,3638,27,363,,233,3015,27837,3476,22315,2046,379.8,2.8,37.9,,24.3,314.8,2906.2,362.9,2329.7,213.6
2007,NE,1774571,5524,71,550,,1115,3788,55765,9035,41484,5246,311.3,4.0,31.0,,62.8,213.5,3142.4,509.1,2337.7,295.6
2007,NV,2565382,19365,193,1096,,6938,11138,97118,24911,49844,22363,754.9,7.5,42.7,,270.4,434.2,3785.7,971.0,1942.9,871.7
2007,NH,1315828,1896,12,357,,451,1076,26394,5074,19909,1411,144.1,.9,27.1,,34.3,81.8,2005.9,385.6,1513.0,107.2
