Year,StateID,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
1978,AL,3742000,15682,499,954,,3708,10521,131707,46001,74387,11319,419.1,13.3,25.5,,99.1,281.2,3519.7,1229.3,1987.9,302.5
1978,AK,403000,1781,52,224,,368,1137,22585,5397,14522,2666,441.9,12.9,55.6,,91.3,282.1,5604.2,1339.2,3603.5,661.5
1978,AZ,2354000,12996,221,1040,,3835,7900,165998,49023,106042,10933,552.1,9.4,44.2,,162.9,335.6,7051.7,2082.5,4504.8,464.4
1978,AR,2186000,7522,199,505,,1748,5070,68151,21140,42647,4364,344.1,9.1,23.1,,80.0,231.9,3117.6,967.1,1950.9,199.6
1978,CA,22294000,165626,2611,11316,,68235,83464,1420857,488966,777783,154108,742.9,11.7,50.8,,306.1,374.4,6373.3,2193.3,3488.8,691.3
1978,CO,2670000,13296,196,1323,,4251,7526,169130,49917,106185,13028,498.0,7.3,49.6,,159.2,281.9,6334.5,1869.6,3977.0,487.9
1978,CT,3099000,9762,129,533,,4798,4302,143003,42207,80500,20296,315.0,4.2,17.2,,154.8,138.8,4614.5,1362.0,2597.6,654.9
1978,DE,583000,2569,39,119,,848,1563,34474,9466,22111,2897,440.7,6.7,20.4,,145.5,268.1,5913.2,1623.7,3792.6,496.9
1978,DC,674000,9515,189,447,,6333,2546,41435,12497,25744,3194,1411.7,28.0,66.3,,939.6,377.7,6147.6,1854.2,3819.6,473.9
1978,FL,8594000,65792,949,3960,,17701,43182,541760,170061,338299,33400,765.6,11.0,46.1,,206.0,502.5,6303.9,1978.8,3936.5,388.6
1978,GA,5084000,24545,731,1928,,8454,13432,218028,75022,124880,18126,482.8,14.4,37.9,,166.3,264.2,4288.5,1475.6,2456.3,356.5
1978,HI,897000,2423,60,232,,1557,574,61588,17381,39087,5120,270.1,6.7,25.9,,173.6,64.0,6866.0,1937.7,4357.5,570.8
1978,ID,878000,2076,47,169,,351,1509,33174,9117,21917,2140,236.4,5.4,19.2,,40.0,171.9,3778.4,1038.4,2496.2,243.7
1978,IL,11243000,76084,1108,3151,,32932,38893,555753,151854,333910,69989,676.7,9.9,28.0,,292.9,345.9,4943.1,1350.7,2969.9,622.5
1978,IN,5374000,17383,334,1451,,6526,9072,215770,59561,134119,22090,323.5,6.2,27.0,,121.4,168.8,4015.1,1108.3,2495.7,411.1
1978,IA,2896000,4674,74,300,,1357,2943,110589,25214,78567,6808,161.4,2.6,10.4,,46.9,101.6,3818.7,870.6,2712.9,235.1
1978,KS,2348000,7471,133,586,,2201,4551,99225,30215,63194,5816,318.2,5.7,25.0,,93.7,193.8,4225.9,1286.8,2691.4,247.7
1978,KY,3498000,7807,316,725,,2845,3921,97939,30942,58231,8766,223.2,9.0,20.7,,81.3,112.1,2799.9,884.6,1664.7,250.6
1978,LA,3966000,23197,625,1379,,6887,14306,166865,50587,101937,14341,584.9,15.8,34.8,,173.7,360.7,4207.4,1275.5,2570.3,361.6
1978,ME,1091000,2266,30,121,,359,1756,42885,13542,26579,2764,207.7,2.7,11.1,,32.9,161.0,3930.8,1241.2,2436.2,253.3
1978,MD,4143000,30328,338,1476,,12828,15686,210530,58907,134024,17599,732.0,8.2,35.6,,309.6,378.6,5081.6,1421.8,3235.0,424.8
1978,MA,5774000,26673,216,1307,,9947,15203,282260,87482,131519,63259,462.0,3.7,22.6,,172.3,263.3,4888.5,1515.1,2277.8,1095.6
1978,MI,9189000,53040,972,3636,,20153,28279,461002,132716,279958,48328,577.2,10.6,39.6,,219.3,307.7,5016.9,1444.3,3046.7,525.9
1978,MN,4008000,7601,81,797,,3411,3312,158495,43837,101646,13012,189.6,2.0,19.9,,85.1,82.6,3954.5,1093.7,2536.1,324.7
1978,MS,2404000,7721,302,525,,1688,5206,53698,20345,29703,3650,321.2,12.6,21.8,,70.2,216.6,2233.7,846.3,1235.6,151.8
1978,MO,4860000,22738,505,1360,,8943,11930,197293,65375,113992,17926,467.9,10.4,28.0,,184.0,245.5,4059.5,1345.2,2345.5,368.8
