Year,StateID,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
2006,AL,4599030,19553,382,1646,,7062,10463,181249,44780,121451,15018,425.2,8.3,35.8,,153.6,227.5,3941.0,973.7,2640.8,326.5
2006,AK,670053,4610,36,512,,600,3462,23975,4155,17284,2536,688.0,5.4,76.4,,89.5,516.7,3578.1,620.1,2579.5,378.5
2006,AZ,6166318,33456,533,2449,,9491,20983,294389,59418,178321,56650,542.6,8.6,39.7,,153.9,340.3,4774.1,963.6,2891.9,918.7
2006,AR,2810872,15538,205,1325,,2749,11259,112025,31864,72646,7515,552.8,7.3,47.1,,97.8,400.6,3985.4,1133.6,2584.5,267.4
2006,CA,36457549,194483,2486,9235,,71142,111620,1159988,247230,669103,243655,533.5,6.8,25.3,,195.1,306.2,3181.7,678.1,1835.3,668.3
2006,CO,4753377,18794,171,2158,,3824,12641,163439,32411,110372,20656,395.4,3.6,45.4,,80.4,265.9,3438.4,681.9,2322.0,434.6
2006,CT,3504809,10505,137,696,,4460,5212,90638,15583,64765,10290,299.7,3.9,19.9,,127.3,148.7,2586.1,444.6,1847.9,293.6
2006,DE,853476,5983,42,417,,1791,3733,29670,6337,20449,2884,701.0,4.9,48.9,,209.8,437.4,3476.4,742.5,2396.0,337.9
2006,DC,581530,8772,169,185,,3829,4589,27064,3835,15908,7321,1508.4,29.1,31.8,,658.4,789.1,4653.9,659.5,2735.5,1258.9
2006,FL,18089888,129602,1129,6475,,34147,87851,721101,170873,473774,76454,716.4,6.2,35.8,,188.8,485.6,3986.2,944.6,2619.0,422.6
2006,GA,9363941,44754,605,2169,,15511,26469,362712,85140,234445,43127,477.9,6.5,23.2,,165.6,282.7,3873.5,909.2,2503.7,460.6
2006,HI,1285498,3608,21,353,,1144,2090,54247,8724,37784,7739,280.7,1.6,27.5,,89.0,162.6,4219.9,678.6,2939.3,602.0
2006,ID,1466465,3666,35,611,,294,2726,35135,7545,25154,2436,250.0,2.4,41.7,,20.0,185.9,2395.9,514.5,1715.3,166.1
2006,IL,12831970,69498,780,4078,,23782,40858,387478,77259,272578,37641,541.6,6.1,31.8,,185.3,318.4,3019.6,602.1,2124.2,293.3
2006,IN,6313520,20303,361,1811,,7175,10956,217783,45538,150655,21590,321.6,5.7,28.7,,113.6,173.5,3449.5,721.3,2386.2,342.0
2006,IA,2982085,8521,55,871,,1309,6286,84202,18160,60998,5044,285.7,1.8,29.2,,43.9,210.8,2823.6,609.0,2045.5,169.1
2006,KS,2764075,11960,125,1279,,1878,8678,104260,20086,75450,8724,432.7,4.5,46.3,,67.9,314.0,3772.0,726.7,2729.7,315.6
2006,KY,4206074,11361,173,1312,,3850,6026,109428,27867,72197,9364,270.1,4.1,31.2,,91.5,143.3,2601.7,662.5,1716.5,222.6
2006,LA,4287768,30923,555,1587,,5928,22853,174975,46703,112605,15667,721.2,12.9,37.0,,138.3,533.0,4080.8,1089.2,2626.2,365.4
2006,ME,1321574,1533,23,341,,383,786,33658,6846,25465,1347,116.0,1.7,25.8,,29.0,59.5,2546.8,518.0,1926.9,101.9
2006,MD,5615727,38111,546,1178,,14376,22011,195484,37459,127502,30523,678.6,9.7,21.0,,256.0,392.0,3481.0,667.0,2270.4,543.5
2006,MA,6437193,32217,188,1771,,8080,22178,153943,35243,100725,17975,500.5,2.9,27.5,,125.5,344.5,2391.5,547.5,1564.7,279.2
2006,MI,10095643,56981,721,5347,,14229,36684,325594,76313,199183,50098,564.4,7.1,53.0,,140.9,363.4,3225.1,755.9,1973.0,496.2
