Year,StateID,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
2000,AL,4447100,21620,329,1482,,5702,14107,180539,40331,127399,12809,486.2,7.4,33.3,,128.2,317.2,4059.7,906.9,2864.8,288.0
2000,AK,626932,3554,27,497,,490,2540,23087,3899,16838,2350,566.9,4.3,79.3,,78.2,405.1,3682.5,621.9,2685.8,374.8
2000,AZ,5130632,27281,359,1577,,7504,17841,271811,51902,176705,43204,531.7,7.0,30.7,,146.3,347.7,5297.8,1011.6,3444.1,842.1
2000,AR,2673400,11904,168,848,,2001,8887,98115,21443,69740,6932,445.3,6.3,31.7,,74.8,332.4,3670.0,802.1,2608.7,259.3
2000,CA,33871648,210531,2079,9785,,60249,138418,1056183,222293,651855,182035,621.6,6.1,28.9,,177.9,408.7,3118.2,656.3,1924.5,537.4
2000,CO,4301261,14367,134,1774,,3034,9425,156937,27133,112843,16961,334.0,3.1,41.2,,70.5,219.1,3648.6,630.8,2623.5,394.3
2000,CT,3405565,11058,98,678,,3832,6450,99033,17436,68498,13099,324.7,2.9,19.9,,112.5,189.4,2908.0,512.0,2011.4,384.6
2000,DE,783600,5363,25,424,,1394,3520,29727,5216,21360,3151,684.4,3.2,54.1,,177.9,449.2,3793.6,665.6,2725.9,402.1
2000,DC,572059,8626,239,251,,3554,4582,33000,4745,21655,6600,1507.9,41.8,43.9,,621.3,801.0,5768.6,829.5,3785.4,1153.7
2000,FL,15982378,129777,903,7057,,31809,90008,780377,172898,518298,89181,812.0,5.6,44.2,,199.0,563.2,4882.7,1081.8,3242.9,558.0
2000,GA,8186453,41319,651,1968,,13250,25450,347630,68488,240440,38702,504.7,8.0,24.0,,161.9,310.9,4246.4,836.6,2937.0,472.8
2000,HI,1211537,2954,35,346,,1123,1450,60033,10665,43254,6114,243.8,2.9,28.6,,92.7,119.7,4955.1,880.3,3570.2,504.6
2000,ID,1293953,3267,16,384,,223,2644,37961,7330,28545,2086,252.5,1.2,29.7,,17.2,204.3,2933.7,566.5,2206.0,161.2
2000,IL,12419293,81196,898,3926,,25641,50731,445278,81850,313161,50267,653.8,7.2,31.6,,206.5,408.5,3585.4,659.1,2521.6,404.7
2000,IN,6080485,21230,352,1759,,6282,12837,206905,41108,144707,21090,349.1,5.8,28.9,,103.3,211.1,3402.8,676.1,2379.9,346.8
2000,IA,2926324,7796,46,676,,1071,6003,86834,16342,65118,5374,266.4,1.6,23.1,,36.6,205.1,2967.3,558.4,2225.2,183.6
2000,KS,2688418,10470,169,1022,,2048,7231,108057,21484,80077,6496,389.4,6.3,38.0,,76.2,269.0,4019.4,799.1,2978.6,241.6
2000,KY,4041769,11903,193,1091,,3256,7363,107723,25308,73141,9274,294.5,4.8,27.0,,80.6,182.2,2665.2,626.2,1809.6,229.5
2000,LA,4468976,30440,560,1497,,7532,20851,211904,46289,144345,21270,681.1,12.5,33.5,,168.5,466.6,4741.7,1035.8,3229.9,475.9
2000,ME,1274923,1397,15,320,,247,815,32003,6775,23906,1322,109.6,1.2,25.1,,19.4,63.9,2510.2,531.4,1875.1,103.7
2000,MD,5296486,41663,430,1543,,13560,26130,213422,39426,145423,28573,786.6,8.1,29.1,,256.0,493.3,4029.5,744.4,2745.7,539.5
2000,MA,6349097,30230,125,1696,,5815,22594,161901,30600,105425,25876,476.1,2.0,26.7,,91.6,355.9,2550.0,482.0,1660.5,407.6
2000,MI,9938444,55159,669,5025,,13712,35753,353297,69790,227783,55724,555.0,6.7,50.6,,138.0,359.7,3554.9,702.2,2291.9,560.7
2000,MN,4919479,13813,151,2240,,3713,7709,157798,26116,118250,13432,280.8,3.1,45.5,,75.5,156.7,3207.6,530.9,2403.7,273.0
2000,MS,2844658,10267,255,1019,,2703,6290,103644,26918,69758,6968,360.9,9.0,35.8,,95.0,221.1,3643.5,946.3,2452.2,245.0
2000,MO,5595211,27419,347,1351,,7598,18123,225919,41685,159539,24695,490.0,6.2,24.1,,135.8,323.9,4037.7,745.0,2851.3,441.4
2000,MT,902195,2807,20,308,,203,2276,32198,3624,26678,1896,311.1,2.2,34.1,,22.5,252.3,3568.9,437.4,2957.0,210.2
2000,NE,1711263,5606,63,436,,1147,3960,64479,10131,49118,5230,327.6,3.7,25.5,,67.0,231.4,3767.9,592.0,2870.3,305.6
2000,NV,1998257,10474,129,860,,4543,4942,74823,17526,44125,13172,524.2,6.5,43.0,,227.3,247.3,3744.4,877.1,2208.2,659.2
2000,NH,1235786,2167,22,522,,453,1170,27901,4992,20761,2148,175.4,1.8,42.2,,36.7,94.7,2257.8,404.0,1680.0,173.8
2000,NJ,8414350,32298,289,1357,,13553,17099,233637,43924,155562,34151,383.8,3.4,16.1,,161.1,203.2,2776.6,522.0,1848.8,405.9
2000,NM,1819046,13786,135,922,,2499,10230,86605,21339,57925,7341,757.9,7.4,50.7,,137.4,562.4,4761.0,1173.1,3184.4,403.6
2000,NY,18976457,105111,952,3530,,40539,60090,483078,87946,340901,54231,553.9,5.0,18.6,,213.6,316.7,2545.7,463.4,1796.4,285.8
2000,NC,8049313,40051,560,2181,,12595,24715,355921,97888,232767,25266,497.6,7.0,27.1,,156.5,307.0,4421.8,1216.1,2891.8,313.9
2000,ND,642200,523,4,169,,56,294,14171,2093,11092,986,81.4,.6,26.3,,8.7,45.8,2206.6,325.9,1727.2,153.5
2000,OH,11353140,37935,418,4271,,15610,17636,420939,88636,293277,39026,334.1,3.7,37.6,,137.5,155.3,3707.7,780.7,2583.2,343.7
2000,OK,3450654,17177,182,1422,,2615,12958,140125,31661,96116,12348,497.8,5.3,41.2,,75.8,375.5,4060.8,917.5,2785.4,357.8
2000,OR,3421399,12000,70,1286,,2888,7756,153780,25618,114230,13932,350.7,2.0,37.6,,84.4,226.7,4494.7,748.8,3338.7,407.2
2000,PA,12281054,51584,602,3247,,18155,29580,316274,54080,225869,36325,420.0,4.9,26.4,,147.8,240.9,2575.3,440.4,1839.2,295.8
2000,RI,1048319,3121,45,412,,922,1742,33323,6620,22038,4665,297.7,4.3,39.3,,88.0,166.2,3178.7,631.5,2102.2,445.0
2000,SC,4012012,33225,291,1660,,6220,25054,181290,40319,125385,15586,828.1,7.3,41.4,,155.0,624.5,4518.7,969.3,3125.2,388.5
2000,SD,754844,1259,7,305,,131,816,16252,2896,12558,798,166.8,.9,40.4,,17.4,108.1,2153.0,383.7,1663.7,105.7
2000,TN,5689283,40233,410,2186,,9465,28172,237985,56344,154111,27530,707.2,7.2,38.4,,166.4,495.2,4183.0,990.4,2708.8,483.9
2000,TX,20851820,113653,1238,7856,,30257,74302,919658,188975,637522,93161,545.1,5.9,37.7,,145.1,356.3,4410.4,906.3,3057.4,446.8
2000,UT,2233169,5711,43,863,,1242,3563,94247,14348,73438,6461,255.7,1.9,38.6,,55.6,159.5,4220.3,642.5,3288.5,289.3
2000,VT,608827,691,9,140,,117,425,17494,3501,13184,809,113.5,1.5,23.0,,19.2,69.8,2873.4,575.0,2165.5,132.9
2000,VA,7078515,19943,401,1616,,6295,11631,194405,30434,146158,17813,281.7,5.7,22.8,,88.9,164.3,2746.4,429.9,2064.8,251.6
2000,WA,5894121,21788,196,2737,,5812,13043,279144,53476,190650,35018,369.7,3.3,46.4,,98.6,221.3,4736.0,907.3,3234.6,594.1
2000,WV,1808344,5723,46,331,,749,4597,41344,9890,28139,3315,316.5,2.5,18.3,,41.4,254.2,2286.3,546.9,1556.1,183.3
2000,WI,5363675,12700,169,1165,,4537,6829,159424,25183,119605,14636,236.8,3.2,21.7,,84.6,127.3,2972.3,469.5,2229.9,272.9
2000,WY,493782,1316,12,160,,70,1074,14969,2078,12318,573,266.5,2.4,32.4,,14.2,217.5,3031.5,420.8,2494.6,116.0
2000,UnitedStatesTotal,281421906,1425486,15586,90178,,408016,911706,10182584,2050992,6971590,1160002,506.5,5.5,32.0,,145.0,324.0,3618.3,728.8,2477.3,412.2
